X,T,T_a
0.00000,300.00000,300.00000
0.01000,306.89214,306.95000
0.02000,313.74556,313.80000
0.03000,320.52640,320.55000
0.04000,327.20941,327.20000
0.05000,333.77979,333.75000
0.06000,340.23285,340.20000
0.07000,346.57174,346.55000
0.08000,352.80395,352.80000
0.09000,358.93768,358.95000
0.10000,364.97885,365.00000
0.11000,370.92958,370.95000
0.12000,376.78811,376.80000
0.13000,382.55014,382.55000
0.14000,388.21068,388.20000
0.15000,393.76595,393.75000
0.16000,399.21457,399.20000
0.17000,404.55777,404.55000
0.18000,409.79864,409.80000
0.19000,414.94081,414.95000
0.20000,419.98712,420.00000
0.21000,424.93861,424.95000
0.22000,429.79431,429.80000
0.23000,434.55179,434.55000
0.24000,439.20809,439.20000
0.25000,443.76093,443.75000
0.26000,448.20945,448.20000
0.27000,452.55445,452.55000
0.28000,456.79802,456.80000
0.29000,460.94264,460.95000
0.30000,464.99031,465.00000
0.31000,468.94177,468.95000
0.32000,472.79630,472.80000
0.33000,476.55207,476.55000
0.34000,480.20684,480.20000
0.35000,483.75885,483.75000
0.36000,487.20740,487.20000
0.37000,490.55317,490.55000
0.38000,493.79783,493.80000
0.39000,496.94344,496.95000
0.40000,499.99166,500.00000
0.41000,502.94311,502.95000
0.42000,505.79717,505.80000
0.43000,508.55225,508.55000
0.44000,511.20640,511.20000
0.45000,513.75803,513.75000
0.46000,516.20655,516.20000
0.47000,518.55256,518.55000
0.48000,520.79760,520.80000
0.49000,522.94358,522.95000
0.50000,524.99204,525.00000
0.51000,526.94358,526.95000
0.52000,528.79760,528.80000
0.53000,530.55256,530.55000
0.54000,532.20655,532.20000
0.55000,533.75803,533.75000
0.56000,535.20639,535.20000
0.57000,536.55225,536.55000
0.58000,537.79717,537.80000
0.59000,538.94310,538.95000
0.60000,539.99166,540.00000
0.61000,540.94344,540.95000
0.62000,541.79783,541.80000
0.63000,542.55317,542.55000
0.64000,543.20740,543.20000
0.65000,543.75884,543.75000
0.66000,544.20684,544.20000
0.67000,544.55207,544.55000
0.68000,544.79630,544.80000
0.69000,544.94176,544.95000
0.70000,544.99031,545.00000
0.71000,544.94264,544.95000
0.72000,544.79801,544.80000
0.73000,544.55445,544.55000
0.74000,544.20945,544.20000
0.75000,543.76093,543.75000
0.76000,543.20809,543.20000
0.77000,542.55178,542.55000
0.78000,541.79431,541.80000
0.79000,540.93860,540.95000
0.80000,539.98711,540.00000
0.81000,538.94080,538.95000
0.82000,537.79863,537.80000
0.83000,536.55776,536.55000
0.84000,535.21456,535.20000
0.85000,533.76594,533.75000
0.86000,532.21067,532.20000
0.87000,530.55013,530.55000
0.88000,528.78810,528.80000
0.89000,526.92957,526.95000
0.90000,524.97884,525.00000
0.91000,522.93767,522.95000
0.92000,520.80394,520.80000
0.93000,518.57172,518.55000
0.94000,516.23284,516.20000
0.95000,513.77977,513.75000
0.96000,511.20940,511.20000
0.97000,508.52639,508.55000
0.98000,505.74555,505.80000
0.99000,502.89213,502.95000
1.00000,499.99999,500.00000
