X,Y,Z,u,v,p,rho,T,Mach
    0.0000000000,    0.0000000000,    0.0000000000,   34.0268554688,         0.00000,    102388.34829,         1.23804,       288.16000,         0.00000
    0.0000000000,    0.0000020000,    0.0000000000,   34.0268554688,         0.00000,    102272.81979,         1.23664,       288.16000,         0.00000
    0.0000000000,    0.0000040000,    0.0000000000,   34.0268554688,         0.00000,    102157.29129,         1.23525,       288.16000,         0.00000
    0.0000000000,    0.0000060000,    0.0000000000,   34.0268554688,         0.00000,    102138.92294,         1.23502,       288.16000,         0.00000
    0.0000000000,    0.0000080000,    0.0000000000,   34.0268554688,         0.00000,    102045.71093,         1.23390,       288.16000,         0.00000
    0.0000000000,    0.0000100000,    0.0000000000,   34.0268554688,         0.00000,    101967.00299,         1.23295,       288.16000,         0.00000
    0.0000000000,    0.0000120000,    0.0000000000,   34.0268554688,         0.00000,    101907.41107,         1.23223,       288.16000,         0.00000
    0.0000000000,    0.0000140000,    0.0000000000,   34.0268554688,         0.00000,    101864.83771,         1.23171,       288.16000,         0.00000
    0.0000000000,    0.0000160000,    0.0000000000,   34.0268554688,         0.00000,    101833.65481,         1.23133,       288.16000,         0.00000
    0.0000000000,    0.0000180000,    0.0000000000,   34.0268554688,         0.00000,    101809.27772,         1.23104,       288.16000,         0.00000
    0.0000000000,    0.0000200000,    0.0000000000,   34.0268554688,         0.00000,    101789.44088,         1.23080,       288.16000,         0.00000
    0.0000000000,    0.0000220000,    0.0000000000,   34.0268554688,         0.00000,    101772.69675,         1.23060,       288.16000,         0.00000
    0.0000000000,    0.0000240000,    0.0000000000,   34.0268554688,         0.00000,    101758.31467,         1.23042,       288.16000,         0.00000
    0.0000000000,    0.0000260000,    0.0000000000,   34.0268554688,         0.00000,    101745.75900,         1.23027,       288.16000,         0.00000
    0.0000000000,    0.0000280000,    0.0000000000,   34.0268554688,         0.00000,    101734.67728,         1.23014,       288.16000,         0.00000
    0.0000000000,    0.0000300000,    0.0000000000,   34.0268554688,         0.00000,    101724.78854,         1.23002,       288.16000,         0.00000
    0.0000000000,    0.0000320000,    0.0000000000,   34.0268554688,         0.00000,    101715.88339,         1.22991,       288.16000,         0.00000
    0.0000000000,    0.0000340000,    0.0000000000,   34.0268554688,         0.00000,    101707.79434,         1.22981,       288.16000,         0.00000
    0.0000000000,    0.0000360000,    0.0000000000,   34.0268554688,         0.00000,    101700.39051,         1.22972,       288.16000,         0.00000
    0.0000000000,    0.0000380000,    0.0000000000,   34.0268554688,         0.00000,    101693.56631,         1.22964,       288.16000,         0.00000
    0.0000000000,    0.0000400000,    0.0000000000,   34.0268554688,         0.00000,    101687.23667,         1.22956,       288.16000,         0.00000
    0.0000000000,    0.0000420000,    0.0000000000,   34.0268554688,         0.00000,    101681.33196,         1.22949,       288.16000,         0.00000
    0.0000000000,    0.0000440000,    0.0000000000,   34.0268554688,         0.00000,    101675.79503,         1.22942,       288.16000,         0.00000
    0.0000000000,    0.0000460000,    0.0000000000,   34.0268554688,         0.00000,    101670.57850,         1.22936,       288.16000,         0.00000
    0.0000000000,    0.0000480000,    0.0000000000,   34.0268554688,         0.00000,    101665.64305,         1.22930,       288.16000,         0.00000
    0.0000000000,    0.0000500000,    0.0000000000,   34.0268554688,         0.00000,    101660.95585,         1.22925,       288.16000,         0.00000
    0.0000000000,    0.0000520000,    0.0000000000,   34.0268554688,         0.00000,    101656.48946,         1.22919,       288.16000,         0.00000
    0.0000000000,    0.0000540000,    0.0000000000,   34.0268554688,         0.00000,    101652.22088,         1.22914,       288.16000,         0.00000
    0.0000000000,    0.0000560000,    0.0000000000,   34.0268554688,         0.00000,    101648.13082,         1.22909,       288.16000,         0.00000
    0.0000000000,    0.0000580000,    0.0000000000,   34.0268554688,         0.00000,    101644.20311,         1.22904,       288.16000,         0.00000
    0.0000000000,    0.0000600000,    0.0000000000,   34.0268554688,         0.00000,    101640.42416,         1.22900,       288.16000,         0.00000
    0.0000000000,    0.0000620000,    0.0000000000,   34.0268554688,         0.00000,    101636.78258,         1.22895,       288.16000,         0.00000
    0.0000000000,    0.0000640000,    0.0000000000,   34.0268554688,         0.00000,    101633.26884,         1.22891,       288.16000,         0.00000
    0.0000000000,    0.0000660000,    0.0000000000,   34.0268554688,         0.00000,    101629.87495,         1.22887,       288.16000,         0.00000
    0.0000000000,    0.0000680000,    0.0000000000,   34.0268554688,         0.00000,    101626.59422,         1.22883,       288.16000,         0.00000
    0.0000000000,    0.0000700000,    0.0000000000,   34.0268554688,         0.00000,    101623.42106,         1.22879,       288.16000,         0.00000
    0.0000000000,    0.0000720000,    0.0000000000,   34.0268554688,         0.00000,    101620.35082,         1.22875,       288.16000,         0.00000
    0.0000000000,    0.0000740000,    0.0000000000,   34.0268554688,         0.00000,    101617.37961,         1.22872,       288.16000,         0.00000
    0.0000000000,    0.0000760000,    0.0000000000,   34.0268554688,         0.00000,    101614.50418,         1.22868,       288.16000,         0.00000
    0.0000000000,    0.0000780000,    0.0000000000,   34.0268554688,         0.00000,    101611.72179,         1.22865,       288.16000,         0.00000
    0.0000000000,    0.0000800000,    0.0000000000,   34.0268554688,         0.00000,    101609.03016,         1.22862,       288.16000,         0.00000
    0.0000000000,    0.0000820000,    0.0000000000,   34.0268554688,         0.00000,    101606.42734,         1.22859,       288.16000,         0.00000
    0.0000000000,    0.0000840000,    0.0000000000,   34.0268554688,         0.00000,    101603.91165,         1.22856,       288.16000,         0.00000
    0.0000000000,    0.0000860000,    0.0000000000,   34.0268554688,         0.00000,    101601.48163,         1.22853,       288.16000,         0.00000
    0.0000000000,    0.0000880000,    0.0000000000,   34.0268554688,         0.00000,    101599.13595,         1.22850,       288.16000,         0.00000
    0.0000000000,    0.0000900000,    0.0000000000,   34.0268554688,         0.00000,    101596.87342,         1.22847,       288.16000,         0.00000
    0.0000000000,    0.0000920000,    0.0000000000,   34.0268554688,         0.00000,    101594.69286,         1.22844,       288.16000,         0.00000
    0.0000000000,    0.0000940000,    0.0000000000,   34.0268554688,         0.00000,    101592.59314,         1.22842,       288.16000,         0.00000
    0.0000000000,    0.0000960000,    0.0000000000,   34.0268554688,         0.00000,    101590.57312,         1.22839,       288.16000,         0.00000
    0.0000000000,    0.0000980000,    0.0000000000,   34.0268554688,         0.00000,    101588.63162,         1.22837,       288.16000,         0.00000
    0.0000000000,    0.0001000000,    0.0000000000,   34.0268554688,         0.00000,    101586.76738,         1.22835,       288.16000,         0.00000
    0.0000000000,    0.0001020000,    0.0000000000,   34.0268554688,         0.00000,    101584.97911,         1.22833,       288.16000,         0.00000
    0.0000000000,    0.0001040000,    0.0000000000,   34.0268554688,         0.00000,    101583.26539,         1.22831,       288.16000,         0.00000
    0.0000000000,    0.0001060000,    0.0000000000,   34.0268554688,         0.00000,    101581.62473,         1.22829,       288.16000,         0.00000
    0.0000000000,    0.0001080000,    0.0000000000,   34.0268554688,         0.00000,    101580.05554,         1.22827,       288.16000,         0.00000
    0.0000000000,    0.0001100000,    0.0000000000,   34.0268554688,         0.00000,    101578.55613,         1.22825,       288.16000,         0.00000
    0.0000000000,    0.0001120000,    0.0000000000,   34.0268554688,         0.00000,    101577.12475,         1.22823,       288.16000,         0.00000
    0.0000000000,    0.0001140000,    0.0000000000,   34.0268554688,         0.00000,    101575.75952,         1.22822,       288.16000,         0.00000
    0.0000000000,    0.0001160000,    0.0000000000,   34.0268554688,         0.00000,    101574.45853,         1.22820,       288.16000,         0.00000
    0.0000000000,    0.0001180000,    0.0000000000,   34.0268554688,         0.00000,    101573.21980,         1.22818,       288.16000,         0.00000
    0.0000000000,    0.0001200000,    0.0000000000,   34.0268554688,         0.00000,    101572.04129,         1.22817,       288.16000,         0.00000
    0.0000000000,    0.0001220000,    0.0000000000,   34.0268554688,         0.00000,    101570.92095,         1.22816,       288.16000,         0.00000
