X,Y,Z,u,v,p,rho,T,Mach
    0.0000000000,    0.0000000000,    0.0000000000,   34.0268554688,         0.00000,    146851.30888,         1.77567,       288.16000,         0.10000
    0.0000000000,    0.0000021500,    0.0000000000,   34.0268554688,         0.00000,    146784.78158,         1.77487,       288.16000,         0.10000
    0.0000000000,    0.0000043000,    0.0000000000,   34.0268554688,         0.00000,    146718.25429,         1.77406,       288.16000,         0.10000
    0.0000000000,    0.0000064500,    0.0000000000,   34.0268554688,         0.00000,    146726.80631,         1.77416,       288.16000,         0.10000
    0.0000000000,    0.0000086000,    0.0000000000,   34.0268554688,         0.00000,    146624.69173,         1.77293,       288.16000,         0.10000
    0.0000000000,    0.0000107500,    0.0000000000,   34.0268554688,         0.00000,    146548.80809,         1.77201,       288.16000,         0.10000
    0.0000000000,    0.0000129000,    0.0000000000,   34.0268554688,         0.00000,    146495.64592,         1.77137,       288.16000,         0.10000
    0.0000000000,    0.0000150500,    0.0000000000,   34.0268554688,         0.00000,    146462.48284,         1.77097,       288.16000,         0.10000
    0.0000000000,    0.0000172000,    0.0000000000,   34.0268554688,         0.00000,    146442.18208,         1.77072,       288.16000,         0.10000
    0.0000000000,    0.0000193500,    0.0000000000,   34.0268554688,         0.00000,    146430.94070,         1.77059,       288.16000,         0.10000
    0.0000000000,    0.0000215000,    0.0000000000,   34.0268554688,         0.00000,    146427.15525,         1.77054,       288.16000,         0.10000
    0.0000000000,    0.0000236500,    0.0000000000,   34.0268554688,         0.00000,    146430.29006,         1.77058,       288.16000,         0.10000
    0.0000000000,    0.0000258000,    0.0000000000,   34.0268554688,         0.00000,    146440.44058,         1.77070,       288.16000,         0.10000
    0.0000000000,    0.0000279500,    0.0000000000,   34.0268554688,         0.00000,    146458.69131,         1.77092,       288.16000,         0.10000
    0.0000000000,    0.0000301000,    0.0000000000,   34.0268554688,         0.00000,    146486.04476,         1.77125,       288.16000,         0.10000
    0.0000000000,    0.0000322500,    0.0000000000,   34.0268554688,         0.00000,    146527.13441,         1.77175,       288.16000,         0.10000
    0.0000000000,    0.0000344000,    0.0000000000,   34.0268554688,         0.00000,    146581.20161,         1.77240,       288.16000,         0.10000
    0.0000000000,    0.0000365500,    0.0000000000,   34.0268554688,         0.00000,    146663.17322,         1.77339,       288.16000,         0.10000
    0.0000000000,    0.0000387000,    0.0000000000,   34.0268554688,         0.00000,    146750.31907,         1.77445,       288.16000,         0.10000
    0.0000000000,    0.0000408500,    0.0000000000,   34.0268554688,         0.00000,    147162.23262,         1.77943,       288.16000,         0.10000
    0.0000000000,    0.0000430000,    0.0000000000,   34.0268554688,         0.00000,    147574.14617,         1.78441,       288.16000,         0.10000
    0.0000021500,    0.0000000000,    0.0000000000,    0.0000000000,         0.00000,    146631.59777,         1.77301,       288.16000,         0.00000
    0.0000021500,    0.0000021500,    0.0000000000,   32.8925832146,         3.40716,    146626.18737,         1.77399,       287.99084,         0.09721
    0.0000021500,    0.0000043000,    0.0000000000,   35.0346222116,         2.98085,    146620.77698,         1.77364,       288.03723,         0.10336
    0.0000021500,    0.0000064500,    0.0000000000,   34.8573323957,         1.87572,    146646.82347,         1.77346,       288.11777,         0.10260
    0.0000021500,    0.0000086000,    0.0000000000,   34.4364612310,         1.17877,    146586.76890,         1.77251,       288.15342,         0.10126
    0.0000021500,    0.0000107500,    0.0000000000,   34.2293646425,         0.76516,    146530.91352,         1.77177,       288.16466,         0.10062
    0.0000021500,    0.0000129000,    0.0000000000,   34.1413311853,         0.51894,    146486.31747,         1.77122,       288.16628,         0.10035
    0.0000021500,    0.0000150500,    0.0000000000,   34.1067005603,         0.35034,    146456.07070,         1.77085,       288.16606,         0.10024
    0.0000021500,    0.0000172000,    0.0000000000,   34.0913704618,         0.21914,    146436.81574,         1.77062,       288.16578,         0.10019
    0.0000021500,    0.0000193500,    0.0000000000,   34.0842475845,         0.10672,    146425.90095,         1.77049,       288.16558,         0.10017
    0.0000021500,    0.0000215000,    0.0000000000,   34.0820942903,         0.00242,    146422.02188,         1.77045,       288.16536,         0.10016
    0.0000021500,    0.0000236500,    0.0000000000,   34.0846207310,        -0.10159,    146424.63478,         1.77048,       288.16496,         0.10017
    0.0000021500,    0.0000258000,    0.0000000000,   34.0930362403,        -0.21370,    146433.72860,         1.77059,       288.16421,         0.10020
    0.0000021500,    0.0000279500,    0.0000000000,   34.1109557246,        -0.34385,    146450.10868,         1.77080,       288.16254,         0.10025
    0.0000021500,    0.0000301000,    0.0000000000,   34.1461075048,        -0.50903,    146474.28575,         1.77112,       288.15898,         0.10036
    0.0000021500,    0.0000322500,    0.0000000000,   34.2247442801,        -0.73531,    146509.52073,         1.77160,       288.14902,         0.10061
    0.0000021500,    0.0000344000,    0.0000000000,   34.4169068601,        -1.09808,    146553.50704,         1.77228,       288.12515,         0.10120
    0.0000021500,    0.0000365500,    0.0000000000,   34.8637397224,        -1.73062,    146618.37237,         1.77337,       288.07670,         0.10260
    0.0000021500,    0.0000387000,    0.0000000000,   35.0487609843,        -2.84082,    146687.33392,         1.77402,       288.10538,         0.10335
    0.0000021500,    0.0000408500,    0.0000000000,   32.8190855300,        -3.27038,    146968.33496,         1.77618,       288.30742,         0.09690
    0.0000021500,    0.0000430000,    0.0000000000,    0.0000000000,         0.00000,    147249.33600,         1.78048,       288.16000,         0.00000
    0.0000043000,    0.0000000000,    0.0000000000,    0.0000000000,         0.00000,    146411.88666,         1.77036,       288.16000,         0.00000
