X,Y,Z,u,v,p,rho,T,Mach
  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.01010101E-07,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.02020202E-07,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.03030303E-07,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.04040404E-07,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  5.05050505E-07,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  6.06060606E-07,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  7.07070707E-07,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  8.08080808E-07,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  9.09090909E-07,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.01010101E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.11111111E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.21212121E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.31313131E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.41414141E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.51515152E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.61616162E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.71717172E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.81818182E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  1.91919192E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.02020202E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.12121212E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.22222222E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.32323232E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.42424242E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.52525253E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.62626263E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.72727273E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.82828283E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  2.92929293E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.03030303E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.13131313E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.23232323E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.33333333E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.43434343E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.53535354E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.63636364E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.73737374E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.83838384E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  3.93939394E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.04040404E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.14141414E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.24242424E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.34343434E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.44444444E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.54545455E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.64646465E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.74747475E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.84848485E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  4.94949495E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  5.05050505E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
  0.00000000E+00,  5.15151515E-06,  0.00000000E+00,  1.36107422E+03,  0.00000000E+00,  1.01325000E+05,  1.22518315E+00,  2.88160004E+02,  4.00000003E+00
