X,T
  0.00000000E+00,  3.00000000E+02
  1.00001000E-05,  2.99495375E+02
  2.00002000E-05,  2.98990760E+02
  3.00003000E-05,  2.98486144E+02
  4.00004000E-05,  2.97981560E+02
  5.00005000E-05,  2.97476975E+02
  6.00006000E-05,  2.96972440E+02
  7.00007000E-05,  2.96467906E+02
  8.00008000E-05,  2.95963442E+02
  9.00009000E-05,  2.95458978E+02
  1.00001000E-04,  2.94954605E+02
  1.10001100E-04,  2.94450232E+02
  1.20001200E-04,  2.93945970E+02
  1.30001300E-04,  2.93441708E+02
  1.40001400E-04,  2.92937577E+02
  1.50001500E-04,  2.92433446E+02
  1.60001600E-04,  2.91929467E+02
  1.70001700E-04,  2.91425487E+02
  1.80001800E-04,  2.90921678E+02
  1.90001900E-04,  2.90417870E+02
  2.00002000E-04,  2.89914253E+02
  2.10002100E-04,  2.89410636E+02
  2.20002200E-04,  2.88907230E+02
  2.30002300E-04,  2.88403825E+02
  2.40002400E-04,  2.87900651E+02
  2.50002500E-04,  2.87397477E+02
  2.60002600E-04,  2.86894554E+02
  2.70002700E-04,  2.86391632E+02
  2.80002800E-04,  2.85888981E+02
  2.90002900E-04,  2.85386330E+02
  3.00003000E-04,  2.84883970E+02
  3.10003100E-04,  2.84381611E+02
  3.20003200E-04,  2.83879562E+02
  3.30003300E-04,  2.83377514E+02
  3.40003400E-04,  2.82875797E+02
  3.50003500E-04,  2.82374080E+02
  3.60003600E-04,  2.81872715E+02
  3.70003700E-04,  2.81371349E+02
  3.80003800E-04,  2.80870354E+02
  3.90003900E-04,  2.80369359E+02
  4.00004000E-04,  2.79868754E+02
  4.10004100E-04,  2.79368150E+02
  4.20004200E-04,  2.78867956E+02
  4.30004300E-04,  2.78367762E+02
  4.40004400E-04,  2.77867998E+02
  4.50004500E-04,  2.77368234E+02
  4.60004600E-04,  2.76868919E+02
  4.70004700E-04,  2.76369605E+02
  4.80004800E-04,  2.75870759E+02
  4.90004900E-04,  2.75371914E+02
  5.00005000E-04,  2.74873557E+02
  5.10005100E-04,  2.74375200E+02
  5.20005200E-04,  2.73877352E+02
  5.30005300E-04,  2.73379503E+02
  5.40005400E-04,  2.72882182E+02
  5.50005500E-04,  2.72384860E+02
  5.60005600E-04,  2.71888086E+02
  5.70005700E-04,  2.71391311E+02
  5.80005800E-04,  2.70895103E+02
  5.90005900E-04,  2.70398894E+02
  6.00006000E-04,  2.69903271E+02
  6.10006100E-04,  2.69407648E+02
  6.20006200E-04,  2.68912629E+02
  6.30006300E-04,  2.68417610E+02
  6.40006400E-04,  2.67923214E+02
  6.50006500E-04,  2.67428818E+02
  6.60006600E-04,  2.66935065E+02
  6.70006700E-04,  2.66441311E+02
  6.80006800E-04,  2.65948219E+02
  6.90006900E-04,  2.65455127E+02
  7.00007000E-04,  2.64962714E+02
  7.10007100E-04,  2.64470302E+02
  7.20007200E-04,  2.63978589E+02
  7.30007300E-04,  2.63486875E+02
  7.40007400E-04,  2.62995879E+02
  7.50007500E-04,  2.62504883E+02
  7.60007600E-04,  2.62014623E+02
  7.70007700E-04,  2.61524362E+02
  7.80007800E-04,  2.61034857E+02
  7.90007900E-04,  2.60545351E+02
  8.00008000E-04,  2.60056618E+02
  8.10008100E-04,  2.59567885E+02
  8.20008200E-04,  2.59079943E+02
  8.30008300E-04,  2.58592001E+02
  8.40008400E-04,  2.58104868E+02
  8.50008500E-04,  2.57617736E+02
  8.60008600E-04,  2.57131430E+02
  8.70008700E-04,  2.56645125E+02
  8.80008800E-04,  2.56159665E+02
  8.90008900E-04,  2.55674206E+02
  9.00009000E-04,  2.55189609E+02
  9.10009100E-04,  2.54705013E+02
  9.20009200E-04,  2.54221297E+02
  9.30009300E-04,  2.53737582E+02
  9.40009400E-04,  2.53254766E+02
  9.50009500E-04,  2.52771949E+02
  9.60009600E-04,  2.52290049E+02
  9.70009700E-04,  2.51808149E+02
  9.80009800E-04,  2.51327183E+02
  9.90009900E-04,  2.50846217E+02
  1.00001000E-03,  2.50366203E+02
  1.01001010E-03,  2.49886188E+02
  1.02001020E-03,  2.49407142E+02
  1.03001030E-03,  2.48928096E+02
  1.04001040E-03,  2.48450036E+02
  1.05001050E-03,  2.47971976E+02
  1.06001060E-03,  2.47494919E+02
  1.07001070E-03,  2.47017861E+02
  1.08001080E-03,  2.46541824E+02
  1.09001090E-03,  2.46065786E+02
  1.10001100E-03,  2.45590785E+02
  1.11001110E-03,  2.45115785E+02
  1.12001120E-03,  2.44641837E+02
  1.13001130E-03,  2.44167889E+02
  1.14001140E-03,  2.43695012E+02
  1.15001150E-03,  2.43222134E+02
  1.16001160E-03,  2.42750343E+02
  1.17001170E-03,  2.42278552E+02
  1.18001180E-03,  2.41807863E+02
  1.19001190E-03,  2.41337174E+02
  1.20001200E-03,  2.40867605E+02
  1.21001210E-03,  2.40398035E+02
  1.22001220E-03,  2.39929600E+02
  1.23001230E-03,  2.39461165E+02
  1.24001240E-03,  2.38993882E+02
  1.25001250E-03,  2.38526598E+02
  1.26001260E-03,  2.38060481E+02
  1.27001270E-03,  2.37594364E+02
  1.28001280E-03,  2.37129429E+02
  1.29001290E-03,  2.36664494E+02
  1.30001300E-03,  2.36200758E+02
  1.31001310E-03,  2.35737021E+02
  1.32001320E-03,  2.35274498E+02
  1.33001330E-03,  2.34811974E+02
  1.34001340E-03,  2.34350680E+02
  1.35001350E-03,  2.33889385E+02
  1.36001360E-03,  2.33429334E+02
  1.37001370E-03,  2.32969284E+02
  1.38001380E-03,  2.32510492E+02
  1.39001390E-03,  2.32051700E+02
  1.40001400E-03,  2.31594181E+02
  1.41001410E-03,  2.31136663E+02
  1.42001420E-03,  2.30680433E+02
  1.43001430E-03,  2.30224203E+02
  1.44001440E-03,  2.29769276E+02
  1.45001450E-03,  2.29314349E+02
  1.46001460E-03,  2.28860739E+02
  1.47001470E-03,  2.28407129E+02
  1.48001480E-03,  2.27954851E+02
  1.49001490E-03,  2.27502573E+02
  1.50001500E-03,  2.27051641E+02
  1.51001510E-03,  2.26600709E+02
  1.52001520E-03,  2.26151136E+02
  1.53001530E-03,  2.25701564E+02
  1.54001540E-03,  2.25253365E+02
  1.55001550E-03,  2.24805166E+02
  1.56001560E-03,  2.24358354E+02
  1.57001570E-03,  2.23911543E+02
  1.58001580E-03,  2.23466132E+02
  1.59001590E-03,  2.23020721E+02
  1.60001600E-03,  2.22576724E+02
  1.61001610E-03,  2.22132727E+02
  1.62001620E-03,  2.21690158E+02
  1.63001630E-03,  2.21247588E+02
  1.64001640E-03,  2.20806459E+02
  1.65001650E-03,  2.20365330E+02
  1.66001660E-03,  2.19925655E+02
  1.67001670E-03,  2.19485979E+02
