 X,Y,Z,T,T_a
0.0,0.0,0.0,293.0,293.0
0.0,0.0001,0.0,373.0,365.2245332228862
0.0,0.0002,0.0,373.0,368.9924793327183
0.0,0.0003,0.0,373.0,370.308830720735
0.0,0.0004,0.0,373.0,370.9745329276394
0.0,0.0005,0.0,373.0,371.3754215946789
0.0,0.0006,0.0,373.0,371.64290312216747
0.0,0.0007,0.0,373.0,371.8338474030778
0.0,0.0008,0.0,373.0,371.97684081984215
0.0,0.0009,0.0,373.0,372.087815796841
0.0,0.001,0.0,373.0,372.17635169835825
0.0,0.0011,0.0,373.0,372.24855306494686
0.0,0.0012,0.0,373.0,372.3084935469611
0.0,0.0013,0.0,373.0,372.358995252078
0.0,0.0014,0.0,373.0,372.40207486446684
0.0,0.0015,0.0,373.0,372.4392116704476
0.0,0.0016,0.0,373.0,372.47151524630937
0.0,0.0017,0.0,373.0,372.49983404994043
0.0,0.0018,0.0,373.0,372.5248278619835
0.0,0.0019,0.0,373.0,372.54701737653795
0.0,0.002,0.0,373.0,372.5668189290848
0.0,0.0021,0.0,373.0,372.5845693103051
0.0,0.0022,0.0,373.0,372.60054381702844
0.0,0.0023,0.0,373.0,372.6149695966093
0.0,0.0024,0.0,373.0,372.6280356562419
0.0,0.0025,0.0,373.0,372.6399004702127
0.0,0.0026,0.0,373.0,372.6506978312329
0.0,0.0027,0.0,373.0,372.66054140067075
0.0,0.0028,0.0,373.0,372.6695282826305
0.0,0.0029,0.0,373.0,372.6777418572236
0.0,0.003,0.0,373.0,372.6852540456445
0.0,0.0031,0.0,373.0,372.6921271351157
0.0,0.0032,0.0,373.0,372.6984152597587
0.0,0.0033,0.0,373.0,372.70416561013707
0.0,0.0034,0.0,373.0,372.70941942709794
0.0,0.0035,0.0,373.0,372.7142128227914
0.0,0.0036,0.0,373.0,372.7185774622011
0.0,0.0037,0.0,373.0,372.72254113127497
0.0,0.0038,0.0,373.0,372.72612821222737
0.0,0.0039,0.0,373.0,372.72936008231125
0.0,0.004,0.0,373.0,372.7322554490717
0.0,0.0041,0.0,373.0,372.73483063248534
0.0,0.0042,0.0,373.0,372.7370998023649
0.0,0.0043,0.0,373.0,372.7390751777759
0.0,0.0044,0.0,373.0,372.74076719391576
0.0,0.0045,0.0,373.0,372.74218464084987
0.0,0.0046,0.0,373.0,372.74333477764014
0.0,0.0047,0.0,373.0,372.7442234246907
0.0,0.0048,0.0,373.0,372.74485503653267
0.0,0.0049,0.0,373.0,372.7452327567701
0.0,0.005,0.0,373.0,372.74535845645516
0.0,0.0051,0.0,373.0,372.7452327567701
0.0,0.0052,0.0,373.0,372.7448550365323
0.0,0.0053,0.0,373.0,372.7442234246904
0.0,0.0054,0.0,373.0,372.7433347776402
0.0,0.0055,0.0,373.0,372.7421846408499
0.0,0.0056,0.0,373.0,372.7407671939158
0.0,0.0057,0.0,373.0,372.7390751777758
0.0,0.0058,0.0,373.0,372.7370998023648
0.0,0.0059,0.0,373.0,372.7348306324855
0.0,0.006,0.0,373.0,372.7322554490719
0.0,0.0061,0.0,373.0,372.72936008231136
0.0,0.0062,0.0,373.0,372.7261282122271
0.0,0.0063,0.0,373.0,372.72254113127525
0.0,0.0064,0.0,373.0,372.7185774622009
0.0,0.0065,0.0,373.0,372.7142128227914
0.0,0.0066,0.0,373.0,372.7094194270978
0.0,0.0067,0.0,373.0,372.7041656101371
0.0,0.0068,0.0,373.0,372.6984152597587
0.0,0.0069,0.0,373.0,372.6921271351157
0.0,0.007,0.0,373.0,372.68525404564446
0.0,0.0071,0.0,373.0,372.67774185722345
0.0,0.0072,0.0,373.0,372.6695282826305
0.0,0.0073,0.0,373.0,372.66054140067087
0.0,0.0074,0.0,373.0,372.6506978312327
0.0,0.0075,0.0,373.0,372.63990047021275
0.0,0.0076,0.0,373.0,372.6280356562419
0.0,0.0077,0.0,373.0,372.61496959660917
0.0,0.0078,0.0,373.0,372.60054381702867
0.0,0.0079,0.0,373.0,372.5845693103052
0.0,0.008,0.0,373.0,372.5668189290849
0.0,0.0081,0.0,373.0,372.5470173765379
0.0,0.0082,0.0,373.0,372.5248278619834
0.0,0.0083,0.0,373.0,372.49983404994026
0.0,0.0084,0.0,373.0,372.47151524630954
0.0,0.0085,0.0,373.0,372.4392116704476
0.0,0.0086,0.0,373.0,372.4020748644666
0.0,0.0087,0.0,373.0,372.3589952520781
0.0,0.0088,0.0,373.0,372.3084935469609
0.0,0.0089,0.0,373.0,372.248553064947
0.0,0.009,0.0,373.0,372.17635169835825
0.0,0.0091,0.0,373.0,372.0878157968411
0.0,0.0092,0.0,373.0,371.97684081984204
0.0,0.0093,0.0,373.0,371.8338474030778
0.0,0.0094,0.0,373.0,371.64290312216775
0.0,0.0095,0.0,373.0,371.375421594679
0.0,0.0096,0.0,373.0,370.97453292763964
0.0,0.0097,0.0,373.0,370.30883072073493
0.0,0.0098,0.0,373.0,368.99247933271806
0.0,0.0099,0.0,373.0,365.22453322288635
0.0,0.01,0.0,293.0,293.0000000000012
0.0001,0.0,0.0,293.0,293.0
0.0001,0.0001,0.0,332.991,332.9847027141748
0.0001,0.0002,0.0,349.25,349.36343507618386
0.0001,0.0003,0.0,356.553,356.58270231359074
0.0001,0.0004,0.0,360.479,360.48477197527234
0.0001,0.0005,0.0,362.9,362.89996588465334
0.0001,0.0006,0.0,364.535,364.53388836841566
0.0001,0.0007,0.0,365.712,365.7095397785919
0.0001,0.0008,0.0,366.596,366.5942912212126
0.0001,0.0009,0.0,367.285,367.2831577117432
0.0001,0.001,0.0,367.836,367.8339573507243
0.0001,0.0011,0.0,368.286,368.28384202267614
0.0001,0.0012,0.0,368.66,368.65775219738055
