eta,f,g,h
0.0,0.0,0.0,0.21247
0.5,0.0276,0.11241,0.23689
1.0,0.11434,0.23623,0.25729
1.5,0.26521,0.36819,0.26852
2.0,0.48291,0.50238,0.26545
2.5,0.76662,0.63073,0.24491
3.0,1.1112,0.74456,0.20795
3.5,1.50756,0.83693,0.16049
4.0,1.944,0.90479,0.11145
4.5,2.40845,0.94952,0.06915
5.0,2.89043,0.97583,0.03815
5.5,3.38218,0.98959,0.01868
6.0,3.87879,0.99598,0.0081
6.5,4.37754,0.99861,0.00311
7.0,4.87713,0.99957,0.00106
7.5,5.37701,0.99988,0.00032
8.0,5.87697,0.99997,9e-05
8.5,6.37697,0.99999,2e-05
9.0,6.87696,1.0,0.0
9.5,7.37696,1.0,0.0
10.0,7.87696,1.0,0.0
