eta,f,g,h
0.0,0.0,0.0,0.97514
0.5,0.10943,0.41353,0.68262
1.0,0.39034,0.68916,0.42917
1.5,0.77986,0.85319,0.23864
2.0,1.23045,0.93904,0.1156
2.5,1.7111,0.97801,0.04815
3.0,2.20452,0.99317,0.01707
3.5,2.70261,0.99819,0.00511
4.0,3.20213,0.99959,0.00128
4.5,3.70203,0.99992,0.00027
5.0,4.20202,0.99999,5e-05
5.5,4.70201,1.0,1e-05
6.0,5.20201,1.0,0.0
6.5,5.70201,1.0,0.0
7.0,6.20201,1.0,0.0
7.5,6.70201,1.0,0.0
8.0,7.20201,1.0,0.0
8.5,7.70201,1.0,0.0
9.0,8.20201,1.0,0.0
9.5,8.70201,1.0,0.0
10.0,9.20201,1.0,0.0
