eta,f,g,h
0.0,0.0,0.0,0.33138
0.5,0.04141,0.16555,0.33027
1.0,0.16525,0.32916,0.32249
1.5,0.36944,0.48597,0.30227
2.0,0.64889,0.62887,0.26671
2.5,0.99473,0.75042,0.21762
3.0,1.39483,0.84536,0.16173
3.5,1.83541,0.91255,0.10819
4.0,2.30325,0.95521,0.06459
4.5,2.78752,0.97935,0.03423
5.0,3.2806,0.99147,0.01605
5.5,3.77787,0.99685,0.00665
6.0,4.2769,0.99896,0.00243
6.5,4.7766,0.9997,0.00078
7.0,5.27652,0.99992,0.00022
7.5,5.7765,0.99998,6e-05
8.0,6.27649,1.0,1e-05
8.5,6.77649,1.0,0.0
9.0,7.27649,1.0,0.0
9.5,7.77649,1.0,0.0
10.0,8.27649,1.0,0.0
