A=0,A=5,A=10,A=20,Y
1.0,1.0,1.0,1.0,0.0
1.0,1.017617912351055,1.0455914844315521,1.1325839809470137,0.005
1.0,1.0346842869219242,1.0883914055498836,1.2465081170516419,0.01
1.0,1.0512309069585846,1.1287699122025472,1.3475018602857687,0.015
1.0,1.0672864406338147,1.1670200524703183,1.4388095557566407,0.02
1.0,1.082876852315269,1.203378649535043,1.5224890318384063,0.025
1.0,1.0980257463309444,1.2380404033346686,1.5999462783850549,0.03
1.0,1.1127546563218633,1.2711677316682728,1.6721940790455847,0.035
1.0,1.1270832903697523,1.30289782935306,1.7399914990658205,0.04
1.0,1.141029739904201,1.333347852315881,1.8039253160032827,0.045
1.0,1.154610658733744,1.3626188029607353,1.8644605245796306,0.05
1.0,1.1678414172706628,1.3907984944668363,1.9219731985375184,0.055
1.0,1.1807362360316178,1.417963848160302,1.976772722239413,0.06
1.0,1.19330830172431,1.4441826990372844,2.0291173250020584,0.065
1.0,1.2055698686223246,1.4695152325780048,2.0792252360778587,0.07
1.0,1.2175323474477036,1.494015141080391,2.1272828842423888,0.075
1.0,1.229206383595101,1.5177305637897285,2.1734510481950915,0.08
1.0,1.2406019262210688,1.5407048583606198,2.2178695522897303,0.085
1.0,1.2517282894708242,1.5629772392906924,2.260660908096708,0.09
1.0,1.2625942069103102,1.5845833103811038,2.301933177958154,0.095
1.0,1.27320788006387,1.6055555119980056,2.3417822549324927,0.1
1.0,1.283577021820005,1.6259234992547127,2.380293698516394,0.105
1.0,1.2937088953536418,1.6457144637444725,2.4175442277593673,0.11
1.0,1.30361034911855,1.6649534088085707,2.453602946967529,0.115
1.0,1.313287848384421,1.6836633862993324,2.4885323604051197,0.12
1.0,1.322747503726757,1.70186570123255,2.522389218837184,0.125
1.0,1.3319950968218643,1.7195800895038544,2.5552252308260752,0.13
1.0,1.3410361038520218,1.7368248728847449,2.5870876643314724,0.135
1.0,1.3498757167858448,1.7536170947547092,2.6180198586402375,0.14
1.0,1.3585188627647578,1.769972639420288,2.6480616624640883,0.145
1.0,1.366970221797356,1.7859063373856834,2.6772498108350753,0.15
1.0,1.3752342429384687,1.8014320585466148,2.7056182509487856,0.155
1.0,1.3833151591082617,1.816562794959735,2.7331984251711825,0.16
1.0,1.3912170006882079,1.831310734578845,2.7600195179045413,0.165
1.0,1.3989436080147388,1.8456873271345737,2.786108671803492,0.17
1.0,1.4064986428775044,1.859703343156954,2.811491177871284,0.17500000000000002
1.0,1.4138855991170878,1.8733689269932265,2.8361906431945902,0.18
1.0,1.4211078124064984,1.8866936445505473,2.8602291394513903,0.185
1.0,1.4281684692915586,1.8996865263905651,2.8836273348192845,0.19
1.0,1.4350706155572408,1.9123561067164652,2.90640461149687,0.195
1.0,1.441817163979927,1.9247104587201573,2.9285791707099222,0.2
1.0,1.4484109015193367,1.9367572266954989,2.9501681267924704,0.20500000000000002
1.0,1.4548544959983662,1.9485036552708868,2.9711875916990342,0.21
1.0,1.4611505023142335,1.9599566160697037,2.9916527511093167,0.215
1.0,1.4673013682200082,1.9711226320687019,3.0115779331233123,0.22
1.0,1.4733094397118014,1.982007899891412,3.0309766704074352,0.225
1.0,1.4791769660534841,1.9926183102452477,3.0498617565362927,0.23
1.0,1.4849061044677887,2.00295946668641,3.068245297176413,0.23500000000000001
1.0,1.490498924519942,2.01303670287541,3.0861387566746283,0.24
1.0,1.495957412217575,2.0228550984675295,3.103553000542427,0.245
1.0,1.5012834738484866,2.0324194937664353,3.120498334266464,0.25
1.0,1.5064789395759115,2.0417345032550713,3.136984538822899,0.255
1.0,1.511545566809194,2.050804528105647,3.153020903227988,0.26
1.0,1.5164850433662114,2.059633767759713,3.168616254418212,0.265
1.0,1.5212989904424787,2.0682262306598114,3.1837789847193583,0.27
1.0,1.525988965400592,2.076585744205798,3.1985170771344835,0.275
1.0,1.53055646439252,2.084715964001525,3.2128381286550174,0.28
1.0,1.5350029248262158,2.09262038245102,3.2267493717768536,0.28500000000000003
1.0,1.5393297276870712,2.100302336757477,3.2402576943836174,0.29
1.0,1.5435381997238888,2.1077650163732073,3.253369658142073,0.295
1.0,1.5476296155082625,2.1150114699440925,3.2660915155394648,0.3
1.0,1.551605199375555,2.122044611787985,3.278429225679215,0.305
1.0,1.5554661272550168,2.1288672279428216,3.290388468939587,0.31
1.0,1.559213528395998,2.1354819818169375,3.301974660589459,0.315
1.0,1.562848486996678,2.1418914194711265,3.3131929634460806,0.32
1.0,1.5663720437412372,2.148097974559337,3.324048299651417,0.325
1.0,1.5697851972509524,2.154103972952531,3.3345453616363585,0.33
1.0,1.5730889054542865,2.159911637068067,3.3446886223355023,0.335
1.0,1.5762840868806594,2.165523089925058,3.3544823447093464,0.34
1.0,1.5793716218822493,2.170940358944384,3.3639305906255066,0.34500000000000003
1.0,1.5823523537878463,2.176165379510467,3.3730372291458326,0.35000000000000003
1.0,1.585227089992492,2.1811999983104853,3.381805944262087,0.355
1.0,1.5879966029863655,2.1860459764653806,3.3902402421190274,0.36
1.0,1.5906616313261266,2.190704992465854,3.3983434577603004,0.365
1.0,1.5932228805516975,2.1951786449254445,3.4061187614294557,0.37
1.0,1.5956810240512487,2.199468455161807,3.4135691644555717,0.375
1.0,1.5980367038769572,2.2035758696164143,3.4206975247504485,0.38
1.0,1.600290531513923,2.207502262122072,3.427506551942005,0.385
1.0,1.6024430886044578,2.211248936026892,3.4339988121664202,0.39
1.0,1.6044949276298,2.214817126182674,3.440176732539642,0.395
1.0,1.6064465725511663,2.218208000805007,3.446042605327142,0.4
1.0,1.608298519411908,2.2214226632118192,3.451598591829196,0.405
1.0,1.6100512369024136,2.2244621534465687,3.4568467259975026,0.41000000000000003
1.0,1.6117051668892783,2.2273274497917575,3.461788917797618,0.41500000000000004
1.0,1.6132607249101478,2.230019470178001,3.4664269563304444,0.42
1.0,1.6147183006355383,2.232539073493449,3.470762512724865,0.425
1.0,1.6160782582988338,2.2348870607979587,3.4747971428125863,0.43
1.0,1.6173409370955685,2.2370641764460473,3.4785322895952517,0.435
1.0,1.6185066515530133,2.239071109122308,3.481969285513,0.44
1.0,1.619575691871001,2.2409084927926455,3.4851093545228005,0.445
1.0,1.6205483242348435,2.242576907574383,3.487953613994109,0.45
1.0,1.6214247911011237,2.2440768805280067,3.4905030764286478,0.455
1.0,1.622205311457063,2.2454088863730455,3.492758651010436,0.46
1.0,1.6228900810541058,2.2465733481303167,3.494721144991529,0.465
1.0,1.623479272616291,2.2475706376925397,3.4963912649183215,0.47000000000000003
1.0,1.6239730360239149,2.248401076325074,3.497769617702675,0.47500000000000003
1.0,1.624371498472933,2.2490649350983207,3.4988567115415763,0.48
1.0,1.6246747646104853,2.2495624352531083,3.499652956688492,0.485
1.0,1.6248829166468715,2.2498937485001855,3.500158666079076,0.49
1.0,1.6249960144442461,2.2500589972547265,3.500374055813373,0.495
