A=0,A=5,A=10,A=20,Y
1.0,1.0,1.0,1.0,0.0
1.0,1.066665138590908,1.2166577244917416,1.7665958995195798,0.005
1.0,1.1283304992280159,1.3908757179887172,2.183902673560005,0.01
1.0,1.185887211706353,1.5404976486032793,2.513853100878235,0.015
1.0,1.2399861499189553,1.6733966615865175,2.7951444196343154,0.02
1.0,1.291120364076498,1.7939200959671453,3.043946031811366,0.025
1.0,1.3396742387294152,1.9047825619274883,3.2689579429140587,0.03
1.0,1.385954493184408,2.00781886736271,3.475528673622431,0.035
1.0,1.4302106243583268,2.1043402258435613,3.667235449875487,0.04
1.0,1.4726488898740178,2.1953233822987634,3.846615263364559,0.045
1.0,1.513442169279814,2.2815197315795284,4.015547048201713,0.05
1.0,1.5527371009618118,2.36352237698219,4.175469666508924,0.055
1.0,1.5906593636947055,2.441809441150995,4.327514687492068,0.06
1.0,1.6273176615491007,2.516773188098071,4.472591539836853,0.065
1.0,1.662806781985651,2.588740267864905,4.611444436919363,0.07
1.0,1.6972099782281023,2.6579861901986948,4.744691758496771,0.075
1.0,1.7306008502492285,2.724745923203624,4.872854091048622,0.08
1.0,1.763044847841736,2.7892218168354614,4.996374688768315,0.085
1.0,1.7946004847937274,2.8515896346013307,5.115634723402603,0.09
1.0,1.8253203293859745,2.912003218940273,5.230964861994794,0.095
1.0,1.855251819688521,2.9705981512539923,5.342654200794435,0.1
1.0,1.884437940169879,3.027494659828334,5.450957259196178,0.105
1.0,1.9129177874543124,3.082799956676667,5.556099525960359,0.11
1.0,1.940727046683407,3.136610134917618,5.658281908619836,0.115
1.0,1.9678983951902074,3.1890117238395113,5.757684340542297,0.12
1.0,1.9944618466199875,3.240082974364393,5.854468733060532,0.125
1.0,2.0204450459125667,3.289894930023153,5.948781412646627,0.13
1.0,2.0458735234721175,3.338512325697337,6.04075514902112,0.135
1.0,2.070770915230931,3.3859943468717155,6.130510855245533,0.14
1.0,2.0951591540473893,3.432395275020611,6.2181590225024195,0.145
1.0,2.119058636880523,3.477765039360923,6.30380093855771,0.15
1.0,2.142488371391253,3.5221496910834325,6.387529728540548,0.155
1.0,2.165466104986979,3.5655918129928104,6.4694312487667265,0.16
1.0,2.188008438816396,3.6081308750097407,6.549584858235845,0.165
1.0,2.2101309288086233,3.6498035440439085,6.628064087691922,0.17
1.0,2.231848175514474,3.690643955208184,6.704937222420291,0.17500000000000002
1.0,2.2531739042323164,3.7306839501184696,6.780267812016567,0.18
1.0,2.274121036674236,3.769953287040261,6.854115118025715,0.185
1.0,2.2947017552405966,3.8084798268489974,6.926534508475778,0.19
1.0,2.3149275608151307,3.846289698126416,6.997577806819748,0.195
1.0,2.3348093248624577,3.8834074441883435,7.067293601572829,0.2
1.0,2.3543573365006845,3.919856154406775,7.135727521931627,0.20500000000000002
1.0,2.3735813451297756,3.9556575818319977,7.202922483840585,0.21
