X,Y,Z,U,V
0.0,0.0,0.0,0.1000000014901161,0.0
0.0,0.02,0.0,0.0,0.0
0.0,0.04,0.0,0.0,0.0
0.0,0.06,0.0,0.0,0.0
0.0,0.08,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.12,0.0,0.0,0.0
0.0,0.14,0.0,0.0,0.0
0.0,0.16,0.0,0.0,0.0
0.0,0.1799999999999999,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.22,0.0,0.0,0.0
0.0,0.2399999999999999,0.0,0.0,0.0
0.0,0.26,0.0,0.0,0.0
0.0,0.28,0.0,0.0,0.0
0.0,0.2999999999999999,0.0,0.0,0.0
0.0,0.32,0.0,0.0,0.0
0.0,0.34,0.0,0.0,0.0
0.0,0.3599999999999999,0.0,0.0,0.0
0.0,0.38,0.0,0.0,0.0
0.0,0.4,0.0,0.0,0.0
0.0,0.4199999999999999,0.0,0.0,0.0
0.0,0.44,0.0,0.0,0.0
0.0,0.46,0.0,0.0,0.0
0.0,0.4799999999999999,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0
0.0,0.52,0.0,0.0,0.0
0.0,0.54,0.0,0.0,0.0
0.0,0.56,0.0,0.0,0.0
0.0,0.5799999999999998,0.0,0.0,0.0
0.0,0.5999999999999999,0.0,0.0,0.0
0.0,0.62,0.0,0.0,0.0
0.0,0.64,0.0,0.0,0.0
0.0,0.66,0.0,0.0,0.0
0.0,0.68,0.0,0.0,0.0
0.0,0.7,0.0,0.0,0.0
0.0,0.7199999999999999,0.0,0.0,0.0
0.0,0.7399999999999999,0.0,0.0,0.0
0.0,0.76,0.0,0.0,0.0
0.0,0.78,0.0,0.0,0.0
0.0,0.8,0.0,0.0,0.0
0.0,0.82,0.0,0.0,0.0
0.0,0.8399999999999999,0.0,0.0,0.0
0.0,0.8599999999999999,0.0,0.0,0.0
0.0,0.88,0.0,0.0,0.0
0.0,0.9,0.0,0.0,0.0
0.0,0.92,0.0,0.0,0.0
0.0,0.94,0.0,0.0,0.0
0.0,0.96,0.0,0.0,0.0
0.0,0.98,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.02,0.0,0.0,0.0
0.0,1.04,0.0,0.0,0.0
0.0,1.06,0.0,0.0,0.0
0.0,1.08,0.0,0.0,0.0
0.0,1.1,0.0,0.0,0.0
0.0,1.12,0.0,0.0,0.0
0.0,1.14,0.0,0.0,0.0
0.0,1.16,0.0,0.0,0.0
0.0,1.18,0.0,0.0,0.0
0.0,1.2,0.0,0.0,0.0
0.0,1.22,0.0,0.0,0.0
0.0,1.24,0.0,0.0,0.0
0.0,1.26,0.0,0.0,0.0
0.0,1.28,0.0,0.0,0.0
0.0,1.3,0.0,0.0,0.0
0.0,1.32,0.0,0.0,0.0
0.0,1.34,0.0,0.0,0.0
0.0,1.36,0.0,0.0,0.0
0.0,1.38,0.0,0.0,0.0
0.0,1.4,0.0,0.0,0.0
0.0,1.42,0.0,0.0,0.0
0.0,1.44,0.0,0.0,0.0
0.0,1.46,0.0,0.0,0.0
0.0,1.48,0.0,0.0,0.0
0.0,1.5,0.0,0.0,0.0
0.0,1.52,0.0,0.0,0.0
0.0,1.54,0.0,0.0,0.0
0.0,1.56,0.0,0.0,0.0
0.0,1.58,0.0,0.0,0.0
0.0,1.6,0.0,0.0,0.0
0.0,1.62,0.0,0.0,0.0
0.0,1.64,0.0,0.0,0.0
0.0,1.66,0.0,0.0,0.0
0.0,1.68,0.0,0.0,0.0
0.0,1.7,0.0,0.0,0.0
0.0,1.72,0.0,0.0,0.0
0.0,1.74,0.0,0.0,0.0
0.0,1.76,0.0,0.0,0.0
0.0,1.78,0.0,0.0,0.0
0.0,1.8,0.0,0.0,0.0
0.0,1.82,0.0,0.0,0.0
0.0,1.84,0.0,0.0,0.0
0.0,1.86,0.0,0.0,0.0
0.0,1.88,0.0,0.0,0.0
0.0,1.9,0.0,0.0,0.0
0.0,1.92,0.0,0.0,0.0
0.0,1.94,0.0,0.0,0.0
0.0,1.96,0.0,0.0,0.0
0.0,1.98,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.02,0.0,0.0,0.1000000014901161,0.0
0.02,0.02,0.0,0.003426139742986872,6.0324126566643695e-05
0.02,0.04,0.0,7.925744271152177e-05,5.929361805846455e-05
0.02,0.06,0.0,1.5833911216744372e-05,5.418437586665594e-05
0.02,0.08,0.0,1.356162760331108e-05,4.990183454984421e-05
0.02,0.1,0.0,1.2107733798474191e-05,4.593074248101148e-05
0.02,0.12,0.0,1.0756039980809924e-05,4.2241411357366855e-05
0.02,0.14,0.0,9.510342705977183e-06,3.881613628013405e-05
0.02,0.16,0.0,8.372426368920312e-06,3.563833530924072e-05
0.02,0.1799999999999999,0.0,7.339727179182479e-06,3.269235621541035e-05
0.02,0.2,0.0,6.407396110437561e-06,2.996342340831521e-05
0.02,0.22,0.0,5.5694125493134285e-06,2.743758957900128e-05
0.02,0.2399999999999999,0.0,4.819216325741451e-06,2.510169019068924e-05
0.02,0.26,0.0,4.15008391773788e-06,2.294330072800964e-05
0.02,0.28,0.0,3.5553583961004007e-06,2.0950696675196005e-05
0.02,0.2999999999999999,0.0,3.028590953844581e-06,1.911281614326157e-05
0.02,0.32,0.0,2.563626742709652e-06,1.74192250145759e-05
0.02,0.34,0.0,2.154654570924821e-06,1.5860084438431267e-05
0.02,0.3599999999999999,0.0,1.7962326656626437e-06,1.4426120492358995e-05
0.02,0.38,0.0,1.483298382843133e-06,1.3108595817284438e-05
0.02,0.4,0.0,1.2111670974333693e-06,1.1899283036558474e-05
0.02,0.4199999999999999,0.0,9.755238250864534e-07,1.079043977676532e-05
0.02,0.44,0.0,7.724100265131168e-07,9.774785119972943e-06
0.02,0.46,0.0,5.982073099272179e-07,8.845477331285838e-06
0.02,0.4799999999999999,0.0,4.496192440543872e-07,7.996092721077182e-06
0.02,0.5,0.0,3.236521447055708e-07,7.220605517300394e-06
0.02,0.52,0.0,2.1759545142556945e-07,6.513368639191941e-06
0.02,0.54,0.0,1.2900213466256488e-07,5.869095279030152e-06
0.02,0.56,0.0,5.5669446755815735e-08,5.28284121307931e-06
0.02,0.5799999999999998,0.0,-4.379762669292493e-09,4.749987776204324e-06
