PID,X,Y,Vx,Vy
0.0,-0.3887630128168896,-1.495534503138632,-7.82022217222562e-06,-1.4650156893193208e-06
1.0,-0.38873973031448444,-1.4956170641863733,-8.658199187096027e-06,5.800693880235259e-06
2.0,-0.3887481384409026,-1.495638378708613,-1.1317557480569786e-05,-2.750038734524665e-06
3.0,-0.38879307026856386,-1.4956009478972185,-4.486926600375739e-06,5.404469892882539e-06
4.0,-0.388693098964547,-1.4955073343400374,-7.587452394350438e-06,-8.461031319672825e-06
5.0,-0.38874664421533534,-1.4956715834568615,-1.0927163799583213e-05,1.1235391915156539e-05
6.0,-0.3887151490856519,-1.4954759665929303,-1.219829541907485e-05,-1.0770110793261313e-05
7.0,-0.3887617008661905,-1.4956202510123715,-6.336928862618834e-06,6.034733487611134e-06
8.0,-0.3887669449603068,-1.4955513934199705,-9.875294187980965e-06,-2.814261308835135e-06
9.0,-0.3887829541365552,-1.4955697887362016,-3.029993898437614e-06,-5.38901864455974e-06
10.0,-0.3887184220869633,-1.4955258607187971,-1.220888374250937e-05,-5.781043972641976e-06
