 x_best,y_best,f_eval
    -2.08540,     0.50996,     1.13008
     2.72289,     0.64103,     1.07395
     1.92568,     0.14327,     0.65183
     1.92568,     0.14327,     0.65183
     1.92568,     0.14327,     0.65183
     2.36183,     0.11973,     0.41278
     2.42152,     0.36240,     0.12498
     2.78926,     0.47148,     0.02359
     3.06850,     0.49508,     0.01190
     3.06850,     0.49508,     0.01190
     2.94538,     0.48863,     0.00064
     2.94538,     0.48863,     0.00064
     2.94538,     0.48863,     0.00064
     2.94538,     0.48863,     0.00064
     2.94659,     0.48502,     0.00053
     2.95288,     0.48710,     0.00040
     3.01154,     0.50102,     0.00010
     3.01154,     0.50102,     0.00010
     3.01154,     0.50102,     0.00010
     3.01154,     0.50102,     0.00010
     2.99559,     0.49919,     0.00000
     2.99559,     0.49919,     0.00000
     2.99559,     0.49919,     0.00000
     2.99559,     0.49919,     0.00000
     2.99559,     0.49919,     0.00000
     2.99559,     0.49919,     0.00000
     2.99634,     0.49878,     0.00000
     2.99634,     0.49878,     0.00000
     2.99634,     0.49878,     0.00000
     3.00154,     0.50030,     0.00000
     3.00154,     0.50030,     0.00000
     3.00154,     0.50030,     0.00000
     3.00154,     0.50030,     0.00000
     2.99832,     0.49954,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00015,     0.50004,     0.00000
     3.00002,     0.50000,     0.00000
     3.00003,     0.50001,     0.00000
     3.00003,     0.50001,     0.00000
     2.99999,     0.50000,     0.00000
     2.99999,     0.50000,     0.00000
     2.99999,     0.50000,     0.00000
     2.99999,     0.50000,     0.00000
     2.99999,     0.50000,     0.00000
     3.00001,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
     3.00000,     0.50000,     0.00000
