X,Y,Z,DT,T,gradTx,gradTy,gradTz
0.05,0.1,0.5,1,40.4084,-1209.32,513.864,-2.22853e-15
0.15,0.2,0.5,1,20.4994,-441.094,301.664,0
0.25,0.3,0.5,1,12.5225,-260.369,199.89,-8.66884e-16
0.35,0.4,0.5,1,8.40365,-171.827,138.005,5.98501e-16
0.45,0.5,0.5,1,5.75799,-117.024,94.3489,4.09173e-16
0.55,0.6,0.5,1,3.86869,-78.5916,62.3254,0
0.65,0.7,0.5,1,2.50474,-50.9914,39.4085,1.70907e-16
0.75,0.8,0.5,1,1.55212,-31.6728,23.6931,-1.02753e-16
0.85,0.9,0.5,1,0.908819,-18.7029,13.1047,0
0.95,1,0.5,1,0.432493,-11.7828,5.07625,2.20147e-17
0.05,0.2,0.5,1,62.3644,-657.992,168.982,2.22853e-15
0.15,0.3,0.5,1,39.8334,-330.652,156.107,-1.98527e-15
0.25,0.4,0.5,1,27.4555,-224.759,121.578,8.66884e-16
0.35,0.5,0.5,1,19.1973,-158.018,86.2995,-5.98501e-16
0.45,0.6,0.5,1,13.1118,-109.761,56.7562,2.46141e-16
0.55,0.7,0.5,1,8.59638,-73.5472,34.873,4.21531e-16
0.65,0.8,0.5,1,5.37696,-47.1499,20.1006,-1.70907e-16
0.75,0.9,0.5,1,3.18651,-29.0004,10.6762,-4.63006e-17
0.85,1,0.5,1,1.71213,-17.6093,4.59056,7.67411e-17
0.95,1.1,0.5,1,0.582758,-11.8307,0.356309,-2.20147e-17
0.05,0.3,0.5,1,74.2047,-462.842,92.47,0
0.15,0.4,0.5,1,51.7208,-281.698,94.8658,1.98527e-15
0.25,0.5,0.5,1,36.8382,-202.736,72.4495,1.70835e-15
0.35,0.6,0.5,1,25.6635,-145.08,46.4355,0
0.45,0.7,0.5,1,17.1092,-99.8468,25.7455,-6.55314e-16
0.55,0.8,0.5,1,10.8433,-65.3257,12.4038,-4.21531e-16
0.65,0.9,0.5,1,6.52486,-40.7395,4.95984,0
0.75,1,0.5,1,3.68736,-24.6262,1.13656,1.49053e-16
0.85,1.1,0.5,1,1.82693,-15.1608,-0.757196,-7.67411e-17
0.95,1.2,0.5,1,0.503754,-10.5415,-1.11193,1.87378e-17
0.05,0.4,0.5,1,80.8584,-353.92,52.2453,0
0.15,0.5,0.5,1,58.8066,-247.468,52.9026,0
0.25,0.6,0.5,1,41.9454,-183.941,32.3304,1.40211e-16
0.35,0.7,0.5,1,28.4844,-130.362,11.9392,0
0.45,0.8,0.5,1,18.2609,-86.6635,-0.372844,7.65351e-16
0.55,0.9,0.5,1,11.0771,-54.2385,-5.22142,0
0.65,1,0.5,1,6.36893,-32.4591,-5.85749,2.54187e-16
0.75,1.1,0.5,1,3.41382,-19.1581,-4.88315,1.32805e-16
0.85,1.2,0.5,1,1.56069,-11.8384,-3.42881,5.85871e-17
0.95,1.3,0.5,1,0.360373,-8.18487,-1.42043,-1.87378e-17
0.05,0.5,0.5,1,84.6537,-294.059,28.8343,0
0.15,0.6,0.5,1,62.3013,-224.837,18.09,0
0.25,0.7,0.5,1,43.3043,-166.207,-5.0425,-1.84856e-15
0.35,0.8,0.5,1,28.0514,-112.354,-18.994,0
0.45,0.9,0.5,1,17.0347,-69.926,-21.336,-9.25301e-17
0.55,1,0.5,1,9.799,-40.9288,-17.4777,3.76882e-16
0.65,1.1,0.5,1,5.35336,-23.2204,-12.2209,-2.54187e-16
0.75,1.2,0.5,1,2.71073,-13.3524,-7.70853,-1.32805e-16
0.85,1.3,0.5,1,1.14117,-8.25464,-4.20066,-5.85871e-17
0.95,1.4,0.5,1,0.219669,-5.55437,-1.24982,7.15744e-18
0.05,0.6,0.5,1,86.6252,-266.129,11.3786,0
0.15,0.7,0.5,1,62.4246,-209.207,-19.235,-2.62114e-15
0.25,0.8,0.5,1,40.9369,-145.332,-43.3626,1.63863e-15
0.35,0.9,0.5,1,24.6856,-89.0908,-45.6251,0
0.45,1,0.5,1,13.9937,-49.8816,-35.6384,-6.72821e-16
0.55,1.1,0.5,1,7.5816,-26.6023,-23.7425,-3.76882e-16
0.65,1.2,0.5,1,3.92474,-14.1876,-14.3599,1.38911e-16
0.75,1.3,0.5,1,1.87211,-8.02589,-7.99507,6.47015e-17
0.85,1.4,0.5,1,0.720554,-5.02367,-3.78485,2.39555e-17
0.95,1.5,0.5,1,0.11041,-3.25906,-0.895759,-7.15744e-18
0.05,0.7,0.5,1,86.9294,-261.896,-11.1848,0
0.15,0.8,0.5,1,58.4543,-192.425,-69.0631,2.62114e-15
0.25,0.9,0.5,1,34.6318,-115.538,-82.1021,-3.56061e-16
0.35,1,0.5,1,18.9264,-59.5298,-64.094,0
0.45,1.1,0.5,1,9.90698,-28.1306,-41.2487,0
0.55,1.2,0.5,1,5.05051,-13.1375,-23.9905,1.69873e-16
0.65,1.3,0.5,1,2.48139,-6.60063,-13.0933,-1.38911e-16
0.75,1.4,0.5,1,1.11172,-3.85097,-6.63497,-6.47015e-17
0.85,1.5,0.5,1,0.384198,-2.56026,-2.79573,-2.39555e-17
0.95,1.6,0.5,1,0.0405174,-1.5983,-0.525284,0
0.05,0.8,0.5,1,84.3883,-269.847,-65.152,0
0.15,0.9,0.5,1,48.612,-160.022,-139.337,0
0.25,1,0.5,1,24.5165,-71.7299,-111.996,-1.28257e-15
0.35,1.1,0.5,1,11.8668,-25.612,-68.2505,0
0.45,1.2,0.5,1,5.74397,-8.06935,-37.3472,0
0.55,1.3,0.5,1,2.7835,-2.69458,-19.4949,-1.69873e-16
0.65,1.4,0.5,1,1.30608,-1.37584,-9.81609,3.95571e-17
0.75,1.5,0.5,1,0.545119,-1.14104,-4.58232,1.60542e-17
0.85,1.6,0.5,1,0.161409,-0.989826,-1.70901,0
0.95,1.7,0.5,1,0.00535282,-0.603592,-0.230217,-3.75307e-21
