time,x,y,z,L
0,-1,0,0,0
0.01,-0.999995,-4.98335e-06,0.000999995,-4.93991e-06
0.02,-0.99998,-1.98669e-05,0.00199996,-2.00194e-05
0.03,-0.999955,-4.45514e-05,0.00299987,-4.67535e-05
0.04,-0.99992,-7.89376e-05,0.00399968,-7.99657e-05
0.05,-0.999875,-0.000122927,0.00499938,-0.000124923
0.06,-0.99982,-0.000176422,0.00599892,-0.000180232
0.07,-0.999755,-0.000239324,0.00699829,-0.000244044
0.08,-0.99968,-0.000311535,0.00799744,-0.000319979
0.09,-0.999595,-0.00039296,0.00899636,-0.000405061
0.1,-0.9995,-0.000483502,0.009995,-0.000499926
0.11,-0.999395,-0.000583063,0.0109933,-0.000605148
0.12,-0.99928,-0.00069155,0.0119914,-0.000719794
0.13,-0.999155,-0.000808865,0.012989,-0.000844779
0.14,-0.99902,-0.000934915,0.0139863,-0.00097994
0.15,-0.998876,-0.00106961,0.0149831,-0.00112493
0.16,-0.998721,-0.00121284,0.0159795,-0.00127994
0.17,-0.998556,-0.00136453,0.0169755,-0.00144506
0.18,-0.998381,-0.00152458,0.0179709,-0.00162002
0.19,-0.998197,-0.00169289,0.0189658,-0.00180498
0.2,-0.998002,-0.00186938,0.0199601,-0.00200003
0.21,-0.997797,-0.00205395,0.0209538,-0.00220479
0.22,-0.997583,-0.00224652,0.0219469,-0.00242001
0.23,-0.997358,-0.00244698,0.0229393,-0.00264511
0.24,-0.997124,-0.00265525,0.0239311,-0.00288
0.25,-0.99688,-0.00287124,0.0249221,-0.00312482
0.26,-0.996626,-0.00309486,0.0259124,-0.00337988
0.27,-0.996362,-0.00332602,0.0269019,-0.00364509
0.28,-0.996088,-0.00356463,0.0278906,-0.00391985
0.29,-0.995804,-0.00381061,0.0288785,-0.0042049
0.3,-0.99551,-0.00406386,0.0298655,-0.00449998
0.31,-0.995207,-0.0043243,0.0308517,-0.00480549
0.32,-0.994893,-0.00459183,0.0318369,-0.00511982
0.33,-0.99457,-0.00486639,0.0328212,-0.00544472
0.34,-0.994237,-0.00514787,0.0338045,-0.0057798
0.35,-0.993894,-0.00543619,0.0347868,-0.00612464
0.36,-0.993541,-0.00573127,0.0357681,-0.00647957
0.37,-0.993178,-0.00603301,0.0367483,-0.00684487
0.38,-0.992806,-0.00634135,0.0377274,-0.00721943
0.39,-0.992424,-0.00665619,0.0387054,-0.00760456
0.4,-0.992032,-0.00697745,0.0396823,-0.00799933
0.41,-0.99163,-0.00730505,0.040658,-0.0084042
0.42,-0.991219,-0.0076389,0.0416325,-0.00881906
0.43,-0.990798,-0.00797892,0.0426057,-0.0092439
0.44,-0.990367,-0.00832504,0.0435777,-0.00967855
0.45,-0.989926,-0.00867716,0.0445484,-0.0101236
0.46,-0.989476,-0.00903521,0.0455179,-0.0105785
0.47,-0.989016,-0.0093991,0.0464859,-0.0110434
0.48,-0.988546,-0.00976877,0.0474527,-0.0115181
0.49,-0.988067,-0.0101441,0.048418,-0.0120031
0.5,-0.987578,-0.0105251,0.0493819,-0.0124975
0.51,-0.987079,-0.0109116,0.0503443,-0.0130024
0.52,-0.986571,-0.0113035,0.0513053,-0.0135169
0.53,-0.986053,-0.0117008,0.0522648,-0.0140415
0.54,-0.985525,-0.0121035,0.0532227,-0.0145765
0.55,-0.984988,-0.0125113,0.0541792,-0.015121
0.56,-0.984442,-0.0129243,0.055134,-0.0156756
0.57,-0.983886,-0.0133423,0.0560872,-0.0162401
0.58,-0.98332,-0.0137654,0.0570388,-0.0168146
0.59,-0.982745,-0.0141933,0.0579887,-0.0173992
0.6,-0.98216,-0.0146261,0.058937,-0.0179937
0.61,-0.981566,-0.0150637,0.0598835,-0.0185981
0.62,-0.980963,-0.015506,0.0608283,-0.0192124
0.63,-0.98035,-0.0159529,0.0617714,-0.0198368
0.64,-0.979727,-0.0164043,0.0627126,-0.0204711
0.65,-0.979095,-0.0168603,0.0636521,-0.0211152
0.66,-0.978454,-0.0173206,0.0645897,-0.0217695
0.67,-0.977804,-0.0177852,0.0655255,-0.0224337
0.68,-0.977144,-0.0182542,0.0664593,-0.0231078
0.69,-0.976474,-0.0187273,0.0673913,-0.0237925
0.7,-0.975796,-0.0192045,0.0683213,-0.0244857
0.71,-0.975108,-0.0196858,0.0692494,-0.0251897
0.72,-0.974411,-0.0201711,0.0701755,-0.0259036
0.73,-0.973704,-0.0206603,0.0710996,-0.0266273
0.74,-0.972989,-0.0211533,0.0720217,-0.027361
