time,x,y,z,L
0,-2,2,2,0
0.1,-1.6115,2.14565,1.61066,-inf
0.2,-1.25036,2.20991,1.28748,-inf
0.3,-0.91996,2.22755,1.0378,-inf
0.4,-0.62053,2.2236,0.859305,-inf
0.5,-0.350336,2.21407,0.745712,-inf
0.6,-0.106654,2.20769,0.689946,0.0640533
0.7,0.113539,2.20787,0.685641,0.314074
0.8,0.313107,2.21418,0.727541,0.398769
0.9,0.494464,2.22353,0.811336,0.436497
1,0.659403,2.23093,0.933204,0.44955
1.1,0.809006,2.2301,1.08925,0.446384
1.2,0.943616,2.21411,1.27494,0.430866
1.3,1.06288,2.17593,1.48459,0.430866
1.4,1.16582,2.10915,1.71111,0.430866
1.5,1.25101,2.00877,1.94589,0.430866
1.6,1.3168,1.87197,2.17916,0.430866
1.7,1.36153,1.69873,2.40058,0.430866
1.8,1.38387,1.49215,2.60018,0.430866
1.9,1.38305,1.25834,2.76948,0.430866
2,1.35908,1.00586,2.90241,0.430866
2.1,1.31286,0.744695,2.99602,0.430866
2.2,1.24618,0.485106,3.05066,0.430866
2.3,1.16161,0.236483,3.06966,0.430866
2.4,1.06227,0.00647982,3.05864,0.430866
2.5,0.951631,-0.199455,3.02454,0.430866
2.6,0.833223,-0.378148,2.97472,0.430866
2.7,0.71045,-0.528443,2.91612,0.430866
2.8,0.58642,-0.650763,2.85479,0.430866
2.9,0.463848,-0.74661,2.7955,0.430866
3,0.345015,-0.818099,2.74174,0.430866
3.1,0.231771,-0.867598,2.69573,0.430866
3.2,0.125561,-0.897476,2.65861,0.430866
3.3,0.0274724,-0.909959,2.6306,0.430866
3.4,-0.0617108,-0.907076,2.61127,0.430866
3.5,-0.141464,-0.890651,2.59963,0.430866
3.6,-0.211477,-0.862349,2.5944,0.430866
3.7,-0.271623,-0.823718,2.59408,0.430866
3.8,-0.32193,-0.776239,2.59712,0.430866
3.9,-0.362561,-0.721369,2.60202,0.430866
4,-0.393806,-0.660557,2.60736,0.430866
4.1,-0.416062,-0.595254,2.61196,0.430866
4.2,-0.429826,-0.526898,2.61482,0.430866
4.3,-0.435685,-0.456895,2.61521,0.430866
4.4,-0.434299,-0.386586,2.61267,0.430866
4.5,-0.426391,-0.317214,2.60695,0.430866
4.6,-0.412725,-0.249897,2.59804,0.430866
4.7,-0.394092,-0.1856,2.58609,0.430866
4.8,-0.371293,-0.125122,2.57141,0.430866
4.9,-0.345119,-0.069089,2.55438,0.430866
5,-0.316337,-0.0179564,2.53546,0.430866
5.1,-0.285678,0.0279834,2.5151,0.430866
5.2,-0.253823,0.0685838,2.49376,0.430866
5.3,-0.221395,0.103827,2.47185,0.430866
5.4,-0.188954,0.133801,2.44973,0.430866
5.5,-0.156997,0.158685,2.42769,0.430866
5.6,-0.125949,0.178721,2.40597,0.430866
5.7,-0.0961723,0.194206,2.38474,0.430866
5.8,-0.0679621,0.205471,2.3641,0.430866
5.9,-0.0415545,0.212868,2.34413,0.430866
6,-0.0171282,0.216765,2.32483,0.430866
6.1,0.00519,0.21753,2.30618,0.430866
6.2,0.0253205,0.21553,2.28813,0.430866
6.3,0.0432259,0.211124,2.27063,0.430866
6.4,0.0589057,0.204658,2.2536,0.430866
6.5,0.0723919,0.196462,2.23696,0.430866
6.6,0.0837438,0.18685,2.22063,0.430866
6.7,0.093044,0.176112,2.20454,0.430866
6.8,0.100394,0.164521,2.18862,0.430866
6.9,0.10591,0.152325,2.17281,0.430866
7,0.109721,0.13975,2.15706,0.430866
7.1,0.111963,0.126998,2.14135,0.430866
7.2,0.112776,0.114248,2.12564,0.430866
7.3,0.112305,0.101658,2.10991,0.430866
7.4,0.110694,0.0893599,2.09416,0.430866
7.5,0.108085,0.0774684,2.07838,0.430866
7.6,0.104616,0.0660762,2.06258,0.430866
7.7,0.100421,0.0552574,2.04677,0.430866
7.8,0.0956247,0.045069,2.03095,0.430866
7.9,0.0903478,0.0355518,2.01514,0.430866
8,0.0847011,0.0267325,1.99935,0.430866
8.1,0.0787868,0.0186252,1.98361,0.430866
8.2,0.0726984,0.0112327,1.96791,0.430866
8.3,0.0665202,0.00454835,1.95229,0.430866
8.4,0.0603276,-0.00144274,1.93674,0.430866
8.5,0.0541868,-0.00676212,1.92129,0.430866
8.6,0.0481556,-0.0114369,1.90593,0.430866
8.7,0.0422835,-0.0154983,1.89068,0.430866
8.8,0.0366119,-0.0189811,1.87555,0.430866
8.9,0.0311751,-0.021922,1.86054,0.430866
9,0.0260005,-0.0243595,1.84565,0.430866
9.1,0.0211091,-0.0263325,1.83088,0.430866
9.2,0.0165164,-0.0278803,1.81624,0.430866
9.3,0.0122324,-0.0290416,1.80173,0.430866
9.4,0.00826272,-0.0298542,1.78734,0.430866
9.5,0.00460887,-0.0303547,1.77308,0.430866
9.6,0.00126877,-0.0305782,1.75895,0.430866
9.7,-0.0017627,-0.0305581,1.74493,0.430866
9.8,-0.00449326,-0.0303257,1.73104,0.430866
9.9,-0.0069328,-0.0299106,1.71726,0.430866
10,-0.00909296,-0.02934,1.7036,0.430866
10.1,-0.0109867,-0.0286391,1.69006,0.430866
10.2,-0.0126283,-0.027831,1.67662,0.430866
10.3,-0.0140323,-0.0269368,1.6633,0.430866
10.4,-0.0152143,-0.0259755,1.65008,0.430866
10.5,-0.0161898,-0.0249641,1.63698,0.430866
10.6,-0.0169744,-0.0239178,1.62397,0.430866
10.7,-0.0175836,-0.02285,1.61107,0.430866
10.8,-0.0180327,-0.0217724,1.59828,0.430866
10.9,-0.0183364,-0.0206954,1.58558,0.430866
11,-0.0185091,-0.0196277,1.57298,0.430866
11.1,-0.0185646,-0.0185766,1.56048,0.430866
11.2,-0.0185158,-0.0175485,1.54808,0.430866
11.3,-0.0183751,-0.0165485,1.53578,0.430866
11.4,-0.0181542,-0.0155807,1.52357,0.430866
11.5,-0.0178639,-0.0146484,1.51146,0.430866
11.6,-0.0175144,-0.0137541,1.49944,0.430866
11.7,-0.0171149,-0.0128994,1.48752,0.430866
11.8,-0.016674,-0.0120856,1.47568,0.430866
11.9,-0.0161997,-0.0113133,1.46394,0.430866
12,-0.015699,-0.0105825,1.4523,0.430866
12.1,-0.0151784,-0.00989299,1.44074,0.430866
12.2,-0.0146437,-0.00924427,1.42927,0.430866
12.3,-0.0141001,-0.00863543,1.4179,0.430866
12.4,-0.0135522,-0.00806538,1.40661,0.430866
12.5,-0.013004,-0.00753288,1.39541,0.430866
12.6,-0.0124591,-0.0070365,1.38431,0.430866
12.7,-0.0119205,-0.00657474,1.37328,0.430866
12.8,-0.0113908,-0.00614602,1.36235,0.430866
12.9,-0.0108722,-0.00574871,1.3515,0.430866
13,-0.0103666,-0.00538115,1.34074,0.430866
13.1,-0.00987555,-0.0050417,1.33006,0.430866
13.2,-0.0094002,-0.00472871,1.31947,0.430866
13.3,-0.00894152,-0.00444056,1.30896,0.430866
13.4,-0.00850021,-0.00417568,1.29853,0.430866
13.5,-0.00807675,-0.00393255,1.28819,0.430866
13.6,-0.00767144,-0.00370968,1.27793,0.430866
13.7,-0.00728441,-0.00350567,1.26775,0.430866
13.8,-0.00691566,-0.00331917,1.25765,0.430866
13.9,-0.00656505,-0.00314889,1.24763,-0.598601
14,-0.00623234,-0.00299364,1.23769,-0.492256
14.1,-0.00591719,-0.00285225,1.22783,-0.432206
14.2,-0.0056192,-0.00272367,1.21805,-0.387317
14.3,-0.00533792,-0.00260688,1.20834,-0.350706
14.4,-0.00507282,-0.00250095,1.19872,-0.319476
14.5,-0.00482335,-0.00240499,1.18916,-0.29209
14.6,-0.00458895,-0.0023182,1.17969,-0.267615
14.7,-0.004369,-0.00223983,1.17029,-0.245438
14.8,-0.00416291,-0.00216918,1.16097,-0.22513
14.9,-0.00397005,-0.00210561,1.15172,-0.206379
15,-0.00378982,-0.00204853,1.14254,-0.188948
15.1,-0.00362159,-0.0019974,1.13344,-0.172654
15.2,-0.00346478,-0.00195172,1.12441,-0.15735
15.3,-0.00331879,-0.00191104,1.11545,-0.142918
15.4,-0.00318304,-0.00187496,1.10656,-0.129261
15.5,-0.00305699,-0.00184308,1.09775,-0.116299
15.6,-0.00294009,-0.00181509,1.089,-0.103963
15.7,-0.00283182,-0.00179065,1.08032,-0.0921939
15.8,-0.00273169,-0.00176951,1.07171,-0.0809429
15.9,-0.00263923,-0.00175139,1.06318,-0.070166
16,-0.00255398,-0.00173609,1.0547,-0.0598254
16.1,-0.00247551,-0.00172339,1.0463,-0.0498877
16.2,-0.00240342,-0.00171311,1.03796,-0.0403234
16.3,-0.00233732,-0.00170509,1.02969,-0.0311062
16.4,-0.00227686,-0.00169918,1.02149,-0.0222128
16.5,-0.00222168,-0.00169526,1.01335,-0.013622
16.6,-0.00217147,-0.00169321,1.00528,-0.00531485
16.7,-0.00212593,-0.00169294,0.997267,0.00272578
16.8,-0.00208478,-0.00169435,0.989321,0.0105155
16.9,-0.00204776,-0.00169737,0.981438,0.0180686
17,-0.00201462,-0.00170193,0.973618,0.025398
17.1,-0.00198515,-0.00170798,0.965861,0.0325157
17.2,-0.00195912,-0.00171547,0.958165,0.0394326
17.3,-0.00193636,-0.00172436,0.950531,0.0461589
17.4,-0.00191667,-0.00173462,0.942957,0.0527037
17.5,-0.00189989,-0.00174622,0.935444,0.0590759
17.6,-0.00188588,-0.00175914,0.927991,0.0652833
17.7,-0.0018745,-0.00177338,0.920597,0.0713336
17.8,-0.00186562,-0.00178891,0.913262,0.0772335
17.9,-0.00185912,-0.00180574,0.905985,0.0829896
18,-0.00185491,-0.00182387,0.898766,0.088608
18.1,-0.00185289,-0.0018433,0.891605,0.0940943
