time,x,y,z,L
0,3,-2,1,0
0.1,3.08451,-1.79035,1.10479,-inf
0.2,3.13624,-1.56293,1.21798,-inf
0.3,3.15281,-1.32031,1.33684,-inf
0.4,3.13247,-1.06543,1.45719,-inf
0.5,3.07429,-0.801474,1.57328,-inf
0.6,2.9783,-0.531883,1.67798,-inf
0.7,2.84565,-0.260191,1.76324,-inf
0.8,2.67866,0.0100579,1.82096,-inf
0.9,2.48076,0.275434,1.84421,-inf
1,2.2563,0.532732,1.82844,-inf
1.1,2.01023,0.779064,1.77251,-inf
1.2,1.74769,1.01191,1.67912,-inf
1.3,1.47359,1.22915,1.55457,-inf
1.4,1.19227,1.42902,1.40782,-inf
1.5,0.907252,1.61007,1.24903,0.377345
1.6,0.621182,1.7711,1.08819,0.647585
1.7,0.335876,1.91109,0.933834,0.83912
1.8,0.0524986,2.02909,0.792342,0.986991
1.9,-0.22821,2.12421,0.667665,1.10741
2,-0.505703,2.19558,0.561492,1.20901
2.1,-0.779417,2.24234,0.473682,1.29689
2.2,-1.04862,2.26365,0.402812,1.37427
2.3,-1.31233,2.25872,0.346719,1.44323
2.4,-1.56922,2.22684,0.302951,1.50515
2.5,-1.8177,2.16738,0.269098,1.56096
2.6,-2.05585,2.07991,0.242999,1.61124
2.7,-2.28153,1.96415,0.222843,1.65639
2.8,-2.49245,1.82004,0.207188,1.69664
2.9,-2.68615,1.64777,0.194935,1.73212
3,-2.86015,1.44778,0.185274,1.76288
3.1,-3.01193,1.22081,0.177627,1.78892
3.2,-3.13903,0.967866,0.171587,1.81019
3.3,-3.23904,0.69028,0.166876,1.82661
3.4,-3.30973,0.389679,0.163307,1.83806
3.5,-3.34897,0.0679994,0.160759,1.84437
3.6,-3.35488,-0.272518,0.159158,1.84535
3.7,-3.32579,-0.629334,0.158466,1.84074
3.8,-3.26029,-0.99962,0.158676,1.83025
3.9,-3.15728,-1.38028,0.159806,1.8135
4,-3.01599,-1.76794,0.161901,1.79003
4.1,-2.836,-2.15904,0.165035,1.75929
4.2,-2.61724,-2.54975,0.169313,1.72059
4.3,-2.3601,-2.93611,0.174876,1.67303
4.4,-2.06533,-3.31398,0.181915,1.6155
4.5,-1.73416,-3.67914,0.190679,1.54653
4.6,-1.36827,-4.02729,0.201498,1.46414
4.7,-0.9698,-4.35409,0.214804,1.36557
4.8,-0.541373,-4.65523,0.231171,1.24686
4.9,-0.0861115,-4.92649,0.251366,1.10188
5,0.392357,-5.16376,0.276422,0.920442
5.1,0.889884,-5.36313,0.307751,0.683617
5.2,1.40177,-5.52092,0.347304,0.350114
5.3,1.92275,-5.63381,0.397806,0.350114
5.4,2.44689,-5.69885,0.463118,0.350114
5.5,2.96754,-5.7136,0.548763,0.350114
5.6,3.47717,-5.6762,0.66273,0.350114
5.7,3.96713,-5.58555,0.816639,0.350114
5.8,4.42729,-5.44143,1.02743,0.350114
5.9,4.84548,-5.24475,1.31964,0.350114
6,5.20677,-4.99786,1.72812,0.415805
6.1,5.49244,-4.70493,2.30044,0.453714
6.2,5.6789,-4.37251,3.0964,0.453714
6.3,5.73708,-4.01017,4.17928,0.453714
6.4,5.63353,-3.63122,5.58953,0.453714
6.5,5.33554,-3.25309,7.2918,0.453714
6.6,4.82263,-2.89699,9.10401,0.453714
6.7,4.10398,-2.58593,10.6622,0.453714
6.8,3.23334,-2.34101,11.5127,0.453714
6.9,2.30657,-2.1766,11.349,0.453714
7,1.4342,-2.09693,10.2217,0.453714
7.1,0.703975,-2.09597,8.50507,0.453714
7.2,0.158828,-2.16061,6.65568,0.453714
7.3,-0.200039,-2.27486,4.99923,0.453714
7.4,-0.396144,-2.42324,3.67534,0.514976
7.5,-0.461138,-2.59239,2.69058,0.922821
7.6,-0.42494,-2.7715,1.99006,1.02238
7.7,-0.31198,-2.952,1.50511,1.04075
7.8,-0.140894,-3.12707,1.17517,1.01429
7.9,0.0744318,-3.29123,0.953817,0.955172
8,0.323566,-3.43993,0.808018,0.867174
8.1,0.598411,-3.56933,0.715228,0.74916
8.2,0.89237,-3.67617,0.660523,0.595264
8.3,1.19975,-3.7576,0.634304,0.392589
8.4,1.51535,-3.81124,0.630663,0.114999
8.5,1.83423,-3.83505,0.646291,0.114999
8.6,2.15146,-3.82743,0.679772,0.114999
8.7,2.46208,-3.78718,0.73116,0.114999
8.8,2.76092,-3.71357,0.801716,0.114999
8.9,3.04261,-3.60636,0.893764,0.114999
9,3.3015,-3.46589,1.01056,0.114999
9.1,3.53164,-3.29307,1.15615,0.114999
9.2,3.72675,-3.08952,1.33502,0.114999
9.3,3.88033,-2.85758,1.55155,0.114999
9.4,3.98575,-2.6004,1.80894,0.114999
9.5,4.03653,-2.32194,2.10768,0.114999
9.6,4.02681,-2.02703,2.44333,0.114999
9.7,3.95206,-1.72127,2.80402,0.114999
9.8,3.80998,-1.41091,3.16844,0.114999
9.9,3.60153,-1.10261,3.50542,0.114999
10,3.33189,-0.803059,3.77682,0.114999
10.1,3.01076,-0.518514,3.94414,0.114999
