time,x,y,z,L
0,5,5,0,0
0.1,5.45716,4.0012,1.99864,-inf
0.2,5.78717,2.59843,3.0043,-inf
0.3,5.98372,1.38412,3.30296,-inf
0.4,6.07449,0.479781,3.29216,1.01659
0.5,6.08804,-0.173414,3.19755,1.03739
0.6,6.04575,-0.647419,3.1173,0.844785
0.7,5.96287,-0.991504,3.08698,0.844785
0.8,5.85078,-1.23536,3.11312,0.844785
0.9,5.71851,-1.3976,3.18828,0.844785
1,5.57351,-1.49222,3.29861,0.844785
1.1,5.42189,-1.53215,3.42851,0.844785
1.2,5.26847,-1.53029,3.56388,0.844785
1.3,5.11681,-1.49907,3.6939,0.844785
1.4,4.96927,-1.44951,3.81161,0.844785
1.5,4.82722,-1.39048,3.91341,0.844785
1.6,4.69127,-1.32841,3.99827,0.844785
1.7,4.5615,-1.26754,4.06671,0.844785
1.8,4.43764,-1.21033,4.12015,0.963369
1.9,4.31927,-1.15795,4.16029,1.05899
2,4.20588,-1.11072,4.18888,1.1162
2.1,4.09696,-1.06848,4.20753,1.15457
2.2,3.99203,-1.03081,4.21764,1.1813
2.3,3.89066,-0.997185,4.22041,1.20004
2.4,3.79248,-0.967062,4.21682,1.21295
2.5,3.69715,-0.939936,4.2077,1.22141
2.6,3.6044,-0.91536,4.19372,1.22634
2.7,3.51401,-0.892947,4.17544,1.22842
2.8,3.42575,-0.872373,4.15333,1.2281
2.9,3.33948,-0.853366,4.12777,1.22574
3,3.25504,-0.835702,4.09907,1.2216
3.1,3.1723,-0.819196,4.06753,1.21586
3.2,3.09116,-0.803695,4.03336,1.20867
3.3,3.01153,-0.789072,3.99678,1.20015
3.4,2.93332,-0.775221,3.95794,1.19038
3.5,2.85647,-0.762054,3.91702,1.17941
3.6,2.78089,-0.749496,3.87413,1.16729
3.7,2.70655,-0.737484,3.8294,1.15405
3.8,2.63338,-0.725964,3.78294,1.1397
3.9,2.56134,-0.71489,3.73484,1.12423
4,2.49039,-0.70422,3.68518,1.10764
4.1,2.42048,-0.69392,3.63405,1.0899
4.2,2.35159,-0.683959,3.58151,1.07098
4.3,2.28368,-0.674309,3.52763,1.05083
4.4,2.21672,-0.664945,3.47247,1.02938
4.5,2.15068,-0.655846,3.41608,1.00657
4.6,2.08554,-0.646992,3.35851,0.982291
4.7,2.02128,-0.638364,3.29981,0.956419
4.8,1.95786,-0.629946,3.24002,0.928805
4.9,1.89528,-0.621724,3.17919,0.899255
5,1.83351,-0.613683,3.11734,0.867527
5.1,1.77254,-0.60581,3.05452,0.8333
5.2,1.71235,-0.598095,2.99076,0.79615
5.3,1.65292,-0.590525,2.92608,0.755488
5.4,1.59424,-0.58309,2.86051,0.710464
5.5,1.53629,-0.575782,2.79408,0.659759
5.6,1.47908,-0.56859,2.72682,0.601126
5.7,1.42257,-0.561506,2.65875,0.530069
5.8,1.36677,-0.554521,2.58989,0.434197
5.9,1.31167,-0.547628,2.52025,0.434197
6,1.25724,-0.540819,2.44987,0.434197
6.1,1.2035,-0.534087,2.37876,0.434197
6.2,1.15042,-0.527424,2.30693,0.434197
6.3,1.09801,-0.520823,2.2344,0.434197
6.4,1.04626,-0.514279,2.16118,0.434197
6.5,0.995155,-0.507783,2.0873,0.434197
6.6,0.944699,-0.501329,2.01276,0.434197
6.7,0.894888,-0.49491,1.93757,0.434197
6.8,0.845716,-0.488519,1.86175,0.434197
6.9,0.797183,-0.482151,1.7853,0.434197
7,0.749286,-0.475797,1.70824,0.434197
7.1,0.702023,-0.46945,1.63058,0.434197
7.2,0.655396,-0.463104,1.55232,0.434197
7.3,0.609403,-0.456749,1.47348,0.434197
7.4,0.564046,-0.450379,1.39405,0.434197
7.5,0.519328,-0.443985,1.31405,0.434197
7.6,0.47525,-0.437558,1.23348,0.434197
7.7,0.431818,-0.431089,1.15234,0.434197
7.8,0.389034,-0.424566,1.07065,0.434197
7.9,0.346907,-0.41798,0.988393,0.434197
8,0.305441,-0.411318,0.905587,0.434197
8.1,0.264646,-0.404567,0.82223,0.434197
8.2,0.224531,-0.397712,0.738322,0.434197
8.3,0.185107,-0.390739,0.653865,0.434197
8.4,0.146388,-0.38363,0.568858,0.434197
8.5,0.108387,-0.376364,0.483299,0.434197
8.6,0.071121,-0.36892,0.397187,0.434197
8.7,0.0346095,-0.361273,0.310518,0.434197
8.8,-0.00112598,-0.353396,0.223289,0.434197
8.9,-0.0360608,-0.345255,0.135494,0.434197
9,-0.070167,-0.336814,0.0471267,0.434197
9.1,-0.103412,-0.328032,-0.0418202,0.434197
9.2,-0.13576,-0.318858,-0.131356,0.434197
9.3,-0.167169,-0.309236,-0.22149,0.434197
9.4,-0.19759,-0.299098,-0.312234,0.434197
9.5,-0.226969,-0.288367,-0.403602,0.434197
9.6,-0.255241,-0.276948,-0.495608,0.434197
9.7,-0.282332,-0.26473,-0.588268,0.434197
9.8,-0.308156,-0.251579,-0.681598,0.434197
9.9,-0.332611,-0.237335,-0.775615,0.434197
10,-0.35558,-0.221801,-0.870338,0.434197
