time,x,y,z,L
0,1,0,1,0
0.1,0.90032,-0.0902014,0.895637,-inf
0.2,0.802454,-0.161845,0.784843,-inf
0.3,0.707904,-0.216878,0.670495,-inf
0.4,0.617827,-0.257551,0.554738,-inf
0.5,0.533052,-0.2862,0.439074,-inf
0.6,0.454107,-0.305094,0.324473,-inf
0.7,0.381263,-0.316336,0.211495,-inf
0.8,0.314574,-0.32181,0.100399,-0.331447
0.9,0.253922,-0.32316,-0.00875902,-0.0850144
1,0.199055,-0.321796,-0.116052,0.0493734
1.1,0.149621,-0.318901,-0.221626,0.142949
1.2,0.105201,-0.315462,-0.325656,0.214643
1.3,0.065328,-0.312294,-0.428321,0.27269
1.4,0.02951,-0.310068,-0.529787,0.321471
1.5,-0.00275584,-0.309335,-0.630193,0.363601
1.6,-0.0319726,-0.310556,-0.729648,0.400758
1.7,-0.0586358,-0.314122,-0.828227,0.43407
1.8,-0.0832285,-0.320377,-0.925972,0.464328
1.9,-0.106219,-0.329638,-1.02289,0.492097
2,-0.128061,-0.342209,-1.11895,0.517793
2.1,-0.149193,-0.358403,-1.2141,0.541727
2.2,-0.170044,-0.378552,-1.30822,0.564133
2.3,-0.191034,-0.403023,-1.40117,0.58519
2.4,-0.212581,-0.432234,-1.49274,0.605035
2.5,-0.235106,-0.46666,-1.58269,0.623774
2.6,-0.259037,-0.50685,-1.67068,0.641484
2.7,-0.28482,-0.553439,-1.75627,0.658221
2.8,-0.312921,-0.607154,-1.83895,0.67402
2.9,-0.343838,-0.668822,-1.91802,0.688899
3,-0.378103,-0.739381,-1.99264,0.702853
3.1,-0.416293,-0.819871,-2.06171,0.715858
3.2,-0.459035,-0.91143,-2.12387,0.727866
3.3,-0.507007,-1.01527,-2.17739,0.738803
3.4,-0.56094,-1.13263,-2.22011,0.74856
3.5,-0.621612,-1.26472,-2.24931,0.75699
3.6,-0.689836,-1.41258,-2.26163,0.763898
3.7,-0.766432,-1.57691,-2.2529,0.769028
3.8,-0.852181,-1.75782,-2.21807,0.772053
3.9,-0.947758,-1.95446,-2.15113,0.772556
4,-1.05363,-2.1645,-2.04513,0.770014
4.1,-1.16989,-2.38353,-1.89236,0.763777
4.2,-1.29608,-2.6043,-1.6848,0.753046
4.3,-1.43094,-2.81597,-1.41502,0.736852
4.4,-1.57208,-3.00353,-1.0776,0.714032
4.5,-1.7157,-3.1477,-0.671086,0.714032
4.6,-1.85638,-3.22589,-0.200494,0.714032
4.7,-1.98695,-3.21444,0.3203,0.714032
4.8,-2.09881,-3.09271,0.867059,0.714032
4.9,-2.18256,-2.84826,1.40582,0.714032
5,-2.22912,-2.482,1.89663,0.714032
5.1,-2.23113,-2.01125,2.30022,0.714032
5.2,-2.18436,-1.46858,2.58623,0.714032
5.3,-2.08862,-0.896291,2.73992,0.714032
5.4,-1.94787,-0.337822,2.76475,0.714032
5.5,-1.76955,0.170562,2.68008,0.714032
5.6,-1.56326,0.605091,2.51499,0.714032
5.7,-1.33928,0.955633,2.30128,0.714032
5.8,-1.10731,1.22345,2.06768,0.714032
5.9,-0.875588,1.41729,1.83662,0.714032
6,-0.650563,1.54942,1.62344,0.714032
6.1,-0.436842,1.63265,1.43707,0.714032
6.2,-0.237431,1.67847,1.28145,0.714032
6.3,-0.0540585,1.69623,1.15709,0.714032
6.4,0.11249,1.69297,1.06228,0.714032
6.5,0.262071,1.67369,0.994038,0.714032
6.6,0.39495,1.64175,0.94872,0.714032
6.7,0.511623,1.59931,0.922387,0.714032
6.8,0.612703,1.54773,0.911042,0.714032
6.9,0.698853,1.48794,0.910763,0.714032
7,0.770747,1.42068,0.917797,0.714032
7.1,0.829069,1.34674,0.928639,0.714032
7.2,0.874517,1.26704,0.940102,0.714032
7.3,0.907824,1.18273,0.949387,0.714032
7.4,0.929768,1.09515,0.954139,0.714032
7.5,0.941193,1.00583,0.952497,0.714032
7.6,0.943012,0.916402,0.943111,0.714032
7.7,0.936209,0.828498,0.925133,0.714032
7.8,0.921826,0.743676,0.898188,0.714032
7.9,0.900945,0.663335,0.862315,0.714032
8,0.874672,0.588645,0.817887,0.714032
8.1,0.844102,0.520514,0.765532,0.714032
8.2,0.810302,0.45957,0.706045,0.714032
8.3,0.774281,0.406167,0.640313,0.714032
8.4,0.736977,0.360411,0.569244,0.714032
8.5,0.699234,0.322197,0.493721,0.714032
8.6,0.661801,0.291251,0.414562,0.714032
8.7,0.625321,0.267177,0.3325,-0.115438
8.8,0.590336,0.249499,0.248173,-0.0714224
8.9,0.557286,0.2377,0.162123,-0.0209315
9,0.526521,0.231256,0.0748033,0.0325498
9.1,0.498309,0.22966,-0.0134121,0.0860552
9.2,0.472845,0.232445,-0.102216,0.137587
9.3,0.450265,0.239199,-0.191353,0.186079
9.4,0.430654,0.249572,-0.280609,0.23113
9.5,0.414059,0.263288,-0.369798,0.272735
9.6,0.400503,0.280141,-0.458751,0.311088
9.7,0.389986,0.300004,-0.547305,0.346466
9.8,0.382504,0.322824,-0.635296,0.379164
9.9,0.378048,0.348624,-0.722548,0.409459
10,0.37662,0.3775,-0.808868,0.437603
10.1,0.378231,0.409619,-0.894034,0.463813
10.2,0.382912,0.445221,-0.977788,0.488273
10.3,0.390715,0.484615,-1.05983,0.511133
10.4,0.401724,0.528176,-1.13979,0.532519
10.5,0.416049,0.576349,-1.21723,0.552527
10.6,0.433839,0.629641,-1.29164,0.571229
10.7,0.455277,0.688621,-1.36237,0.588675
10.8,0.480589,0.753908,-1.42865,0.604891
10.9,0.510036,0.826166,-1.48956,0.619881
11,0.543922,0.906085,-1.54396,0.633625
11.1,0.582587,0.994351,-1.5905,0.646077
