time,x,y,z,L
0,-1,0,1,0
0.1,-0.900317,0.0903475,0.900287,-inf
0.2,-0.802402,0.162858,0.801969,-inf
0.3,-0.707676,0.219814,0.705703,-inf
0.4,-0.617205,0.26348,0.611607,-inf
0.5,-0.531743,0.296001,0.519489,-inf
0.6,-0.451778,0.319355,0.429002,-inf
0.7,-0.377571,0.335327,0.339755,-inf
0.8,-0.309197,0.34551,0.251373,-inf
0.9,-0.246583,0.35131,0.163534,-inf
1,-0.189537,0.353957,0.0759844,-0.10693
1.1,-0.137777,0.354521,-0.0114576,0.0124304
1.2,-0.0909516,0.353927,-0.0989057,0.0911289
1.3,-0.0486623,0.352967,-0.186413,0.152098
1.4,-0.0104783,0.352322,-0.273981,0.202778
1.5,0.0240495,0.352571,-0.361566,0.24659
1.6,0.0553791,0.354214,-0.449087,0.285381
1.7,0.0839686,0.357679,-0.536429,0.320255
1.8,0.110271,0.36334,-0.623446,0.351908
1.9,0.134728,0.371535,-0.709961,0.380804
2,0.157774,0.38257,-0.795762,0.407254
2.1,0.179825,0.396741,-0.880599,0.431468
2.2,0.201291,0.414338,-0.964174,0.453582
2.3,0.222565,0.435658,-1.04614,0.473672
2.4,0.244037,0.461012,-1.12606,0.491759
2.5,0.266087,0.490733,-1.20344,0.507817
2.6,0.289092,0.52518,-1.27767,0.521767
2.7,0.31343,0.56474,-1.34801,0.533474
2.8,0.339481,0.609823,-1.41356,0.542738
2.9,0.367627,0.66086,-1.47324,0.549289
3,0.398258,0.718287,-1.52573,0.552768
3.1,0.431764,0.78252,-1.56948,0.552714
3.2,0.468539,0.853924,-1.60259,0.548552
3.3,0.508967,0.932758,-1.62284,0.539575
3.4,0.553414,1.01911,-1.62765,0.524946
3.5,0.602206,1.1128,-1.61408,0.503719
3.6,0.655604,1.21324,-1.57886,0.474924
3.7,0.713764,1.31934,-1.51852,0.437744
3.8,0.776689,1.42927,-1.42961,0.391848
3.9,0.844169,1.54035,-1.30903,0.337845
4,0.915706,1.64887,-1.15452,0.337845
4.1,0.990449,1.75002,-0.965341,0.337845
4.2,1.06712,1.83801,-0.742939,0.337845
4.3,1.14397,1.90634,-0.491677,0.337845
4.4,1.21878,1.94833,-0.219252,0.337845
4.5,1.28895,1.95798,0.0633684,0.337845
4.6,1.35161,1.9309,0.342698,0.337845
4.7,1.40386,1.86522,0.604217,0.337845
4.8,1.44307,1.76223,0.834343,0.337845
4.9,1.46711,1.62642,1.02241,0.337845
5,1.47463,1.46499,1.1621,0.337845
5.1,1.46519,1.2868,1.25195,0.337845
5.2,1.43925,1.10118,1.29485,0.337845
5.3,1.39812,0.916742,1.29685,0.337845
5.4,1.3437,0.740618,1.26563,0.337845
5.5,1.27832,0.57803,1.20915,0.337845
5.6,1.20449,0.432279,1.13469,0.337845
5.7,1.12469,0.304973,1.0483,0.337845
5.8,1.04129,0.196381,0.954606,0.337845
5.9,0.956365,0.105815,0.856913,0.337845
6,0.871726,0.0319662,0.757415,0.337845
6.1,0.788856,-0.026826,0.657444,0.337845
6.2,0.708932,-0.0723736,0.557718,0.337845
6.3,0.632847,-0.106505,0.458543,0.337845
6.4,0.561234,-0.130979,0.359976,0.337845
6.5,0.494508,-0.147433,0.261933,0.337845
6.6,0.432893,-0.157355,0.164271,0.337845
6.7,0.376459,-0.162071,0.066834,-0.0894627
6.8,0.325151,-0.162749,-0.0305188,0.0322777
6.9,0.278814,-0.160398,-0.127901,0.115677
7,0.237222,-0.155881,-0.225396,0.180911
7.1,0.200093,-0.149925,-0.323055,0.235283
7.2,0.167108,-0.143135,-0.420906,0.282348
7.3,0.137928,-0.136006,-0.518957,0.324113
7.4,0.112204,-0.128938,-0.617202,0.361821
7.5,0.0895837,-0.122249,-0.715625,0.396291
7.6,0.0697241,-0.11619,-0.814205,0.428097
7.7,0.0522926,-0.110952,-0.912917,0.457653
7.8,0.0369725,-0.106685,-1.01173,0.485273
7.9,0.0234645,-0.103504,-1.11063,0.511202
8,0.0114884,-0.1015,-1.20958,0.535635
8.1,0.000782732,-0.100748,-1.30856,0.55873
8.2,-0.00889603,-0.101318,-1.40754,0.580621
8.3,-0.0177746,-0.103276,-1.5065,0.601418
8.4,-0.0260648,-0.1067,-1.6054,0.621214
8.5,-0.0339663,-0.111678,-1.70421,0.640088
8.6,-0.0416691,-0.118317,-1.80289,0.658106
8.7,-0.0493563,-0.126752,-1.90139,0.675323
8.8,-0.057208,-0.137147,-1.99966,0.691782
8.9,-0.0654047,-0.149706,-2.0976,0.707516
9,-0.074131,-0.164677,-2.19514,0.722547
