time,x,y,z,L
0,-1,-1,2,0
0.1,-0.905308,-0.891008,2.07504,-inf
0.2,-0.822264,-0.768056,2.10181,-inf
0.3,-0.751968,-0.636958,2.08565,-inf
0.4,-0.694969,-0.502929,2.03455,-inf
0.5,-0.651333,-0.370342,1.95781,-inf
0.6,-0.620737,-0.242608,1.86485,-inf
0.7,-0.602567,-0.122185,1.76428,-inf
0.8,-0.596003,-0.0106622,1.66335,-inf
0.9,-0.600108,0.0911052,1.56767,0.331096
1,-0.613889,0.182838,1.48123,0.437821
1.1,-0.636346,0.264674,1.40644,0.52748
1.2,-0.666508,0.337027,1.34444,0.603076
1.3,-0.703454,0.400461,1.29524,0.667412
1.4,-0.746323,0.455588,1.25805,0.72275
1.5,-0.794314,0.502988,1.23143,0.770797
1.6,-0.84668,0.543157,1.21354,0.812801
1.7,-0.902716,0.576456,1.20219,0.84964
1.8,-0.961749,0.603093,1.19507,0.881899
1.9,-1.02311,0.623102,1.18974,0.909928
2,-1.08614,0.636341,1.18377,0.933875
2.1,-1.15015,0.642493,1.17477,0.953717
2.2,-1.21439,0.641081,1.16049,0.969268
2.3,-1.27809,0.631486,1.13886,0.98018
2.4,-1.34039,0.612977,1.10811,0.98593
2.5,-1.40036,0.584756,1.06687,0.985792
2.6,-1.45699,0.546011,1.0143,0.978783
2.7,-1.50919,0.495982,0.950262,0.963574
2.8,-1.55579,0.434052,0.87547,0.938342
2.9,-1.59559,0.359843,0.791654,0.900492
3,-1.62735,0.273327,0.70169,0.846162
3.1,-1.64986,0.17495,0.609662,0.769207
3.2,-1.66198,0.0657393,0.52081,0.659031
3.3,-1.6627,-0.0525919,0.441334,0.495871
3.4,-1.65123,-0.177589,0.37801,0.495871
3.5,-1.62707,-0.306048,0.337607,0.495871
3.6,-1.59004,-0.434085,0.326149,0.495871
3.7,-1.54041,-0.55729,0.348082,0.495871
3.8,-1.4789,-0.670969,0.405479,0.495871
3.9,-1.40669,-0.770461,0.497429,0.495871
4,-1.32542,-0.851502,0.619776,0.495871
4.1,-1.23712,-0.91058,0.765305,0.495871
4.2,-1.14412,-0.945254,0.924407,0.495871
4.3,-1.04893,-0.954362,1.08614,0.495871
4.4,-0.954095,-0.938105,1.23949,0.495871
4.5,-0.862101,-0.897985,1.3747,0.495871
4.6,-0.775208,-0.836614,1.48425,0.495871
4.7,-0.695373,-0.757426,1.56352,0.495871
4.8,-0.624186,-0.664336,1.61102,0.495871
4.9,-0.562834,-0.561404,1.62809,0.495871
5,-0.512103,-0.452533,1.61839,0.495871
5.1,-0.472407,-0.341235,1.58713,0.495871
5.2,-0.443837,-0.230477,1.54037,0.495871
5.3,-0.426215,-0.122603,1.4843,0.495871
5.4,-0.419162,-0.0193296,1.42469,0.495871
5.5,-0.422158,0.0782199,1.36662,0.495871
5.6,-0.434595,0.169437,1.31418,0.317421
5.7,-0.455828,0.254137,1.27049,0.427152
5.8,-0.485209,0.33246,1.23767,0.521016
5.9,-0.522119,0.404782,1.21698,0.602161
6,-0.565983,0.471624,1.20895,0.673352
6.1,-0.616281,0.533581,1.21347,0.736791
6.2,-0.672557,0.591262,1.22994,0.794159
6.3,-0.73441,0.645239,1.2574,0.846724
6.4,-0.801498,0.69601,1.29459,0.895425
6.5,-0.873519,0.743968,1.34001,0.94095
6.6,-0.950206,0.789372,1.39199,0.983791
6.7,-1.03131,0.832336,1.4487,1.02428
6.8,-1.11659,0.872804,1.50816,1.06264
6.9,-1.20578,0.910541,1.56824,1.09896
7,-1.29859,0.945118,1.62663,1.13326
7.1,-1.39468,0.9759,1.68087,1.16547
7.2,-1.49362,1.00203,1.72829,1.19546
7.3,-1.5949,1.02243,1.76605,1.22301
7.4,-1.69787,1.03579,1.79115,1.24783
7.5,-1.80177,1.04053,1.80049,1.26955
7.6,-1.90563,1.0349,1.79095,1.28768
7.7,-2.00833,1.01691,1.75959,1.30164
7.8,-2.10853,0.984425,1.7039,1.31068
7.9,-2.20466,0.935245,1.62207,1.31388
8,-2.29495,0.867209,1.51352,1.31003
8.1,-2.37741,0.778362,1.3793,1.29758
8.2,-2.44988,0.667172,1.22272,1.27441
8.3,-2.51007,0.53279,1.04978,1.2375
8.4,-2.55567,0.375355,0.869599,1.18221
8.5,-2.58442,0.196302,0.694408,1.10072
8.6,-2.5943,-0.00135601,0.53913,0.977744
8.7,-2.58369,-0.212834,0.420307,0.775692
8.8,-2.55149,-0.431547,0.354349,0.376385
8.9,-2.49741,-0.649299,0.355201,0.376385
9,-2.42198,-0.856744,0.43176,0.376385
9.1,-2.32673,-1.0441,0.585573,0.376385
9.2,-2.21414,-1.20205,0.809439,0.376385
9.3,-2.08756,-1.32276,1.08745,0.376385
9.4,-1.95102,-1.40069,1.3967,0.376385
9.5,-1.80894,-1.43329,1.71044,0.376385
9.6,-1.66586,-1.42111,2.00199,0.376385
9.7,-1.52609,-1.36768,2.24853,0.376385
9.8,-1.3935,-1.2789,2.43396,0.376385
9.9,-1.27124,-1.16225,2.55024,0.376385
10,-1.16171,-1.02585,2.59721,0.376385
10.1,-1.06646,-0.877727,2.58121,0.376385
10.2,-0.986311,-0.725146,2.51299,0.376385
10.3,-0.921379,-0.57421,2.40546,0.376385
10.4,-0.871254,-0.429692,2.27182,0.376385
10.5,-0.835111,-0.295031,2.12408,0.376385
10.6,-0.811843,-0.172462,1.97222,0.376385
10.7,-0.800173,-0.0632241,1.82382,0.376385
10.8,-0.798738,0.0322178,1.6841,0.363389
10.9,-0.806159,0.113946,1.55612,0.44896
11,-0.821085,0.182395,1.44117,0.518433
11.1,-0.842216,0.23819,1.3392,0.574201
11.2,-0.868324,0.282025,1.24916,0.618409
11.3,-0.898245,0.314572,1.16935,0.652702
11.4,-0.930882,0.336429,1.09774,0.678216
11.5,-0.965191,0.348089,1.03217,0.695631
11.6,-1.00017,0.349932,0.970521,0.70522
11.7,-1.03486,0.342236,0.910919,0.706879
11.8,-1.06831,0.325201,0.851811,0.700119
11.9,-1.09959,0.298988,0.792085,0.68402
12,-1.12781,0.263761,0.731151,0.657122
12.1,-1.15205,0.219748,0.669011,0.617225
12.2,-1.17147,0.167294,0.606296,0.56103
12.3,-1.18525,0.106923,0.544282,0.483529
12.4,-1.19262,0.0393998,0.484859,0.377068
12.5,-1.19292,-0.0342265,0.430445,0.230609
12.6,-1.18562,-0.112582,0.383843,0.230609
12.7,-1.17031,-0.193954,0.348026,0.230609
12.8,-1.14679,-0.276309,0.325864,0.230609
12.9,-1.11509,-0.357329,0.319808,0.230609
13,-1.07545,-0.434505,0.331563,0.230609
13.1,-1.0284,-0.505243,0.36179,0.230609
13.2,-0.974705,-0.567009,0.409889,0.230609
13.3,-0.915378,-0.617486,0.473912,0.230609
13.4,-0.85165,-0.654731,0.550628,0.230609
13.5,-0.784921,-0.677309,0.635759,0.230609
13.6,-0.716705,-0.684398,0.724356,0.230609
13.7,-0.648564,-0.675838,0.811272,0.230609
13.8,-0.582043,-0.652129,0.891662,0.230609
13.9,-0.518607,-0.614372,0.961441,0.230609
14,-0.459584,-0.564164,1.01763,0.230609
14.1,-0.406124,-0.50346,1.05854,0.230609
14.2,-0.35917,-0.43442,1.08383,0.230609
14.3,-0.319444,-0.359261,1.0944,0.230609
14.4,-0.287451,-0.280116,1.09213,0.230609
