time,x,y,z,L
0,1,-2,-2,0
0.1,1.31744,-1.94193,-1.19639,-inf
0.2,1.45951,-1.94513,-0.254151,-inf
0.3,1.41367,-1.9607,0.717329,-inf
0.4,1.18463,-1.93822,1.60537,-inf
0.5,0.809644,-1.85077,2.30949,-inf
0.6,0.354119,-1.70851,2.76082,-inf
0.7,-0.112967,-1.54892,2.93226,-inf
0.8,-0.542253,-1.41371,2.833,-inf
0.9,-0.909235,-1.33158,2.49412,-inf
1,-1.20437,-1.3136,1.95629,-inf
1.1,-1.41975,-1.35502,1.26478,-inf
1.2,-1.54105,-1.43747,0.471364,-inf
1.3,-1.54859,-1.53083,-0.361696,-inf
1.4,-1.42777,-1.59884,-1.16114,-inf
1.5,-1.18325,-1.61119,-1.85009,-inf
1.6,-0.845994,-1.55732,-2.36236,-inf
1.7,-0.465096,-1.45096,-2.65656,-inf
1.8,-0.089674,-1.32105,-2.72167,-inf
1.9,0.245449,-1.19691,-2.57235,-inf
2,0.522736,-1.09821,-2.23878,-inf
2.1,0.736478,-1.03265,-1.7578,-inf
2.2,0.885606,-0.998183,-1.16793,-inf
2.3,0.969119,-0.986192,-0.508189,-inf
2.4,0.985295,-0.984303,0.181536,-inf
2.5,0.933872,-0.979218,0.860612,-inf
2.6,0.819306,-0.959922,1.48951,-inf
2.7,0.652768,-0.920671,2.03334,-inf
2.8,0.451207,-0.862423,2.46581,-inf
2.9,0.233717,-0.791807,2.77162,-inf
3,0.0171828,-0.718268,2.9465,-inf
3.1,-0.186612,-0.650979,2.99483,-inf
3.2,-0.371551,-0.596886,2.92636,0.447427
3.3,-0.535922,-0.560157,2.7531,0.590399
3.4,-0.680398,-0.542539,2.48724,0.660447
3.5,-0.806074,-0.543969,2.14037,0.668925
3.6,-0.912973,-0.563009,1.72369,0.618519
3.7,-0.999128,-0.596944,1.24894,0.502825
3.8,-1.06032,-0.641624,0.729716,0.502825
3.9,-1.0906,-0.691276,0.18273,0.502825
4,-1.0836,-0.738635,-0.371535,0.502825
4.1,-1.03468,-0.775759,-0.909178,0.502825
4.2,-0.943154,-0.795573,-1.40459,0.502825
4.3,-0.813688,-0.793719,-1.83334,0.502825
4.4,-0.656092,-0.76985,-2.17537,0.502825
4.5,-0.483284,-0.727631,-2.41761,0.502825
4.6,-0.308391,-0.673407,-2.55491,0.502825
4.7,-0.142233,-0.614269,-2.58945,0.502825
4.8,0.00794787,-0.556386,-2.52881,0.502825
4.9,0.138458,-0.504124,-2.38386,0.502825
5,0.248312,-0.459902,-2.1668,0.502825
5.1,0.338138,-0.424515,-1.8899,0.334247
5.2,0.409245,-0.397595,-1.56478,0.345694
5.3,0.462986,-0.378035,-1.20228,0.313273
5.4,0.500449,-0.364304,-0.812453,0.313273
5.5,0.522384,-0.354671,-0.404841,0.313273
5.6,0.529325,-0.347363,0.0114098,0.313273
5.7,0.521785,-0.340704,0.427451,0.313273
5.8,0.5005,-0.333239,0.8348,0.313273
5.9,0.466609,-0.323853,1.22553,0.313273
6,0.421754,-0.311864,1.59253,0.313273
6.1,0.368051,-0.297064,1.92986,0.313273
6.2,0.307945,-0.27969,2.23291,0.313273
6.3,0.243991,-0.260337,2.49863,0.313273
6.4,0.178611,-0.239825,2.72542,0.313273
6.5,0.113889,-0.219053,2.91309,0.313273
6.6,0.0514386,-0.198876,3.06255,0.313273
6.7,-0.00764656,-0.180021,3.1755,0.313273
6.8,-0.0627703,-0.163037,3.25417,0.184519
6.9,-0.11376,-0.148297,3.301,0.316075
7,-0.160772,-0.136014,3.31845,0.418006
7.1,-0.204187,-0.126276,3.30879,0.496111
7.2,-0.244524,-0.119087,3.27404,0.55593
7.3,-0.282363,-0.114395,3.21587,0.601615
7.4,-0.318291,-0.112127,3.13559,0.636069
7.5,-0.352853,-0.112207,3.03419,0.661243
7.6,-0.386527,-0.114568,2.91234,0.678364
7.7,-0.419694,-0.119161,2.77046,0.688087
7.8,-0.45262,-0.125957,2.60876,0.690581
7.9,-0.485429,-0.134938,2.42734,0.685558
8,-0.518086,-0.146092,2.22627,0.672275
8.1,-0.550369,-0.159389,2.00571,0.649479
8.2,-0.58184,-0.174764,1.76599,0.615323
8.3,-0.61183,-0.192085,1.50779,0.567226
8.4,-0.639416,-0.211115,1.23227,0.501732
8.5,-0.663433,-0.231481,0.941205,0.414538
8.6,-0.682502,-0.252634,0.637141,0.301336
8.7,-0.695108,-0.273837,0.323496,0.301336
8.8,-0.699722,-0.294166,0.00461048,0.301336
8.9,-0.694965,-0.312554,-0.314294,0.301336
9,-0.679811,-0.327878,-0.627264,0.301336
9.1,-0.65378,-0.33908,-0.927887,0.301336
9.2,-0.617082,-0.345314,-1.20966,0.301336
9.3,-0.570682,-0.346074,-1.46644,0.301336
9.4,-0.516236,-0.341284,-1.69287,0.301336
9.5,-0.45592,-0.331309,-1.88475,0.301336
9.6,-0.392181,-0.316897,-2.03929,0.301336
9.7,-0.327458,-0.299057,-2.15517,0.301336
9.8,-0.26395,-0.278911,-2.23248,0.301336
9.9,-0.203443,-0.257559,-2.27251,0.301336
10,-0.147239,-0.235971,-2.27748,0.301336
10.1,-0.0961552,-0.214925,-2.25023,0.301336
10.2,-0.0505803,-0.194989,-2.19397,0.301336
10.3,-0.0105652,-0.176531,-2.11204,0.301336
10.4,0.0240834,-0.159746,-2.00772,0.0480946
10.5,0.0537148,-0.1447,-1.88414,0.101676
10.6,0.0787633,-0.13136,-1.74418,0.13951
10.7,0.0996938,-0.119629,-1.59045,0.163353
10.8,0.116965,-0.109373,-1.42528,0.17511
10.9,0.131008,-0.100438,-1.25074,0.17646
11,0.142212,-0.092665,-1.06864,0.168748
11.1,0.15092,-0.085899,-0.88058,0.153009
11.2,0.157433,-0.0799937,-0.687971,0.130004
11.3,0.162007,-0.0748149,-0.492048,0.100276
11.4,0.164863,-0.0702422,-0.293906,0.0641998
11.5,0.166195,-0.0661693,-0.0945171,0.0220267
11.6,0.166166,-0.0625039,0.105255,-0.0260744
11.7,0.164925,-0.0591665,0.30464,-0.0799537
11.8,0.162603,-0.0560903,0.502949,-0.139432
11.9,0.159322,-0.0532197,0.699572,-0.204187
12,0.155194,-0.0505096,0.893966,-0.273649
12.1,0.150326,-0.0479243,1.08566,-0.346848
12.2,0.144821,-0.0454365,1.27423,-0.422322
12.3,0.138779,-0.0430261,1.45933,-0.422322
12.4,0.132295,-0.0406796,1.64068,-0.422322
12.5,0.125461,-0.0383886,1.81802,-0.422322
12.6,0.118365,-0.0361493,1.99118,-0.422322
12.7,0.111092,-0.0339612,2.16002,-0.422322
12.8,0.103719,-0.0318264,2.32447,-0.422322
12.9,0.096319,-0.029749,2.48448,-0.422322
13,0.0889577,-0.0277339,2.64006,-0.422322
13.1,0.0816936,-0.0257868,2.79125,-0.422322
13.2,0.0745781,-0.0239131,2.93812,-0.422322
13.3,0.067655,-0.0221181,3.08078,-0.422322
13.4,0.0609608,-0.0204063,3.21935,-0.422322
13.5,0.0545246,-0.0187812,3.35398,-0.706841
13.6,0.0483688,-0.0172453,3.48484,-0.618627
13.7,0.0425095,-0.0158003,3.61209,-0.525079
13.8,0.0369569,-0.0144467,3.73591,-0.436806
13.9,0.0317161,-0.0131838,3.8565,-0.358524
14,0.0267877,-0.0120105,3.97403,-0.290648
14.1,0.0221684,-0.0109244,4.0887,-0.231967
14.2,0.0178517,-0.00992285,4.20069,-0.18102
14.3,0.0138284,-0.0090024,4.31018,-0.136489
14.4,0.0100872,-0.0081593,4.41735,-0.0972935
14.5,0.0066154,-0.00738949,4.52234,-0.062567
14.6,0.00339886,-0.00668871,4.62533,-0.0316158
14.7,0.00042288,-0.0060526,4.72647,-0.00387881
14.8,-0.00232773,-0.00547677,4.82589,0.0211015
14.9,-0.00486829,-0.0049569,4.92372,0.0437036
15,-0.00721405,-0.00448874,5.02008,0.0642433
15.1,-0.00937999,-0.00406822,5.1151,0.0829874
15.2,-0.0113807,-0.00369142,5.20886,0.100163
15.3,-0.0132302,-0.00335464,5.30147,0.115965
15.4,-0.014942,-0.00305438,5.39301,0.130563
15.5,-0.0165288,-0.00278737,5.48357,0.144103
15.6,-0.0180028,-0.00255057,5.5732,0.156715
15.7,-0.0193755,-0.00234117,5.66198,0.168511
15.8,-0.0206574,-0.00215659,5.74997,0.179593
15.9,-0.0218588,-0.00199445,5.83721,0.190048
16,-0.0229889,-0.00185257,5.92375,0.199957
16.1,-0.0240564,-0.001729,6.00964,0.20939
16.2,-0.0250696,-0.00162195,6.09489,0.218412
16.3,-0.026036,-0.0015298,6.17956,0.227079
16.4,-0.0269626,-0.00145111,6.26366,0.235443
16.5,-0.0278559,-0.00138457,6.34721,0.24355
16.6,-0.0287222,-0.00132902,6.43024,0.251444
16.7,-0.0295669,-0.00128343,6.51275,0.259161
16.8,-0.0303956,-0.00124689,6.59476,0.266739
16.9,-0.0312131,-0.00121858,6.67628,0.274208
17,-0.0320242,-0.0011978,6.75731,0.281598
17.1,-0.0328334,-0.00118394,6.83785,0.288936
17.2,-0.0336447,-0.00117646,6.91791,0.296248
17.3,-0.0344624,-0.0011749,6.99747,0.303555
17.4,-0.0352903,-0.00117889,7.07655,0.31088
17.5,-0.0361322,-0.00118811,7.15512,0.318243
17.6,-0.0369917,-0.0012023,7.23319,0.325662
17.7,-0.0378727,-0.00122127,7.31073,0.333156
17.8,-0.0387786,-0.00124488,7.38773,0.340741
17.9,-0.0397133,-0.00127303,7.46419,0.348434
18,-0.0406803,-0.0013057,7.54007,0.35625
18.1,-0.0416836,-0.00134288,7.61536,0.364204
18.2,-0.0427269,-0.00138465,7.69004,0.372311
18.3,-0.0438146,-0.00143111,7.76408,0.380586
18.4,-0.0449507,-0.00148243,7.83746,0.389042
18.5,-0.0461398,-0.00153882,7.91013,0.397695
18.6,-0.0473868,-0.00160054,7.98208,0.406558
18.7,-0.0486967,-0.00166793,8.05326,0.415645
18.8,-0.0500751,-0.00174137,8.12363,0.424971
18.9,-0.051528,-0.00182133,8.19315,0.434552
19,-0.0530619,-0.00190833,8.26178,0.444402
19.1,-0.0546837,-0.002003,8.32946,0.454538
19.2,-0.0564014,-0.00210605,8.39614,0.464975
19.3,-0.0582232,-0.0022183,8.46176,0.475731
19.4,-0.0601588,-0.00234071,8.52625,0.486824
19.5,-0.0622184,-0.00247437,8.58954,0.498272
19.6,-0.0644136,-0.00262051,8.65156,0.510095
19.7,-0.0667572,-0.0027806,8.71221,0.522315
19.8,-0.0692637,-0.00295629,8.77142,0.534952
19.9,-0.0719491,-0.00314952,8.82906,0.54803
20,-0.0748316,-0.00336253,8.88504,0.561575
20.1,-0.0779316,-0.00359791,8.93922,0.575613
20.2,-0.0812723,-0.00385871,8.99147,0.590172
20.3,-0.08488,-0.00414849,9.04164,0.605282
20.4,-0.0887848,-0.00447145,9.08956,0.620975
20.5,-0.0930209,-0.00483254,9.13503,0.637287
20.6,-0.097628,-0.00523765,9.17786,0.654254
20.7,-0.102651,-0.00569381,9.2178,0.671916
20.8,-0.108144,-0.00620942,9.25458,0.690317
20.9,-0.114166,-0.00679465,9.28792,0.709502
21,-0.120791,-0.0074618,9.31746,0.729521
21.1,-0.128102,-0.00822591,9.34283,0.750427
