time,x,y,z,L
0,-1,2,3,0
0.1,-0.910137,2.00474,2.80093,-inf
0.2,-0.84087,2.0179,2.60699,-inf
0.3,-0.792242,2.03778,2.42204,-inf
0.4,-0.76379,2.06264,2.24888,-inf
0.5,-0.75464,2.0907,2.08949,-inf
0.6,-0.763573,2.1202,1.94529,-inf
0.7,-0.789071,2.14945,1.81737,-inf
0.8,-0.829354,2.17681,1.70662,-inf
0.9,-0.882396,2.20078,1.61386,-inf
1,-0.945954,2.21998,1.5398,-inf
1.1,-1.01759,2.23321,1.48504,-inf
1.2,-1.0947,2.23948,1.44997,-inf
1.3,-1.17457,2.238,1.43467,-inf
1.4,-1.25444,2.22823,1.43874,-inf
1.5,-1.33157,2.20988,1.46122,-inf
1.6,-1.40333,2.18294,1.50045,-inf
1.7,-1.46731,2.14763,1.55409,-inf
1.8,-1.52139,2.10444,1.61912,-inf
1.9,-1.56387,2.05406,1.69192,-inf
2,-1.59349,1.9974,1.76849,-inf
2.1,-1.60949,1.93547,1.84466,-inf
2.2,-1.61166,1.86944,1.91632,-inf
2.3,-1.60029,1.80049,1.97971,-inf
2.4,-1.57615,1.72983,2.03161,-inf
2.5,-1.54039,1.65862,2.06954,-inf
2.6,-1.4945,1.58796,2.09185,-inf
2.7,-1.44021,1.51882,2.09776,-inf
2.8,-1.37934,1.45206,2.08728,-inf
2.9,-1.31379,1.38837,2.06117,-inf
3,-1.24538,1.32829,2.02078,-inf
3.1,-1.17584,1.27223,1.96785,-inf
3.2,-1.10674,1.2204,1.90443,-inf
3.3,-1.03946,1.17293,1.83267,-inf
3.4,-0.975146,1.12978,1.7547,-inf
3.5,-0.914752,1.09082,1.67256,-inf
3.6,-0.859006,1.05582,1.58812,-inf
3.7,-0.808435,1.02449,1.50302,-inf
3.8,-0.763383,0.996453,1.41866,-inf
3.9,-0.724027,0.971313,1.33619,-inf
4,-0.690396,0.948628,1.25654,-inf
4.1,-0.662394,0.927942,1.18042,-inf
4.2,-0.639817,0.908788,1.10835,-inf
4.3,-0.622369,0.890704,1.04072,-inf
4.4,-0.60968,0.873237,0.977736,-inf
4.5,-0.601316,0.855951,0.919535,-inf
4.6,-0.596795,0.838436,0.866142,-inf
4.7,-0.595596,0.820314,0.817513,-inf
4.8,-0.597168,0.80124,0.773541,-inf
4.9,-0.600944,0.78091,0.734065,-inf
5,-0.606344,0.759063,0.698878,-inf
5.1,-0.612788,0.735484,0.66773,-inf
5.2,-0.619706,0.710006,0.640331,-inf
5.3,-0.626542,0.682513,0.616357,-inf
5.4,-0.632766,0.652935,0.595446,-inf
5.5,-0.63788,0.621255,0.577212,-inf
5.6,-0.64143,0.587502,0.561241,-inf
5.7,-0.643005,0.551752,0.547105,-inf
5.8,-0.64225,0.514123,0.534365,-inf
5.9,-0.638867,0.474773,0.522585,-inf
6,-0.632619,0.433897,0.51134,-inf
6.1,-0.62333,0.391719,0.500229,-inf
6.2,-0.610889,0.34849,0.488887,-inf
6.3,-0.595244,0.304484,0.47699,-inf
6.4,-0.576399,0.259988,0.464272,-inf
6.5,-0.554415,0.215304,0.450525,-inf
6.6,-0.529398,0.170739,0.435606,-inf
6.7,-0.501497,0.126602,0.419442,-inf
6.8,-0.470896,0.0832018,0.402026,-inf
6.9,-0.437807,0.040843,0.383415,-inf
7,-0.402463,-0.000177829,0.363727,-inf
7.1,-0.365111,-0.0395733,0.34313,-inf
7.2,-0.326008,-0.0770672,0.32184,-inf
7.3,-0.285416,-0.112396,0.300107,-inf
7.4,-0.243594,-0.145309,0.278207,-inf
7.5,-0.200797,-0.175569,0.256432,-inf
7.6,-0.157275,-0.202953,0.235084,-inf
7.7,-0.113269,-0.227252,0.214461,-inf
7.8,-0.0690084,-0.248269,0.194852,-inf
7.9,-0.024717,-0.265822,0.176531,-inf
8,0.0193922,-0.27974,0.159748,0.0228321
8.1,0.0631129,-0.289867,0.144726,0.0712501
8.2,0.106245,-0.296058,0.131657,0.115301
8.3,0.148591,-0.298182,0.120698,0.155401
8.4,0.189955,-0.296121,0.111966,0.191903
8.5,0.230142,-0.289771,0.10554,0.225121
8.6,0.26895,-0.279043,0.101456,0.255318
8.7,0.306171,-0.263864,0.0997062,0.282717
8.8,0.34159,-0.24418,0.100238,0.307495
8.9,0.374977,-0.219956,0.102955,0.329795
9,0.406088,-0.19118,0.107713,0.349724
9.1,0.434666,-0.157865,0.114323,0.367356
9.2,0.46043,-0.120052,0.122549,0.382736
9.3,0.483083,-0.0778142,0.132112,0.395875
9.4,0.502305,-0.0312594,0.142686,0.406757
9.5,0.517755,0.0194647,0.153909,0.415333
9.6,0.529069,0.0741666,0.165379,0.42152
9.7,0.535867,0.132607,0.176668,0.4252
9.8,0.537746,0.194494,0.187323,0.426213
9.9,0.534293,0.259479,0.196883,0.42435
10,0.525085,0.327154,0.20489,0.41935
10.1,0.5097,0.397043,0.210909,0.41088
10.2,0.487723,0.468606,0.214546,0.398524
10.3,0.458762,0.541233,0.215481,0.381754
10.4,0.422462,0.614243,0.213487,0.359903
10.5,0.378522,0.686889,0.208472,0.332107
10.6,0.326719,0.758355,0.200502,0.297238
10.7,0.26693,0.827767,0.189844,0.25379
10.8,0.19916,0.894202,0.176987,0.199697
10.9,0.123569,0.956693,0.162668,0.132065
11,0.0405033,1.01425,0.147882,0.0467148
11.1,-0.0494818,1.06589,0.133875,0.0467148
11.2,-0.145595,1.11063,0.12212,0.0467148
11.3,-0.246792,1.14753,0.114261,0.0467148
11.4,-0.351771,1.17575,0.112034,0.0467148
11.5,-0.458975,1.19452,0.117162,0.0467148
11.6,-0.56661,1.20322,0.13122,0.0467148
11.7,-0.672684,1.2014,0.155491,0.0467148
11.8,-0.775062,1.18877,0.190814,0.0467148
11.9,-0.871535,1.16528,0.23745,0.0467148
12,-0.959907,1.13108,0.294976,0.0467148
12.1,-1.03809,1.08657,0.362227,0.0467148
12.2,-1.10419,1.03236,0.437307,0.0467148
12.3,-1.15663,0.96928,0.517666,0.0467148
12.4,-1.19418,0.898332,0.600245,0.0467148
12.5,-1.21606,0.820689,0.681679,0.0467148
12.6,-1.22195,0.737633,0.758539,0.0467148
12.7,-1.212,0.650523,0.827577,0.0467148
12.8,-1.18681,0.560749,0.88596,0.0467148
12.9,-1.14735,0.469691,0.93146,0.0467148
13,-1.09494,0.378681,0.962581,0.0467148
13.1,-1.03112,0.288974,0.978619,0.0467148
13.2,-0.957589,0.20172,0.979648,0.0467148
13.3,-0.876121,0.117951,0.966454,0.0467148
13.4,-0.788464,0.0385701,0.94042,0.0467148
13.5,-0.696291,-0.0356484,0.903376,0.0467148
13.6,-0.601149,-0.104057,0.857453,0.0467148
13.7,-0.50442,-0.166125,0.804933,0.0467148
13.8,-0.407306,-0.221428,0.748113,0.0467148
13.9,-0.310818,-0.269632,0.689202,0.0467148
14,-0.215786,-0.310481,0.630237,0.0467148
14.1,-0.122867,-0.343782,0.573028,0.0467148
14.2,-0.0325696,-0.369392,0.519122,0.0467148
14.3,0.0547287,-0.387205,0.469795,0.0622725
14.4,0.138755,-0.397145,0.426053,0.146346
14.5,0.219315,-0.399152,0.388644,0.216375
14.6,0.296276,-0.393184,0.358077,0.275574
14.7,0.369539,-0.379205,0.334649,0.32623
14.8,0.439021,-0.357189,0.318464,0.369991
14.9,0.50464,-0.327115,0.309456,0.408063
15,0.566298,-0.28897,0.30741,0.441345
15.1,0.623867,-0.242754,0.311975,0.4705
15.2,0.67718,-0.188479,0.32268,0.496026
15.3,0.726017,-0.126181,0.338941,0.518284
15.4,0.770101,-0.0559196,0.360065,0.537529
15.5,0.809087,0.0222086,0.385257,0.55393
15.6,0.842559,0.108064,0.413622,0.567577
15.7,0.870021,0.201452,0.444166,0.57849
15.8,0.890896,0.302115,0.475798,0.586623
15.9,0.904523,0.409717,0.507339,0.591857
16,0.910158,0.523834,0.537532,0.594006
16.1,0.906974,0.643938,0.565064,0.592793
16.2,0.894071,0.769388,0.588591,0.587848
16.3,0.870484,0.899411,0.606783,0.578673
16.4,0.835204,1.0331,0.618383,0.564611
16.5,0.787198,1.16938,0.622285,0.544791
16.6,0.725453,1.30704,0.617629,0.518027
16.7,0.649014,1.44469,0.603926,0.482708
16.8,0.557051,1.58077,0.581192,0.436493
16.9,0.448928,1.71358,0.550098,0.375929
17,0.324295,1.84127,0.512121,0.295546
17.1,0.183183,1.9619,0.46968,0.186095
