time,x,y,z,L
0,-1,0,2,0
0.1,-1.23905,-0.207028,1.87777,-inf
0.2,-1.47312,-0.419303,1.71077,-inf
0.3,-1.69746,-0.621923,1.49993,-inf
0.4,-1.90734,-0.79861,1.24824,-inf
0.5,-2.09825,-0.933101,0.960785,-inf
0.6,-2.2661,-1.01072,0.644641,-inf
0.7,-2.40745,-1.01996,0.30859,-inf
0.8,-2.51969,-0.953844,-0.0373513,-inf
0.9,-2.60117,-0.810806,-0.38252,-inf
1,-2.65124,-0.595012,-0.716267,-inf
1.1,-2.67031,-0.316,-1.02862,-inf
1.2,-2.65975,0.0122825,-1.3109,-inf
1.3,-2.62179,0.372887,-1.55612,-inf
1.4,-2.55934,0.747515,-1.75939,-inf
1.5,-2.47587,1.11817,-1.91792,-inf
1.6,-2.37512,1.46858,-2.03103,-inf
1.7,-2.26097,1.78531,-2.09991,-inf
1.8,-2.13727,2.05837,-2.12731,-inf
1.9,-2.00766,2.28146,-2.11716,-inf
2,-1.87551,2.45181,-2.07422,-inf
2.1,-1.74378,2.5697,-2.00367,-inf
2.2,-1.61506,2.63794,-1.9108,-inf
2.3,-1.49147,2.66109,-1.80077,-inf
2.4,-1.37473,2.64492,-1.67841,-inf
2.5,-1.26614,2.59573,-1.5481,-inf
2.6,-1.16665,2.5199,-1.41369,-inf
2.7,-1.07689,2.42356,-1.27846,-inf
2.8,-0.997181,2.3123,-1.14518,-inf
2.9,-0.927621,2.19101,-1.01611,-inf
3,-0.868102,2.06387,-0.893036,-inf
3.1,-0.818345,1.93431,-0.777362,-inf
3.2,-0.77794,1.80504,-0.670145,-inf
3.3,-0.746362,1.67817,-0.572156,-inf
3.4,-0.723001,1.55525,-0.483925,-inf
3.5,-0.707181,1.4374,-0.405788,-inf
3.6,-0.698167,1.32537,-0.337914,-inf
3.7,-0.695188,1.21963,-0.280339,-inf
3.8,-0.697443,1.12048,-0.23298,-inf
3.9,-0.704112,1.02806,-0.195653,-inf
4,-0.714364,0.942432,-0.168083,-inf
4.1,-0.727368,0.863588,-0.149905,-inf
4.2,-0.7423,0.79151,-0.140677,-inf
4.3,-0.75835,0.726156,-0.139876,-inf
4.4,-0.774736,0.667474,-0.146905,-inf
4.5,-0.790704,0.615398,-0.161095,-inf
4.6,-0.805544,0.569834,-0.181711,-inf
4.7,-0.818593,0.530656,-0.207964,-inf
4.8,-0.829247,0.497681,-0.239012,-inf
4.9,-0.836961,0.470666,-0.27398,-inf
5,-0.841261,0.44929,-0.311969,-inf
5.1,-0.841746,0.433149,-0.352073,-inf
5.2,-0.838091,0.421754,-0.393392,-inf
5.3,-0.830045,0.414534,-0.435054,-inf
5.4,-0.817439,0.410844,-0.476225,-inf
5.5,-0.800176,0.409979,-0.516124,-inf
5.6,-0.778232,0.411192,-0.554039,-inf
5.7,-0.751652,0.413718,-0.589333,-inf
5.8,-0.720543,0.416792,-0.621456,-inf
5.9,-0.685067,0.419678,-0.649944,-inf
6,-0.645438,0.421689,-0.674425,-inf
6.1,-0.601909,0.422208,-0.694614,-inf
6.2,-0.554769,0.420706,-0.710312,-inf
6.3,-0.504338,0.416754,-0.721399,-inf
6.4,-0.450953,0.410034,-0.727823,-inf
6.5,-0.39497,0.400341,-0.729595,-inf
6.6,-0.336755,0.387588,-0.726776,-inf
6.7,-0.27668,0.371799,-0.719468,-inf
6.8,-0.215121,0.353101,-0.7078,-inf
6.9,-0.152455,0.331721,-0.691924,-inf
7,-0.0890577,0.307971,-0.672002,-inf
7.1,-0.025304,0.282236,-0.648196,-inf
7.2,0.0384328,0.254962,-0.620667,-inf
7.3,0.10178,0.226644,-0.589565,-inf
7.4,0.164363,0.197814,-0.555025,-0.193858
7.5,0.225808,0.169024,-0.517166,-0.109654
7.6,0.285734,0.140843,-0.476089,-0.038274
7.7,0.343755,0.113837,-0.431875,0.0231028
7.8,0.399476,0.0885673,-0.384589,0.0764828
7.9,0.452494,0.0655729,-0.334281,0.123315
8,0.502391,0.0453653,-0.280987,0.164683
8.1,0.548736,0.0284166,-0.224739,0.201366
8.2,0.591087,0.0151488,-0.165567,0.233976
8.3,0.628981,0.00592281,-0.103506,0.262974
8.4,0.661946,0.0010257,-0.0386058,0.288715
8.5,0.689493,0.000657316,0.0290592,0.311467
8.6,0.711126,0.0049156,0.0993815,0.331434
8.7,0.726338,0.0137811,0.172207,0.348763
8.8,0.734623,0.0271006,0.247323,0.363558
8.9,0.735477,0.0445713,0.324443,0.375881
9,0.728412,0.0657257,0.403192,0.385757
9.1,0.712962,0.0899185,0.483092,0.393181
