time,x,y,z,L
0,1,-2,1,0
0.1,0.889667,-2.19965,0.994829,0.625168
0.2,0.757354,-2.39713,0.978603,0.619352
0.3,0.601168,-2.58996,0.95019,0.608993
0.4,0.419416,-2.77538,0.908392,0.593334
0.5,0.210753,-2.95031,0.851984,0.571351
0.6,-0.025632,-3.11141,0.779749,0.54164
0.7,-0.289793,-3.25511,0.690546,0.50222
0.8,-0.580762,-3.37772,0.583385,0.450181
0.9,-0.896261,-3.4755,0.457521,0.381023
1,-1.23241,-3.54485,0.312575,0.287287
1.1,-1.58343,-3.58247,0.14866,0.155465
1.2,-1.94151,-3.5856,-0.0334732,0.155465
1.3,-2.29665,-3.55222,-0.232295,0.155465
1.4,-2.63685,-3.48136,-0.445372,0.155465
1.5,-2.9485,-3.37331,-0.669278,0.155465
1.6,-3.21701,-3.22984,-0.899564,0.155465
1.7,-3.42793,-3.05428,-1.13081,0.155465
1.8,-3.56811,-2.85159,-1.3568,0.155465
1.9,-3.62722,-2.62818,-1.57077,0.155465
2,-3.59903,-2.39166,-1.76581,0.155465
2.1,-3.48255,-2.15041,-1.93532,0.155465
2.2,-3.2826,-1.91304,-2.07351,0.155465
2.3,-3.00966,-1.68784,-2.17589,0.155465
2.4,-2.67906,-1.48215,-2.23963,0.155465
2.5,-2.30953,-1.30196,-2.2638,0.155465
2.6,-1.9213,-1.15156,-2.24944,0.155465
2.7,-1.53419,-1.03336,-2.1994,0.155465
2.8,-1.16589,-0.947975,-2.11807,0.155465
2.9,-0.83065,-0.894404,-2.01093,0.155465
3,-0.538697,-0.87033,-1.88412,0.155465
3.1,-0.296091,-0.872485,-1.74394,0.155465
3.2,-0.105128,-0.897008,-1.59651,0.155465
3.3,0.0349682,-0.939767,-1.44742,0.155465
3.4,0.127221,-0.996617,-1.30152,0.155465
3.5,0.176086,-1.06359,-1.16287,0.155465
3.6,0.186745,-1.13703,-1.03466,0.155465
3.7,0.164559,-1.2136,-0.91926,0.155465
3.8,0.114697,-1.29038,-0.818333,0.155465
3.9,0.041924,-1.36478,-0.7329,0.155465
4,-0.0494909,-1.43455,-0.663456,0.155465
4.1,-0.155766,-1.49773,-0.610066,0.155465
4.2,-0.273542,-1.55264,-0.572452,0.155465
4.3,-0.399787,-1.59784,-0.550059,0.155465
4.4,-0.531686,-1.6321,-0.542105,0.155465
4.5,-0.666544,-1.65442,-0.547624,0.155465
4.6,-0.801705,-1.66401,-0.565487,0.155465
4.7,-0.934493,-1.66033,-0.594419,0.155465
4.8,-1.06219,-1.64309,-0.63301,0.155465
4.9,-1.18205,-1.61224,-0.679724,0.155465
5,-1.29133,-1.56803,-0.732907,0.155465
5.1,-1.38736,-1.511,-0.790809,0.155465
5.2,-1.46767,-1.44198,-0.851597,0.155465
5.3,-1.53004,-1.36209,-0.913391,0.155465
5.4,-1.57271,-1.27268,-0.974299,0.155465
5.5,-1.59441,-1.17538,-1.03246,0.155465
5.6,-1.59449,-1.07196,-1.08612,0.155465
5.7,-1.573,-0.964329,-1.13362,0.155465
5.8,-1.5307,-0.85445,-1.17355,0.155465
5.9,-1.46904,-0.744274,-1.2047,0.155465
6,-1.39008,-0.635673,-1.22616,0.155465
6.1,-1.29641,-0.530371,-1.23734,0.155465
6.2,-1.19098,-0.4299,-1.23794,0.155465
6.3,-1.07696,-0.335553,-1.22801,0.155465
6.4,-0.957551,-0.248362,-1.20789,0.155465
6.5,-0.83583,-0.169088,-1.17819,0.155465
6.6,-0.714634,-0.0982269,-1.13973,0.155465
6.7,-0.596437,-0.0360277,-1.09353,0.155465
6.8,-0.483288,0.0174815,-1.0407,0.155465
6.9,-0.376783,0.0624578,-0.982446,0.155465
7,-0.278064,0.0992068,-0.919969,0.155465
7.1,-0.187846,0.128145,-0.85445,0.155465
7.2,-0.106476,0.149764,-0.787008,0.155465
7.3,-0.0339824,0.164599,-0.71867,0.155465
7.4,0.0298471,0.173205,-0.650358,0.155465
7.5,0.0854064,0.176132,-0.582877,0.155465
7.6,0.133207,0.17391,-0.51691,0.155465
7.7,0.173826,0.167043,-0.453023,0.155465
7.8,0.207861,0.155999,-0.391675,0.155465
7.9,0.235898,0.141208,-0.33322,0.155465
8,0.258484,0.123066,-0.277927,0.155465
8.1,0.276114,0.101934,-0.225991,0.155465
8.2,0.289217,0.0781432,-0.177541,0.155465
8.3,0.298156,0.052004,-0.132659,0.155465
8.4,0.303225,0.0238069,-0.0913863,0.155465
8.5,0.304655,-0.00616877,-0.0537368,0.155465
8.6,0.302617,-0.0376505,-0.019703,0.155465
8.7,0.297235,-0.0703664,0.0107356,0.0127424
8.8,0.288588,-0.104041,0.037607,0.0434944
8.9,0.276721,-0.138392,0.0609423,0.0689373
9,0.261656,-0.173124,0.0807729,0.0897061
9.1,0.243401,-0.207931,0.0971285,0.106277
9.2,0.221957,-0.242487,0.110036,0.119016
9.3,0.197328,-0.276455,0.119521,0.128193
9.4,0.169532,-0.309477,0.125605,0.133983
9.5,0.138605,-0.341183,0.128314,0.136566
9.6,0.104616,-0.371186,0.127673,0.135961
9.7,0.0676704,-0.399091,0.123715,0.132203
9.8,0.0279179,-0.424494,0.11648,0.125267
9.9,-0.0144376,-0.446988,0.106023,0.115086
10,-0.0591338,-0.466172,0.0924148,0.101551
10.1,-0.105844,-0.48165,0.0757479,0.0845173
10.2,-0.154173,-0.493046,0.0561404,0.0637949
10.3,-0.203656,-0.500007,0.0337399,0.039166
10.4,-0.253757,-0.502216,0.00872771,0.039166
10.5,-0.303871,-0.499393,-0.0186777,0.039166
10.6,-0.353333,-0.491315,-0.0482181,0.039166
10.7,-0.401421,-0.477813,-0.0795937,0.039166
10.8,-0.447368,-0.458791,-0.112462,0.039166
10.9,-0.490381,-0.434224,-0.14644,0.039166
11,-0.529656,-0.40417,-0.181103,0.039166
11.1,-0.564394,-0.368772,-0.215992,0.039166
11.2,-0.593832,-0.32826,-0.250616,0.039166
11.3,-0.617259,-0.282952,-0.284461,0.039166
11.4,-0.634044,-0.233252,-0.316997,0.039166
11.5,-0.643654,-0.179643,-0.347692,0.039166
11.6,-0.645679,-0.122683,-0.376016,0.039166
11.7,-0.639846,-0.0629919,-0.401459,0.039166
11.8,-0.626027,-0.00124466,-0.423539,0.039166
11.9,-0.604253,0.0618461,-0.441818,0.039166
12,-0.574703,0.125541,-0.455907,0.039166
12.1,-0.537707,0.18909,-0.465479,0.039166
12.2,-0.493725,0.251744,-0.470278,0.039166
12.3,-0.443335,0.312769,-0.47012,0.039166
12.4,-0.387205,0.371457,-0.464899,0.039166
12.5,-0.326071,0.427138,-0.454585,0.039166
12.6,-0.260711,0.479184,-0.439224,0.039166
12.7,-0.191915,0.527014,-0.418932,0.039166
12.8,-0.120464,0.570101,-0.39389,0.039166
12.9,-0.0471074,0.607967,-0.364334,0.039166
13,0.0274534,0.640185,-0.330546,0.039166
13.1,0.10258,0.666375,-0.292846,0.039166
13.2,0.177702,0.6862,-0.25158,0.039166
13.3,0.252325,0.69936,-0.207113,0.039166
13.4,0.326024,0.705587,-0.159817,0.039166
13.5,0.398443,0.704637,-0.110069,0.039166
13.6,0.469285,0.696291,-0.0582371,0.039166
13.7,0.538304,0.680343,-0.00468267,0.039166
13.8,0.605294,0.656602,0.0502468,0.0574023
13.9,0.670073,0.624886,0.106218,0.115279
14,0.732473,0.58502,0.162914,0.168323
14.1,0.792328,0.536839,0.220031,0.216958
14.2,0.849461,0.480188,0.277279,0.261577
14.3,0.90367,0.41492,0.334375,0.302547
14.4,0.954721,0.340905,0.391047,0.340188
14.5,1.00233,0.258033,0.447019,0.37479
14.6,1.04617,0.166218,0.502016,0.406596
14.7,1.08584,0.0654096,0.555753,0.43581
14.8,1.12085,-0.0444032,0.60793,0.462602
14.9,1.15067,-0.163178,0.658227,0.487105
15,1.17464,-0.290808,0.706298,0.50942
15.1,1.19202,-0.427112,0.751763,0.529616
15.2,1.20194,-0.571814,0.794201,0.547734
15.3,1.20346,-0.724535,0.833147,0.563779
15.4,1.19548,-0.884769,0.868081,0.577728
15.5,1.1768,-1.05187,0.898424,0.589522
15.6,1.14608,-1.22502,0.92353,0.599065
15.7,1.10187,-1.40322,0.942683,0.606218
15.8,1.04263,-1.58528,0.955092,0.610796
15.9,0.9667,-1.76976,0.959888,0.612554
16,0.872383,-1.95499,0.956126,0.611176
16.1,0.757971,-2.13904,0.942789,0.606258
16.2,0.621812,-2.31971,0.918793,0.597278
16.3,0.4624,-2.4945,0.88301,0.583567
16.4,0.278498,-2.66068,0.834286,0.56424
16.5,0.0692834,-2.81523,0.771477,0.538118
16.6,-0.165467,-2.95496,0.6935,0.503579
16.7,-0.425164,-3.0765,0.599389,0.458316
16.8,-0.708166,-3.17644,0.488375,0.398895
16.9,-1.01153,-3.25141,0.35998,0.3199
17,-1.33076,-3.29827,0.214126,0.212131
17.1,-1.65963,-3.31425,0.0512487,0.0585023
17.2,-1.99008,-3.29717,-0.127573,0.0585023
17.3,-2.31223,-3.24565,-0.320507,0.0585023
17.4,-2.61462,-3.15936,-0.524878,0.0585023
17.5,-2.8847,-3.03917,-0.737116,0.0585023
17.6,-3.1095,-2.88732,-0.95277,0.0585023
17.7,-3.2767,-2.70746,-1.1666,0.0585023
17.8,-3.37568,-2.50462,-1.37277,0.0585023
17.9,-3.39877,-2.28504,-1.56511,0.0585023
18,-3.34231,-2.05587,-1.73751,0.0585023
18.1,-3.20735,-1.82476,-1.8843,0.0585023
18.2,-2.99998,-1.59939,-2.00071,0.0585023
18.3,-2.73095,-1.38697,-2.08323,0.0585023
18.4,-2.41475,-1.19379,-2.12988,0.0585023
18.5,-2.06831,-1.02482,-2.1404,0.0585023
18.6,-1.70932,-0.883491,-2.1162,0.0585023
18.7,-1.3547,-0.771646,-2.06023,0.0585023
18.8,-1.01919,-0.689572,-1.97666,0.0585023
18.9,-0.7145,-0.636213,-1.87052,0.0585023
19,-0.448795,-0.609433,-1.74733,0.0585023
19.1,-0.226767,-0.606332,-1.61266,0.0585023
19.2,-0.0499916,-0.623541,-1.47186,0.0585023
19.3,0.0824605,-0.657488,-1.3298,0.0585023
19.4,0.173334,-0.704614,-1.1907,0.0585023
19.5,0.226513,-0.761522,-1.05804,0.0585023
19.6,0.246446,-0.825071,-0.934588,0.0585023
19.7,0.237695,-0.892425,-0.822411,0.0585023
19.8,0.204638,-0.961064,-0.722952,0.0585023
19.9,0.151278,-1.02877,-0.637115,0.0585023
20,0.0811783,-1.09359,-0.565361,0.0585023
20.1,-0.0025449,-1.15383,-0.507788,0.0585023
20.2,-0.0971694,-1.208,-0.464209,0.0585023
20.3,-0.200289,-1.25479,-0.43421,0.0585023
20.4,-0.309722,-1.29307,-0.417202,0.0585023
20.5,-0.423424,-1.32185,-0.412448,0.0585023
20.6,-0.539411,-1.34032,-0.419093,0.0585023
20.7,-0.655692,-1.34781,-0.436173,0.0585023
20.8,-0.770236,-1.34383,-0.462626,0.0585023
20.9,-0.880945,-1.32808,-0.497294,0.0585023
21,-0.985666,-1.30045,-0.538925,0.0585023
21.1,-1.08222,-1.26107,-0.586182,0.0585023
21.2,-1.16845,-1.21027,-0.637648,0.0585023
21.3,-1.24229,-1.14864,-0.691838,0.0585023
21.4,-1.30186,-1.07698,-0.747222,0.0585023
21.5,-1.34553,-0.996343,-0.802247,0.0585023
21.6,-1.37205,-0.907953,-0.855371,0.0585023
21.7,-1.3806,-0.813221,-0.905097,0.0585023
21.8,-1.37084,-0.713687,-0.95002,0.0585023
21.9,-1.34299,-0.610973,-0.98886,0.0585023
22,-1.2978,-0.506739,-1.02051,0.0585023
22.1,-1.23655,-0.402624,-1.04405,0.0585023
22.2,-1.16096,-0.300198,-1.05882,0.0585023
22.3,-1.07312,-0.200913,-1.06438,0.0585023
22.4,-0.975377,-0.106069,-1.06055,0.0585023
22.5,-0.870219,-0.0167842,-1.04741,0.0585023
22.6,-0.760145,0.0660243,-1.02525,0.0585023
22.7,-0.64756,0.141644,-0.994588,0.0585023
22.8,-0.534671,0.209562,-0.956097,0.0585023
22.9,-0.42342,0.269455,-0.910592,0.0585023
23,-0.315431,0.321165,-0.858976,0.0585023
23.1,-0.211991,0.364673,-0.802206,0.0585023
23.2,-0.114051,0.400079,-0.741256,0.0585023
23.3,-0.0222451,0.427564,-0.677078,0.0585023
23.4,0.0630734,0.447373,-0.610583,0.0585023
23.5,0.141787,0.459784,-0.542616,0.0585023
23.6,0.213966,0.465093,-0.473944,0.0585023
23.7,0.279818,0.463597,-0.405246,0.0585023
23.8,0.339641,0.455582,-0.337113,0.0585023
23.9,0.393784,0.441313,-0.270049,0.0585023
24,0.442608,0.421033,-0.204474,0.0585023
24.1,0.486463,0.394963,-0.140736,0.0585023
24.2,0.525658,0.363299,-0.0791187,0.0585023
24.3,0.56045,0.326218,-0.0198495,0.0585023
24.4,0.591033,0.283883,0.0368856,0.042672
24.5,0.617527,0.236451,0.0909334,0.100058
24.6,0.63998,0.184075,0.142164,0.149502
24.7,0.658363,0.126918,0.190459,0.192333
24.8,0.672572,0.0651569,0.235707,0.22956
24.9,0.682436,-0.00100903,0.277793,0.261961
25,0.687714,-0.071348,0.316592,0.290133
25.1,0.688102,-0.145589,0.351968,0.314533
25.2,0.683244,-0.223412,0.383764,0.335505
25.3,0.672732,-0.304444,0.411801,0.353299
25.4,0.656116,-0.388246,0.435878,0.368091
25.5,0.632916,-0.47431,0.455769,0.379988
25.6,0.602629,-0.562052,0.471219,0.389038
25.7,0.564745,-0.650804,0.481954,0.395229
25.8,0.518759,-0.739815,0.487675,0.398497
25.9,0.464194,-0.828242,0.488063,0.398718
26,0.400619,-0.915153,0.482789,0.395707
26.1,0.327677,-0.999526,0.471516,0.38921
26.2,0.245115,-1.08026,0.453911,0.37889
26.3,0.152821,-1.15617,0.429654,0.364309
26.4,0.0508567,-1.22602,0.398454,0.344906
26.5,-0.0604942,-1.28851,0.360062,0.319954
26.6,-0.180686,-1.34233,0.314293,0.288507
26.7,-0.308864,-1.38617,0.261049,0.249311
26.8,-0.443828,-1.41876,0.200333,0.200683
26.9,-0.583995,-1.4389,0.132287,0.140309
27,-0.727377,-1.44552,0.0572042,0.0649389
27.1,-0.871578,-1.43771,-0.0244382,0.0649389
27.2,-1.01381,-1.41479,-0.111962,0.0649389
27.3,-1.15093,-1.37634,-0.204471,0.0649389
27.4,-1.27954,-1.32226,-0.300842,0.0649389
27.5,-1.39608,-1.2528,-0.399725,0.0649389
27.6,-1.49697,-1.1686,-0.499559,0.0649389
27.7,-1.5788,-1.07067,-0.598598,0.0649389
27.8,-1.6385,-0.960436,-0.69495,0.0649389
27.9,-1.67356,-0.839661,-0.786641,0.0649389
28,-1.68221,-0.710429,-0.871675,0.0649389
28.1,-1.66355,-0.57507,-0.948123,0.0649389
28.2,-1.61764,-0.436076,-1.0142,0.0649389
28.3,-1.54557,-0.296006,-1.06834,0.0649389
28.4,-1.4494,-0.157391,-1.10928,0.0649389
28.5,-1.33204,-0.0226359,-1.13612,0.0649389
28.6,-1.19706,0.106065,-1.14836,0.0649389
28.7,-1.04847,0.226796,-1.1459,0.0649389
28.8,-0.890493,0.337966,-1.12904,0.0649389
28.9,-0.727283,0.438336,-1.09847,0.0649389
29,-0.562726,0.527017,-1.05519,0.0649389
29.1,-0.40025,0.603449,-1.00043,0.0649389
29.2,-0.242709,0.667368,-0.935649,0.0649389
29.3,-0.0923171,0.718758,-0.862368,0.0649389
29.4,0.049362,0.757793,-0.782161,0.0649389
29.5,0.181374,0.784787,-0.696566,0.0649389
29.6,0.303302,0.800139,-0.60704,0.0649389
29.7,0.415174,0.804289,-0.514919,0.0649389
29.8,0.517357,0.797677,-0.421391,0.0649389
29.9,0.610454,0.780716,-0.327485,0.0649389
30,0.695213,0.753769,-0.234065,0.0649389
30.1,0.772437,0.71714,-0.141841,0.0649389
30.2,0.842923,0.671063,-0.0513755,0.0649389
30.3,0.907408,0.615707,0.0368926,0.0426947
30.4,0.96653,0.551178,0.122633,0.131172
30.5,1.0208,0.477529,0.205603,0.205086
30.6,1.07059,0.394768,0.285622,0.267771
30.7,1.11612,0.302877,0.362557,0.321614
30.8,1.15745,0.20182,0.436301,0.368347
30.9,1.1945,0.0915587,0.506754,0.409242
31,1.22701,-0.0279267,0.573812,0.44525
31.1,1.25461,-0.156626,0.637348,0.477083
31.2,1.27672,-0.294481,0.697203,0.505276
31.3,1.29267,-0.441364,0.753176,0.530231
31.4,1.3016,-0.597065,0.805007,0.55224
31.5,1.30251,-0.761265,0.852375,0.571507
31.6,1.29424,-0.933521,0.894889,0.588163
31.7,1.27551,-1.11324,0.932075,0.602269
31.8,1.24484,-1.29966,0.963374,0.613828
31.9,1.20063,-1.49182,0.988135,0.622777
32,1.14115,-1.68854,1.00561,0.628992
32.1,1.06454,-1.88839,1.01494,0.63228
32.2,0.96884,-2.08967,1.01519,0.632368
32.3,0.852063,-2.29041,1.00531,0.628886
32.4,0.712243,-2.48831,0.984152,0.621348
32.5,0.547526,-2.68077,0.950513,0.609112
32.6,0.356302,-2.86487,0.903129,0.591325
32.7,0.137364,-3.0374,0.840723,0.56684
32.8,-0.109891,-3.19489,0.762054,0.534073
32.9,-0.385218,-3.33366,0.665978,0.490773
33,-0.687243,-3.44994,0.551536,0.43358
33.1,-1.01317,-3.53997,0.418059,0.357186
33.2,-1.35846,-3.60016,0.265287,0.252542
33.3,-1.7166,-3.62731,0.0935134,0.102656
33.4,-2.07891,-3.61884,-0.0962749,0.102656
33.5,-2.43454,-3.57301,-0.302252,0.102656
33.6,-2.77068,-3.48924,-0.521637,0.102656
33.7,-3.07303,-3.3683,-0.750615,0.102656
33.8,-3.32667,-3.21251,-0.984337,0.102656
33.9,-3.51715,-3.02581,-1.21701,0.102656
34,-3.63188,-2.81377,-1.44209,0.102656
34.1,-3.66159,-2.58335,-1.65261,0.102656
34.2,-3.60167,-2.34261,-1.84161,0.102656
34.3,-3.45313,-2.10021,-2.0026,0.102656
34.4,-3.22294,-1.86485,-2.1301,0.102656
34.5,-2.92367,-1.64466,-2.22011,0.102656
34.6,-2.57238,-1.44669,-2.27041,0.102656
34.7,-2.18896,-1.27639,-2.28077,0.102656
34.8,-1.79412,-1.13744,-2.25294,0.102656
34.9,-1.40747,-1.03159,-2.19044,0.102656
35,-1.04588,-0.958814,-2.09818,0.102656
35.1,-0.72242,-0.917543,-1.98205,0.102656
35.2,-0.445907,-0.904994,-1.84841,0.102656
35.3,-0.221003,-0.917555,-1.70364,0.102656
35.4,-0.0487585,-0.951141,-1.55381,0.102656
35.5,0.0726109,-1.0015,-1.40432,0.102656
35.6,0.146861,-1.06445,-1.25982,0.102656
35.7,0.178917,-1.13605,-1.1241,0.102656
35.8,0.174208,-1.2127,-1.00006,0.102656
35.9,0.13818,-1.29115,-0.889826,0.102656
36,0.0759806,-1.36856,-0.794819,0.102656
36.1,-0.00770766,-1.44243,-0.715847,0.102656
36.2,-0.108709,-1.51059,-0.653222,0.102656
36.3,-0.223323,-1.57116,-0.606855,0.102656
36.4,-0.348239,-1.62254,-0.576331,0.102656
36.5,-0.480428,-1.66335,-0.560973,0.102656
36.6,-0.61704,-1.69245,-0.559893,0.102656
36.7,-0.755304,-1.70892,-0.572017,0.102656
36.8,-0.89246,-1.7121,-0.596114,0.102656
36.9,-1.02572,-1.70154,-0.630803,0.102656
37,-1.15224,-1.6771,-0.674569,0.102656
37.1,-1.26918,-1.6389,-0.72577,0.102656
37.2,-1.37375,-1.58734,-0.78265,0.102656
37.3,-1.46329,-1.52317,-0.843361,0.102656
37.4,-1.53538,-1.44739,-0.90599,0.102656
37.5,-1.588,-1.36131,-0.968591,0.102656
37.6,-1.61959,-1.26648,-1.02924,0.102656
37.7,-1.62923,-1.16466,-1.08606,0.102656
37.8,-1.61666,-1.05775,-1.13731,0.102656
37.9,-1.58237,-0.947773,-1.18144,0.102656
38,-1.52758,-0.836725,-1.2171,0.102656
38.1,-1.45419,-0.726566,-1.24323,0.102656
38.2,-1.36468,-0.619127,-1.25909,0.102656
38.3,-1.26198,-0.516055,-1.26427,0.102656
38.4,-1.14932,-0.418765,-1.25866,0.102656
38.5,-1.03,-0.328406,-1.24253,0.102656
38.6,-0.907282,-0.245849,-1.21638,0.102656
38.7,-0.784216,-0.171686,-1.181,0.102656
38.8,-0.663501,-0.106241,-1.13738,0.102656
38.9,-0.547424,-0.0496012,-1.08662,0.102656
39,-0.437798,-0.00164571,-1.02995,0.102656
39.1,-0.335961,0.0379139,-0.968607,0.102656
39.2,-0.242797,0.0694944,-0.903825,0.102656
39.3,-0.158777,0.0936034,-0.836782,0.102656
39.4,-0.0840253,0.110804,-0.768572,0.102656
39.5,-0.018384,0.121687,-0.700182,0.102656
39.6,0.0385139,0.126846,-0.632481,0.102656
39.7,0.0871802,0.126858,-0.56621,0.102656
39.8,0.128213,0.122274,-0.501989,0.102656
39.9,0.162247,0.113608,-0.440318,0.102656
40,0.189919,0.101337,-0.38159,0.102656
40.1,0.211831,0.0858972,-0.3261,0.102656
40.2,0.228542,0.0676877,-0.274062,0.102656
40.3,0.240545,0.0470744,-0.225616,0.102656
40.4,0.248269,0.0243943,-0.180849,0.102656
40.5,0.252074,-3.86116e-05,-0.139799,0.102656
40.6,0.252259,-0.0259281,-0.102471,0.102656
40.7,0.249059,-0.0529899,-0.0688428,0.102656
40.8,0.242663,-0.0809473,-0.0388751,0.102656
40.9,0.233214,-0.109526,-0.0125166,0.102656
41,0.220821,-0.13845,0.0102912,0.0122275
41.1,0.20557,-0.167441,0.0296104,0.0345111
41.2,0.187529,-0.196212,0.0455043,0.0534273
41.3,0.166762,-0.224469,0.0580366,0.0658311
41.4,0.143332,-0.251909,0.0672706,0.0756461
41.5,0.117312,-0.278221,0.0732703,0.0819388
41.6,0.0887955,-0.303086,0.0761014,0.0848813
41.7,0.0578971,-0.326179,0.075833,0.0846102
41.8,0.0247648,-0.347174,0.0725405,0.0811799
41.9,-0.0104169,-0.365741,0.0663076,0.0746337
42,-0.0474209,-0.381558,0.0572297,0.0649681
42.1,-0.0859743,-0.39431,0.0454169,0.0521358
42.2,-0.125754,-0.403697,0.0309974,0.0360798
42.3,-0.166389,-0.409439,0.01412,0.0167077
42.4,-0.207453,-0.411284,-0.00504253,0.0167077
42.5,-0.248475,-0.40901,-0.0262912,0.0167077
42.6,-0.288937,-0.402436,-0.0493987,0.0167077
42.7,-0.328283,-0.391429,-0.0741082,0.0167077
42.8,-0.365924,-0.375904,-0.100133,0.0167077
42.9,-0.401253,-0.355836,-0.127156,0.0167077
43,-0.433652,-0.33126,-0.154833,0.0167077
43.1,-0.462509,-0.302276,-0.182792,0.0167077
43.2,-0.487233,-0.269053,-0.210642,0.0167077
43.3,-0.507268,-0.231824,-0.237972,0.0167077
43.4,-0.522115,-0.190893,-0.26436,0.0167077
43.5,-0.531338,-0.146623,-0.289381,0.0167077
43.6,-0.534589,-0.099438,-0.312612,0.0167077
43.7,-0.531612,-0.0498157,-0.333642,0.0167077
43.8,-0.522257,0.00172211,-0.352079,0.0167077
43.9,-0.506481,0.0546164,-0.367562,0.0167077
44,-0.484355,0.108281,-0.379761,0.0167077
44.1,-0.456058,0.162112,-0.388394,0.0167077
44.2,-0.421873,0.2155,-0.393224,0.0167077
44.3,-0.382172,0.267836,-0.394072,0.0167077
44.4,-0.33741,0.318522,-0.390813,0.0167077
44.5,-0.288102,0.366981,-0.383379,0.0167077
44.6,-0.234811,0.412661,-0.371764,0.0167077
44.7,-0.178128,0.455041,-0.356013,0.0167077
44.8,-0.118654,0.493635,-0.336228,0.0167077
44.9,-0.0569878,0.527992,-0.312555,0.0167077
45,0.00629358,0.5577,-0.285184,0.0167077
45.1,0.0706413,0.582384,-0.25434,0.0167077
45.2,0.135545,0.601702,-0.220277,0.0167077
45.3,0.200538,0.615348,-0.183271,0.0167077
45.4,0.2652,0.623041,-0.143614,0.0167077
45.5,0.329153,0.624532,-0.10161,0.0167077
45.6,0.392066,0.619591,-0.0575646,0.0167077
45.7,0.453641,0.608012,-0.0117862,0.0167077
45.8,0.513612,0.589604,0.0354198,0.0410508
45.9,0.571734,0.564195,0.083753,0.0927382
46,0.627778,0.531627,0.132919,0.140902
46.1,0.681518,0.491757,0.18263,0.185617
46.2,0.732722,0.444459,0.232603,0.227089
46.3,0.781146,0.389626,0.282561,0.265506
46.4,0.826521,0.327167,0.332228,0.301062
46.5,0.868548,0.257022,0.381327,0.333928
46.6,0.906886,0.179154,0.429578,0.364262
46.7,0.941148,0.0935669,0.476691,0.392203
46.8,0.970889,0.000303927,0.522366,0.417865
46.9,0.995602,-0.100539,0.566287,0.441339
47,1.01471,-0.208808,0.608113,0.462694
47.1,1.02757,-0.324274,0.64748,0.481972
47.2,1.03345,-0.446632,0.683993,0.499194
47.3,1.03153,-0.575476,0.717221,0.514349
47.4,1.02092,-0.710295,0.746691,0.527405
47.5,1.00064,-0.850456,0.771887,0.538293
47.6,0.969625,-0.995187,0.792245,0.546913
47.7,0.926744,-1.14357,0.807149,0.553128
47.8,0.870805,-1.2945,0.815932,0.556753
47.9,0.80058,-1.44672,0.817875,0.557551
48,0.714836,-1.59877,0.81221,0.55522
48.1,0.612376,-1.74898,0.798124,0.549374
48.2,0.492095,-1.89548,0.774775,0.539525
48.3,0.353058,-2.03622,0.7413,0.525043
48.4,0.194583,-2.16894,0.696844,0.505111
48.5,0.0163583,-2.2912,0.640583,0.478649
48.6,-0.181429,-2.40046,0.571765,0.444189
48.7,-0.397952,-2.49407,0.489758,0.399682
48.8,-0.63158,-2.5694,0.394107,0.342142
48.9,-0.879733,-2.62387,0.284598,0.267015
49,-1.13873,-2.65509,0.161336,0.166915
49.1,-1.40372,-2.661,0.0248249,0.0290694
49.2,-1.66858,-2.64,-0.123959,0.0290694
49.3,-1.92603,-2.59107,-0.283494,0.0290694
49.4,-2.16782,-2.51395,-0.451657,0.0290694
49.5,-2.38497,-2.40926,-0.625708,0.0290694
49.6,-2.56834,-2.27858,-0.802298,0.0290694
49.7,-2.70917,-2.12448,-0.977542,0.0290694
49.8,-2.79983,-1.95053,-1.14714,0.0290694
49.9,-2.83454,-1.76118,-1.30655,0.0290694
50,-2.81004,-1.56155,-1.45125,0.0290694
50.1,-2.72608,-1.35723,-1.57696,0.0290694
50.2,-2.58568,-1.15396,-1.67995,0.0290694
50.3,-2.39498,-0.957281,-1.75728,0.0290694
50.4,-2.16287,-0.772267,-1.80703,0.0290694
50.5,-1.90023,-0.603219,-1.82838,0.0290694
50.6,-1.61898,-0.453486,-1.82171,0.0290694
50.7,-1.33112,-0.325353,-1.7885,0.0290694
50.8,-1.0478,-0.220026,-1.73119,0.0290694
50.9,-0.778585,-0.137707,-1.65299,0.0290694
51,-0.530994,-0.0777293,-1.55761,0.0290694
