time,x,y,z,L
0,-8,2,4,0
0.1,-8.17532,1.49156,3.14232,0.75133
0.2,-8.29528,0.892231,2.19766,0.601844
0.3,-8.35077,0.20314,1.22837,0.360983
0.4,-8.33318,-0.5673,0.32491,0.360983
0.5,-8.23518,-1.40115,-0.396727,0.360983
0.6,-8.05179,-2.26938,-0.805899,0.360983
0.7,-7.78149,-3.13173,-0.778162,0.360983
0.8,-7.42728,-3.93882,-0.224452,0.360983
0.9,-6.99737,-4.63692,0.877872,0.360983
1,-6.50524,-5.17513,2.46304,0.360983
1.1,-5.96902,-5.51349,4.37527,0.360983
1.2,-5.40996,-5.63014,6.3933,0.360983
1.3,-4.8504,-5.52521,8.27593,0.360983
1.4,-4.3116,-5.22028,9.81388,0.360983
1.5,-3.81175,-4.75368,10.8699,0.360983
1.6,-3.36466,-4.17318,11.3956,0.360983
1.7,-2.97926,-3.52822,11.423,0.360983
1.8,-2.65966,-2.86366,11.0406,0.360983
1.9,-2.40595,-2.21581,10.3629,0.360983
2,-2.21506,-1.611,9.50533,0.360983
2.1,-2.08175,-1.06608,8.56719,0.360983
2.2,-1.99954,-0.589898,7.62365,0.360983
2.3,-1.96138,-0.185404,6.72496,0.360983
2.4,-1.96011,0.148459,5.89957,0.337436
2.5,-1.98883,0.415089,5.15898,0.445407
2.6,-2.04103,0.618991,4.50284,0.517358
2.7,-2.11069,0.764929,3.92336,0.564023
2.8,-2.19224,0.8574,3.40874,0.591745
2.9,-2.28052,0.900371,2.94575,0.604178
3,-2.37077,0.897201,2.52154,0.60327
3.1,-2.45852,0.85069,2.12492,0.589779
3.2,-2.53955,0.763233,1.74718,0.563501
3.3,-2.60987,0.637035,1.3828,0.523333
3.4,-2.66574,0.474366,1.02978,0.4672
3.5,-2.70362,0.277856,0.68996,0.391955
3.6,-2.72029,0.0507885,0.369026,0.293459
3.7,-2.7129,-0.202617,0.0762554,0.293459
3.8,-2.67907,-0.476968,-0.176112,0.293459
3.9,-2.61703,-0.765549,-0.373955,0.293459
4,-2.52575,-1.06029,-0.502828,0.293459
4.1,-2.40507,-1.3519,-0.54991,0.293459
4.2,-2.25581,-1.63019,-0.506172,0.293459
4.3,-2.07983,-1.88457,-0.368425,0.293459
4.4,-1.88004,-2.10473,-0.14086,0.293459
4.5,-1.66034,-2.28139,0.164332,0.293459
4.6,-1.42546,-2.40706,0.527514,0.293459
4.7,-1.1808,-2.47662,0.923406,0.293459
4.8,-0.932089,-2.48782,1.32388,0.293459
4.9,-0.685161,-2.44134,1.70125,0.293459
5,-0.445633,-2.34062,2.0315,0.293459
5.1,-0.218656,-2.19142,2.29677,0.293459
5.2,-0.00871848,-2.00117,2.48678,0.293459
5.3,0.180489,-1.77826,2.59903,0.293459
5.4,0.346131,-1.53128,2.63802,0.293459
5.5,0.486219,-1.26847,2.61362,0.293459
5.6,0.599547,-0.997244,2.53918,0.293459
5.7,0.685597,-0.723874,2.42967,0.293459
5.8,0.74442,-0.453411,2.30001,0.293459
5.9,0.776505,-0.189657,2.16395,0.293459
6,0.782665,0.0647229,2.03327,0.299884
6.1,0.763929,0.308053,1.91743,0.40409
6.2,0.721452,0.539462,1.82354,0.490288
6.3,0.656443,0.758701,1.75651,0.562106
6.4,0.570111,0.965972,1.71937,0.622636
6.5,0.463631,1.16178,1.71354,0.67429
6.6,0.338114,1.34682,1.73923,0.718903
6.7,0.1946,1.52186,1.79573,0.75787
6.8,0.0340491,1.68768,1.88167,0.792251
6.9,-0.142654,1.84502,1.99519,0.822858
7,-0.334695,1.99454,2.13417,0.850317
7.1,-0.54132,2.13679,2.29626,0.875111
7.2,-0.761824,2.27217,2.47898,0.897615
7.3,-0.995534,2.40096,2.67977,0.918114
7.4,-1.2418,2.52327,2.89592,0.936824
7.5,-1.49997,2.63907,3.12464,0.953903
7.6,-1.76939,2.74811,3.3629,0.96946
7.7,-2.04935,2.84998,3.60747,0.983559
7.8,-2.33912,2.94404,3.85476,0.996226
7.9,-2.63787,3.02942,4.10075,1.00744
8,-2.94468,3.10496,4.34088,1.01716
8.1,-3.25849,3.16921,4.56992,1.02527
8.2,-3.57809,3.22034,4.78181,1.03163
8.3,-3.90205,3.25612,4.96955,1.03603
8.4,-4.22871,3.27382,5.12507,1.0382
8.5,-4.5561,3.2702,5.2391,1.03776
8.6,-4.88191,3.24137,5.30118,1.03423
8.7,-5.20338,3.18278,5.29974,1.02697
8.8,-5.5173,3.08918,5.22233,1.01515
8.9,-5.81985,2.95457,5.05619,0.997623
9,-6.10663,2.77235,4.78922,0.972851
9.1,-6.3725,2.53542,4.41144,0.938644
