time,x,y,z,L
0,4,1,0,0
0.1,3.98699,0.892248,-0.264234,-inf
0.2,3.94637,0.768456,-0.551917,0.126719
0.3,3.87591,0.628027,-0.86059,0.136777
0.4,3.77368,0.470723,-1.18636,0.150093
0.5,3.63825,0.296779,-1.52367,0.168116
0.6,3.46881,0.107021,-1.86513,0.193254
0.7,3.26539,-0.0970061,-2.20147,0.229687
0.8,3.02905,-0.312939,-2.52171,0.284953
0.9,2.762,-0.537521,-2.81343,0.372053
1,2.46775,-0.766581,-3.06348,0.506134
1.1,2.15113,-0.995093,-3.25881,0.681041
1.2,1.81821,-1.21731,-3.38757,0.860167
1.3,1.47615,-1.42702,-3.44033,1.01681
1.4,1.13287,-1.61787,-3.41128,1.14472
1.5,0.79667,-1.78376,-3.29912,1.24522
1.6,0.475703,-1.9193,-3.1076,1.32081
1.7,0.17751,-2.02022,-2.84546,1.37371
1.8,-0.0914665,-2.08368,-2.52575,1.40563
1.9,-0.326257,-2.10854,-2.1646,1.41786
2,-0.523595,-2.09537,-1.77971,1.4114
2.1,-0.681992,-2.04639,-1.38858,1.387
2.2,-0.801636,-1.96521,-1.0071,1.34521
2.3,-0.884171,-1.85645,-0.648304,1.28644
2.4,-0.932377,-1.7254,-0.321778,1.21092
2.5,-0.949804,-1.57756,-0.0334479,1.11885
2.6,-0.940427,-1.41832,0.214148,1.01064
2.7,-0.908325,-1.25263,0.42131,0.887663
2.8,-0.857433,-1.08487,0.590473,0.754102
2.9,-0.791369,-0.918653,0.725484,0.619712
3,-0.713322,-0.756876,0.83094,0.499459
3.1,-0.626006,-0.601693,0.911657,0.404583
3.2,-0.53166,-0.454605,0.972273,0.335435
3.3,-0.43208,-0.316546,1.01699,0.286075
3.4,-0.32867,-0.187988,1.04945,0.250386
3.5,-0.222499,-0.0690455,1.07264,0.223951
3.6,-0.114369,0.0404369,1.08897,0.203871
3.7,-0.0048724,0.140798,1.10025,0.188263
3.8,0.105556,0.232492,1.10779,0.175891
3.9,0.216591,0.316035,1.1125,0.165916
4,0.32798,0.391962,1.11492,0.157762
4.1,0.439507,0.460795,1.1153,0.151019
4.2,0.550974,0.523018,1.1137,0.145393
4.3,0.662176,0.579066,1.10996,0.140667
4.4,0.772886,0.629309,1.1038,0.13668
4.5,0.882844,0.674055,1.09486,0.133312
4.6,0.991748,0.713536,1.08265,0.130474
4.7,1.09925,0.74792,1.06665,0.128097
4.8,1.20493,0.777303,1.04627,0.126133
4.9,1.30834,0.801714,1.02091,0.124547
5,1.40893,0.82112,0.9899,0.123313
5.1,1.5061,0.835429,0.952572,0.122419
5.2,1.59921,0.84449,0.908237,0.121859
5.3,1.6875,0.848103,0.856204,0.121637
5.4,1.77017,0.846021,0.795787,0.121765
5.5,1.84635,0.837954,0.726324,0.122262
5.6,1.91511,0.823583,0.647197,0.123158
5.7,1.97545,0.802558,0.557853,0.124492
5.8,2.02633,0.77452,0.457841,0.126317
5.9,2.06665,0.739102,0.346838,0.128699
6,2.09532,0.695953,0.224706,0.131723
6.1,2.11122,0.644752,0.0915278,0.135502
6.2,2.11327,0.58523,-0.0523261,0.140165
6.3,2.10043,0.517193,-0.206146,0.145909
6.4,2.07175,0.440553,-0.36882,0.152943
6.5,2.02642,0.35536,-0.538781,0.161593
6.6,1.96382,0.261829,-0.713955,0.17226
6.7,1.88354,0.16038,-0.891738,0.185481
6.8,1.78549,0.0516651,-1.06899,0.202003
6.9,1.66988,-0.0633995,-1.24204,0.222825
7,1.53735,-0.183616,-1.40682,0.249314
7.1,1.38894,-0.307494,-1.55889,0.283272
7.2,1.22615,-0.433256,-1.69368,0.326916
7.3,1.05093,-0.558858,-1.8067,0.382446
7.4,0.865677,-0.682038,-1.89374,0.450842
7.5,0.673171,-0.800373,-1.9512,0.52999
7.6,0.476515,-0.91137,-1.97635,0.613967
7.7,0.279035,-1.01256,-1.96753,0.695231
7.8,0.0841538,-1.10162,-1.92441,0.767707
7.9,-0.104735,-1.17648,-1.84797,0.827905
8,-0.284407,-1.23542,-1.74058,0.874313
8.1,-0.451937,-1.27717,-1.60581,0.906519
8.2,-0.604808,-1.30098,-1.44822,0.924612
8.3,-0.740996,-1.30664,-1.27306,0.928878
8.4,-0.859019,-1.29446,-1.08587,0.919677
8.5,-0.957955,-1.26527,-0.892197,0.897402
8.6,-1.03742,-1.22033,-0.697197,0.862531
8.7,-1.0975,-1.16123,-0.505414,0.815737
8.8,-1.13873,-1.08981,-0.320584,0.758119
8.9,-1.16195,-1.00805,-0.145545,0.691566
9,-1.16823,-0.917977,0.017771,0.619177
9.1,-1.15882,-0.821544,0.168283,0.545392
9.2,-1.13501,-0.720601,0.30565,0.475247
9.3,-1.09812,-0.616818,0.430134,0.412815
9.4,-1.04939,-0.511662,0.542453,0.360004
9.5,-0.990001,-0.406371,0.643635,0.316665
9.6,-0.920997,-0.301962,0.734892,0.281563
9.7,-0.84331,-0.199232,0.817515,0.253183
9.8,-0.757739,-0.0987812,0.892786,0.230061
9.9,-0.664957,-0.00103265,0.961921,0.211063
10,-0.565522,0.0937414,1.02603,0.195286
10.1,-0.459886,0.185394,1.08609,0.182043
10.2,-0.348412,0.273879,1.14293,0.170808
10.3,-0.231383,0.359226,1.19727,0.16118
10.4,-0.109022,0.441525,1.24967,0.152849
10.5,0.0185019,0.520904,1.30058,0.145579
10.6,0.151057,0.597515,1.35035,0.139176
10.7,0.288541,0.671526,1.39921,0.133498
10.8,0.430874,0.743108,1.44734,0.128425
10.9,0.577988,0.812427,1.49484,0.123862
11,0.729821,0.87964,1.54175,0.119735
11.1,0.886317,0.944893,1.58806,0.304619
11.2,1.04741,1.00831,1.63373,0.447678
11.3,1.21304,1.07001,1.67868,0.55427
11.4,1.38312,1.13007,1.72279,0.641415
11.5,1.55756,1.18857,1.7659,0.715869
11.6,1.73626,1.24555,1.80786,0.781149
11.7,1.91909,1.30104,1.84843,0.839362
11.8,2.1059,1.35503,1.88739,0.891882
11.9,2.2965,1.4075,1.92445,0.939655
12,2.49071,1.4584,1.9593,0.983354
12.1,2.68828,1.50765,1.99157,1.02347
12.2,2.88893,1.55514,2.02083,1.06037
12.3,3.09233,1.60073,2.0466,1.0943
12.4,3.29811,1.64425,2.0683,1.12544
12.5,3.50583,1.68546,2.0853,1.15393
12.6,3.71499,1.72412,2.09683,1.1798
12.7,3.92499,1.75989,2.10202,1.20308
12.8,4.13515,1.79241,2.09986,1.22371
12.9,4.34468,1.82122,2.08919,1.24159
13,4.55266,1.84581,2.06865,1.25657
13.1,4.75803,1.86557,2.03671,1.26842
13.2,4.95956,1.87979,1.99158,1.27685
13.3,5.15584,1.88764,1.93126,1.28147
13.4,5.34523,1.88817,1.85346,1.28179
13.5,5.52586,1.88031,1.75562,1.27716
13.6,5.69559,1.86279,1.63492,1.26677
13.7,5.85198,1.83423,1.48826,1.24955
13.8,5.99227,1.79305,1.31236,1.22411
13.9,6.11336,1.73749,1.10379,1.18858
14,6.21182,1.66565,0.85914,1.14035
14.1,6.28388,1.57549,0.575198,1.07568
14.2,6.32546,1.46487,0.249255,0.988743
14.3,6.33227,1.33165,-0.120515,0.869597
14.4,6.29988,1.17378,-0.534562,0.697836
14.5,6.22393,0.98944,-0.991343,0.409885
14.6,6.10033,0.777265,-1.48663,0.126136
14.7,5.92557,0.53658,-2.01277,0.144221
14.8,5.69713,0.267696,-2.55798,0.171549
14.9,5.41388,-0.0277643,-3.10591,0.215957
15,5.07656,-0.346547,-3.63549,0.295716
15.1,4.68823,-0.683495,-4.12145,0.451738
15.2,4.25466,-1.03138,-4.53564,0.710548
15.3,3.78446,-1.38093,-4.84919,0.983804
15.4,3.28906,-1.7211,-5.03561,1.20835
15.5,2.78227,-2.03962,-5.07428,1.38358
15.6,2.27952,-2.32386,-4.95401,1.51804
15.7,1.79675,-2.56191,-4.6757,1.61825
15.8,1.34919,-2.74369,-4.25354,1.68851
15.9,0.949969,-2.86207,-3.71404,1.73172
16,0.609099,-2.9136,-3.09313,1.74996
16.1,0.332694,-2.89884,-2.43168,1.74477
16.2,0.122754,-2.82224,-1.77033,1.71739
16.3,-0.0225779,-2.69147,-1.14489,1.66883
16.4,-0.108354,-2.51653,-0.583008,1.59991
16.5,-0.141903,-2.30859,-0.102505,1.51126
16.6,-0.131849,-2.07902,0.288451,1.40332
16.7,-0.0872015,-1.83845,0.589957,1.27638
16.8,-0.0166356,-1.59618,0.808246,1.13087
16.9,0.0720073,-1.35981,0.953378,0.968403
17,0.171995,-1.13519,1.03718,0.794838
17.1,0.277799,-0.926449,1.07163,0.625884
