time,x,y,z,L
0,-1,-1,0,0
0.1,-0.900261,-0.995169,0.0964714,-inf
0.2,-0.801921,-0.981365,0.185816,-inf
0.3,-0.705959,-0.959625,0.268013,-inf
0.4,-0.612973,-0.930962,0.343118,-inf
0.5,-0.523265,-0.896335,0.411234,-inf
0.6,-0.43692,-0.856629,0.472488,-inf
0.7,-0.353868,-0.812646,0.52701,-inf
0.8,-0.273933,-0.765096,0.57492,-inf
0.9,-0.19688,-0.714607,0.616323,-inf
1,-0.122437,-0.661718,0.651298,-inf
1.1,-0.0503224,-0.606893,0.679902,-0.0449303
1.2,0.0197423,-0.550524,0.702162,0.0159818
1.3,0.0880211,-0.49294,0.718079,0.0652342
1.4,0.154757,-0.434414,0.72763,0.105878
1.5,0.22017,-0.375173,0.730766,0.140042
1.6,0.284449,-0.315401,0.727415,0.169226
1.7,0.347759,-0.255248,0.717487,0.194507
1.8,0.410234,-0.194836,0.700873,0.21667
1.9,0.471979,-0.134264,0.677449,0.236303
2,0.53307,-0.0736119,0.647077,0.253847
2.1,0.593557,-0.0129478,0.609609,0.269637
2.2,0.653456,0.047671,0.564889,0.283936
2.3,0.712755,0.108193,0.512757,0.296941
2.4,0.77141,0.168567,0.453049,0.308809
2.5,0.829339,0.228744,0.385604,0.31966
2.6,0.886426,0.288667,0.310266,0.329582
2.7,0.942507,0.348273,0.226888,0.338641
2.8,0.997374,0.407486,0.135337,0.346881
2.9,1.05076,0.466217,0.0355001,0.354328
3,1.10233,0.524354,-0.072708,0.360989
3.1,1.15167,0.581762,-0.189338,0.366853
3.2,1.19827,0.638274,-0.314395,0.371891
3.3,1.24153,0.693686,-0.447828,0.376053
3.4,1.28068,0.74775,-0.589516,0.379268
3.5,1.31482,0.80016,-0.739248,0.381435
3.6,1.34284,0.850545,-0.896708,0.382422
3.7,1.36342,0.898453,-1.06144,0.382057
3.8,1.37496,0.943338,-1.23284,0.380117
3.9,1.37557,0.984537,-1.4101,0.376315
4,1.36299,1.02125,-1.59217,0.370281
4.1,1.33458,1.05254,-1.77774,0.361535
4.2,1.2873,1.07725,-1.96514,0.349453
4.3,1.21769,1.09407,-2.15236,0.33321
4.4,1.12196,1.10142,-2.33693,0.311709
4.5,0.996104,1.09754,-2.51591,0.283454
4.6,0.836148,1.08044,-2.68588,0.246368
4.7,0.638555,1.04794,-2.84291,0.197471
4.8,0.400801,0.997808,-2.98265,0.132322
