time,x,y,z,L
0,-6,4,-8,0
0.1,-6.34018,4.4927,-7.28198,-inf
0.2,-6.55582,5.01848,-6.53612,-inf
0.3,-6.64337,5.53911,-5.77509,-inf
0.4,-6.60436,6.01711,-5.01167,-inf
0.5,-6.44515,6.41935,-4.25823,-inf
0.6,-6.17626,6.72,-3.5263,-inf
0.7,-5.81142,6.90246,-2.82618,-inf
0.8,-5.36653,6.95998,-2.16668,-inf
0.9,-4.85845,6.89517,-1.55498,-inf
1,-4.304,6.71863,-0.99654,-inf
1.1,-3.71911,6.44691,-0.495193,-inf
1.2,-3.11814,6.10036,-0.0532516,-inf
1.3,-2.51346,5.70095,0.328313,-inf
1.4,-1.91532,5.27051,0.649661,-inf
1.5,-1.33176,4.82933,0.911866,-inf
1.6,-0.768758,4.39524,1.1167,-inf
1.7,-0.230473,3.98308,1.26644,-inf
1.8,0.280521,3.60456,1.36371,0.0650228
1.9,0.762937,3.26835,1.41129,0.166031
2,1.2165,2.98037,1.41208,0.249292
2.1,1.64169,2.74412,1.36894,0.318345
2.2,2.03952,2.56113,1.28466,0.376225
2.3,2.41134,2.43131,1.1619,0.425304
2.4,2.75869,2.35336,1.0032,0.467385
2.5,3.08319,2.32507,0.810927,0.503831
2.6,3.38641,2.3436,0.587276,0.535682
2.7,3.66984,2.40566,0.334305,0.563733
2.8,3.93482,2.5077,0.0539234,0.588601
2.9,4.18252,2.64605,-0.252083,0.610767
3,4.4139,2.81692,-0.582036,0.630605
3.1,4.62971,3.01656,-0.934344,0.648408
3.2,4.83048,3.2412,-1.30748,0.664405
3.3,5.01652,3.48709,-1.69995,0.67877
3.4,5.1879,3.75048,-2.11029,0.691636
3.5,5.34447,4.02762,-2.53703,0.703096
3.6,5.48585,4.31472,-2.97868,0.713216
3.7,5.61143,4.60791,-3.43368,0.722029
3.8,5.72037,4.90322,-3.90041,0.729545
3.9,5.81159,5.19656,-4.37716,0.735749
4,5.88377,5.48364,-4.8621,0.740602
4.1,5.93534,5.76001,-5.35323,0.744038
4.2,5.96448,6.02101,-5.84842,0.74597
4.3,5.96913,6.26176,-6.34531,0.746277
4.4,5.94695,6.4772,-6.84135,0.744809
