time,x,y,z,L
0,-1,2,0,0
0.1,-0.921848,1.89984,-0.192412,-inf
0.2,-0.699044,1.78339,-0.358938,-inf
0.3,-0.35861,1.64177,-0.484099,-inf
0.4,0.0612432,1.48908,-0.555969,-inf
0.5,0.515232,1.35708,-0.569212,-inf
0.6,0.957034,1.28198,-0.52666,-inf
0.7,1.34575,1.28935,-0.438756,-inf
0.8,1.6511,1.38403,-0.32111,-inf
0.9,1.85623,1.5488,-0.191053,-inf
1,1.95771,1.75094,-0.0643422,-inf
1.1,1.96329,1.95287,0.0471097,-inf
1.2,1.88835,2.12197,0.13616,-inf
1.3,1.75214,2.23657,0.200174,-inf
1.4,1.57453,2.28764,0.240027,-inf
1.5,1.37371,2.27693,0.25885,-inf
1.6,1.16485,2.21353,0.260879,-inf
1.7,0.959594,2.11011,0.250574,-inf
1.8,0.766118,1.97998,0.232062,-inf
1.9,0.589541,1.83514,0.208855,-inf
2,0.432448,1.68526,0.183758,-inf
2.1,0.295461,1.53745,0.158893,-inf
2.2,0.17775,1.39646,0.135775,-inf
2.3,0.0774843,1.26515,0.115408,-inf
2.4,-0.00779385,1.14492,0.0983709,-inf
2.5,-0.0808596,1.03621,0.0848883,-inf
2.6,-0.144547,0.938864,0.074891,-inf
2.7,-0.201533,0.852425,0.0680656,-inf
2.8,-0.254162,0.776299,0.0639004,-inf
2.9,-0.304307,0.709894,0.0617315,-inf
3,-0.353261,0.652674,0.060793,-inf
3.1,-0.401686,0.604174,0.0602707,-inf
3.2,-0.449591,0.563975,0.0593609,-inf
3.3,-0.496364,0.531659,0.0573319,-inf
3.4,-0.540862,0.506736,0.0535851,-inf
3.5,-0.581532,0.488576,0.0477139,-inf
3.6,-0.616591,0.476338,0.0395529,-inf
3.7,-0.644233,0.468945,0.0292138,-inf
3.8,-0.662857,0.465088,0.0171003,-inf
3.9,-0.6713,0.463297,0.00389594,-inf
4,-0.669044,0.46206,-0.00947994,-inf
4.1,-0.656374,0.459976,-0.0219482,-inf
4.2,-0.634472,0.455913,-0.0323748,-inf
4.3,-0.605405,0.449136,-0.0396944,-inf
4.4,-0.572023,0.439379,-0.0430386,-inf
4.5,-0.537755,0.426838,-0.0418518,-inf
4.6,-0.506314,0.412096,-0.0359779,-inf
4.7,-0.481367,0.396009,-0.0257058,-inf
4.8,-0.466166,0.37959,-0.0117677,-inf
4.9,-0.463218,0.363917,0.00470846,-inf
5,-0.473995,0.350087,0.0222849,-inf
5.1,-0.498732,0.339202,0.039327,-inf
5.2,-0.536321,0.332355,0.0541335,-inf
5.3,-0.584313,0.330587,0.0650741,-inf
5.4,-0.639028,0.334765,0.0707297,-inf
5.5,-0.695782,0.345387,0.0700314,-inf
5.6,-0.749222,0.362349,0.0623938,-inf
5.7,-0.793759,0.384721,0.0478328,-inf
5.8,-0.82409,0.41064,0.027053,-inf
5.9,-0.83576,0.437395,0.00148194,-inf
6,-0.82574,0.461734,-0.0267724,-inf
6.1,-0.792913,0.480384,-0.0550598,-inf
6.2,-0.738423,0.490663,-0.0804267,-inf
6.3,-0.665795,0.491016,-0.0999374,-inf
6.4,-0.580773,0.48132,-0.111037,-inf
6.5,-0.490875,0.462832,-0.111898,-inf
