time,x,y,z,L
0,28,-42,-2,0
0.1,23.6922,-44.0294,-2.69876,-inf
0.2,19.2211,-45.2503,-3.36816,-inf
0.3,14.6717,-45.5845,-3.99157,-inf
0.4,10.1351,-44.9917,-4.55256,-inf
0.5,5.70424,-43.4752,-5.03585,-inf
0.6,1.46929,-41.0847,-5.42823,-inf
0.7,-2.48665,-37.914,-5.7194,-inf
0.8,-6.09184,-34.0941,-5.90262,-inf
0.9,-9.2891,-29.7834,-5.97515,-inf
1,-12.0379,-25.1543,-5.9383,-inf
1.1,-14.3151,-20.3796,-5.79722,-inf
1.2,-16.1144,-15.6202,-5.5604,-inf
1.3,-17.4443,-11.0149,-5.23897,-inf
1.4,-18.3262,-6.67338,-4.84583,-inf
1.5,-18.7904,-2.67387,-4.3948,-inf
1.6,-18.8739,0.936978,-3.8998,-inf
1.7,-18.6166,4.14071,-3.37415,-inf
1.8,-18.0592,6.94227,-2.83005,-inf
1.9,-17.2409,9.36431,-2.27821,-inf
2,-16.1979,11.4415,-1.72764,-inf
2.1,-14.9627,13.2153,-1.18563,-inf
2.2,-13.5634,14.7299,-0.657775,-inf
2.3,-12.0239,16.0287,-0.148151,-inf
2.4,-10.3635,17.1519,0.340527,0.0783276
2.5,-8.59813,18.1357,0.806673,0.174533
2.6,-6.74,19.0111,1.24962,0.254966
2.7,-4.79866,19.8038,1.6694,0.322574
2.8,-2.78131,20.5343,2.06658,0.37995
2.9,-0.693328,21.2188,2.44208,0.429167
3,1.46131,21.8691,2.79707,0.471833
3.1,3.67963,22.4935,3.13282,0.509184
3.2,5.95932,23.0974,3.45063,0.542177
3.3,8.29851,23.6836,3.75178,0.571557
3.4,10.6955,24.2528,4.03746,0.597908
3.5,13.1485,24.8041,4.30876,0.62169
3.6,15.6556,25.3352,4.5666,0.643269
3.7,18.2147,25.8424,4.81176,0.662935
3.8,20.8232,26.3211,5.04485,0.680921
3.9,23.4778,26.7659,5.26632,0.69741
4,26.175,27.1701,5.47641,0.712547
4.1,28.9102,27.5265,5.6752,0.726443
4.2,31.6784,27.8267,5.86257,0.739181
4.3,34.4734,28.0615,6.03823,0.750823
4.4,37.2882,28.2204,6.20167,0.761406
4.5,40.1146,28.2919,6.3522,0.770949
4.6,42.9432,28.263,6.4889,0.779452
4.7,45.7633,28.1194,6.61063,0.786898
4.8,48.5627,27.8448,6.716,0.793251
4.9,51.3273,27.4215,6.80339,0.798455
5,54.0414,26.8296,6.87087,0.802436
5.1,56.6869,26.0474,6.91625,0.805094
5.2,59.2437,25.0508,6.937,0.806305
