time,x,y,z,L
0,-2,0,-1,0
0.1,-1.995,0.099881,-0.998596,0.747076
0.2,-1.98005,0.199031,-0.994735,0.739875
0.3,-1.95525,0.296682,-0.988877,0.727851
0.4,-1.92079,0.392037,-0.981396,0.710931
0.5,-1.87694,0.484291,-0.97259,0.689
0.6,-1.82406,0.572643,-0.962696,0.66189
0.7,-1.76257,0.656307,-0.951892,0.629378
0.8,-1.69298,0.734534,-0.940314,0.591173
0.9,-1.61587,0.806612,-0.928056,0.546894
1,-1.53188,0.871888,-0.915185,0.496041
1.1,-1.44174,0.929766,-0.901738,0.43795
1.2,-1.3462,0.979726,-0.887735,0.371715
1.3,-1.24607,1.02132,-0.873179,0.296068
1.4,-1.14222,1.0542,-0.858056,0.209174
1.5,-1.03553,1.07808,-0.842344,0.108252
1.6,-0.926911,1.09279,-0.82601,-0.0111227
1.7,-0.817281,1.09825,-0.809016,-0.0111227
1.8,-0.707569,1.09447,-0.791317,-0.0111227
1.9,-0.598692,1.08155,-0.772863,-0.0111227
2,-0.491556,1.05972,-0.753604,-0.0111227
2.1,-0.387036,1.02926,-0.733486,-0.0111227
2.2,-0.285978,0.990573,-0.712462,-0.0111227
2.3,-0.18918,0.944137,-0.690484,-0.0111227
2.4,-0.0973903,0.890513,-0.667513,-0.0111227
2.5,-0.0112961,0.830336,-0.643522,-0.0111227
2.6,0.068482,0.764313,-0.618497,-0.0111227
2.7,0.141397,0.693204,-0.592444,-0.0111227
2.8,0.20698,0.617822,-0.565394,-0.0111227
2.9,0.264847,0.539017,-0.53741,-0.0111227
3,0.314699,0.457666,-0.50859,-0.0111227
3.1,0.356325,0.374657,-0.479076,-0.0111227
3.2,0.389605,0.290881,-0.449059,-0.0111227
3.3,0.414505,0.207213,-0.418784,-0.0111227
3.4,0.431079,0.124499,-0.388553,-0.0111227
3.5,0.439463,0.0435457,-0.358728,-0.0111227
3.6,0.439872,-0.0349004,-0.329726,-0.0111227
3.7,0.43259,-0.110161,-0.30202,-0.0111227
3.8,0.417966,-0.181638,-0.276127,-0.0111227
3.9,0.396405,-0.248827,-0.252595,-0.0111227
4,0.368357,-0.311319,-0.231991,-0.0111227
4.1,0.334308,-0.368813,-0.214879,-0.0111227
4.2,0.294768,-0.421108,-0.201799,-0.0111227
4.3,0.250263,-0.468111,-0.193243,-0.0111227
4.4,0.201322,-0.509826,-0.189632,-0.0111227
4.5,0.148471,-0.546348,-0.191295,-0.0111227
4.6,0.09222,-0.57785,-0.198451,-0.0111227
4.7,0.0330603,-0.604571,-0.211191,-0.0111227
4.8,-0.0285446,-0.626803,-0.229473,-0.0111227
4.9,-0.0921615,-0.644869,-0.253116,-0.0111227
5,-0.157391,-0.659109,-0.281805,-0.0111227
5.1,-0.223867,-0.669864,-0.315104,-0.0111227
5.2,-0.291258,-0.677461,-0.352463,-0.0111227
5.3,-0.359264,-0.682199,-0.393247,-0.0111227
5.4,-0.427612,-0.684337,-0.436749,-0.0111227
5.5,-0.496052,-0.684089,-0.482224,-0.0111227
5.6,-0.564355,-0.681616,-0.528908,-0.0111227
5.7,-0.632305,-0.677026,-0.576045,-0.0111227
5.8,-0.699692,-0.670374,-0.622908,-0.0111227
5.9,-0.766311,-0.661664,-0.668822,-0.0111227
6,-0.831955,-0.650856,-0.713174,-0.0111227
6.1,-0.89641,-0.637877,-0.755435,-0.0917802
6.2,-0.959454,-0.622624,-0.79516,0.00779801
6.3,-1.02085,-0.604977,-0.831998,0.089623
6.4,-1.08037,-0.58481,-0.865689,0.158633
6.5,-1.13773,-0.562003,-0.896066,0.217863
6.6,-1.19267,-0.536445,-0.923045,0.269291
6.7,-1.24492,-0.508053,-0.946619,0.314257
6.8,-1.29419,-0.476772,-0.966849,0.353699
6.9,-1.34018,-0.442586,-0.983853,0.388289
7,-1.38261,-0.405523,-0.997793,0.418514
7.1,-1.42119,-0.365656,-1.00886,0.444731
7.2,-1.45565,-0.323107,-1.01729,0.467202
7.3,-1.48573,-0.278049,-1.0233,0.486118
7.4,-1.51119,-0.230702,-1.02713,0.501616
7.5,-1.5318,-0.181334,-1.02902,0.513792
7.6,-1.54739,-0.130255,-1.02919,0.522712
7.7,-1.55781,-0.0778159,-1.02787,0.528416
7.8,-1.56293,-0.0244003,-1.02524,0.530921
7.9,-1.56267,0.0295788,-1.0215,0.530234
8,-1.55701,0.0836854,-1.0168,0.526342
8.1,-1.54594,0.137467,-1.01129,0.51922
8.2,-1.52954,0.19046,-1.0051,0.508845
8.3,-1.50789,0.242199,-0.998338,0.495161
8.4,-1.48116,0.292217,-0.991099,0.478117
8.5,-1.44952,0.34006,-0.983467,0.457644
8.6,-1.41323,0.385284,-0.97551,0.433669
8.7,-1.37257,0.427467,-0.96729,0.406091
8.8,-1.32785,0.466211,-0.958858,0.374798
8.9,-1.27945,0.501149,-0.950258,0.339654
9,-1.22776,0.531945,-0.94153,0.300496
9.1,-1.17321,0.558303,-0.93271,0.257123
9.2,-1.11626,0.579967,-0.923832,0.20929
9.3,-1.05738,0.596725,-0.914927,0.15669
9.4,-0.997081,0.60841,-0.90603,0.0989387
9.5,-0.935872,0.614903,-0.897174,0.0355524
9.6,-0.874276,0.616134,-0.888395,-0.0340893
9.7,-0.812821,0.61208,-0.879735,-0.110778
9.8,-0.752035,0.602768,-0.871237,-0.110778
9.9,-0.692441,0.588272,-0.862953,-0.110778
