time,x,y,z,L
0,1,1,-1,0
0.1,1.17946,0.990569,-0.791486,-inf
0.2,1.37512,0.95834,-0.566212,-inf
0.3,1.58163,0.897166,-0.325396,-inf
0.4,1.79181,0.801208,-0.0714897,-inf
0.5,1.99677,0.666171,0.191729,-inf
0.6,2.1864,0.490951,0.459243,-inf
0.7,2.35038,0.279273,0.725122,-inf
0.8,2.47952,0.040544,0.983102,-inf
0.9,2.56728,-0.210912,1.22732,-inf
1,2.61084,-0.458407,1.45303,-inf
1.1,2.61139,-0.686413,1.65703,-inf
1.2,2.5736,-0.883554,1.83778,-inf
1.3,2.50437,-1.04397,1.99522,-inf
1.4,2.41153,-1.16693,2.13033,-inf
1.5,2.30272,-1.25534,2.24476,-inf
1.6,2.18465,-1.31411,2.34048,-inf
1.7,2.06281,-1.34874,2.41955,-inf
1.8,1.94144,-1.36452,2.48394,-inf
1.9,1.82361,-1.36605,2.53553,-inf
2,1.71145,-1.35715,2.57599,-inf
2.1,1.60629,-1.34086,2.60687,-inf
2.2,1.50893,-1.31952,2.62951,-inf
2.3,1.41971,-1.29494,2.64513,-inf
2.4,1.33866,-1.26848,2.6548,-inf
2.5,1.2656,-1.24115,2.65946,-inf
2.6,1.2002,-1.21372,2.65995,-inf
2.7,1.14203,-1.18673,2.65698,-inf
2.8,1.0906,-1.16057,2.6512,-inf
2.9,1.04538,-1.13554,2.64316,-inf
3,1.00586,-1.11181,2.63332,-inf
3.1,0.971495,-1.08951,2.62209,-inf
3.2,0.94177,-1.06872,2.60982,-inf
3.3,0.916189,-1.04944,2.59679,-inf
3.4,0.894276,-1.03168,2.58324,-inf
3.5,0.875584,-1.01541,2.56937,-inf
3.6,0.859694,-1.00057,2.55532,-inf
3.7,0.846217,-0.987096,2.54123,-inf
3.8,0.834793,-0.974913,2.52717,-inf
3.9,0.825093,-0.963933,2.51322,-inf
4,0.816817,-0.954066,2.49941,-inf
4.1,0.809694,-0.945216,2.48577,-inf
4.2,0.803478,-0.937286,2.47231,-inf
4.3,0.797952,-0.930179,2.45901,-inf
4.4,0.792923,-0.923798,2.44585,-inf
4.5,0.788219,-0.918052,2.43282,-inf
4.6,0.783693,-0.912849,2.41988,-inf
4.7,0.779216,-0.908104,2.40698,-inf
4.8,0.774679,-0.903736,2.39408,-inf
4.9,0.769988,-0.899668,2.38115,-inf
5,0.765065,-0.89583,2.36813,-inf
5.1,0.759847,-0.892158,2.35498,-inf
5.2,0.754281,-0.888592,2.34165,-inf
5.3,0.748326,-0.885078,2.32811,-inf
5.4,0.74195,-0.881569,2.31429,-inf
5.5,0.73513,-0.878022,2.30017,-inf
5.6,0.727848,-0.874399,2.2857,-inf
5.7,0.720092,-0.870666,2.27085,-inf
5.8,0.711855,-0.866796,2.25557,-inf
5.9,0.703136,-0.862763,2.23985,-inf
6,0.693933,-0.858545,2.22364,-inf
6.1,0.68425,-0.854124,2.20692,-inf
6.2,0.674091,-0.849484,2.18965,-inf
6.3,0.663462,-0.844613,2.17183,-inf
6.4,0.652368,-0.839499,2.15342,-inf
6.5,0.640818,-0.834132,2.1344,-inf
6.6,0.628818,-0.828505,2.11475,-inf
6.7,0.616377,-0.82261,2.09445,-inf
6.8,0.603502,-0.816441,2.0735,-inf
6.9,0.590201,-0.809993,2.05186,-inf
7,0.57648,-0.803262,2.02953,-inf
7.1,0.562348,-0.796242,2.0065,-inf
7.2,0.547812,-0.78893,1.98275,-inf
7.3,0.532879,-0.781321,1.95827,-inf
7.4,0.517556,-0.773412,1.93306,-inf
7.5,0.501851,-0.765198,1.9071,-inf
7.6,0.485771,-0.756675,1.88039,-inf
7.7,0.469326,-0.747839,1.85292,-inf
7.8,0.452525,-0.738686,1.82468,-inf
7.9,0.435376,-0.729211,1.79568,-inf
8,0.417891,-0.71941,1.76592,-inf
8.1,0.400082,-0.709278,1.73538,-inf
8.2,0.381962,-0.69881,1.70408,-inf
8.3,0.363545,-0.688001,1.67201,-inf
8.4,0.344849,-0.676848,1.63919,-inf
8.5,0.325891,-0.665345,1.60561,-inf
8.6,0.306693,-0.653488,1.5713,-inf
8.7,0.287276,-0.641273,1.53626,-inf
8.8,0.267666,-0.628696,1.50051,-inf
8.9,0.247892,-0.615754,1.46406,-inf
9,0.227982,-0.602443,1.42694,-inf
9.1,0.207973,-0.588762,1.38918,-inf
9.2,0.1879,-0.574709,1.3508,-inf
9.3,0.167803,-0.560284,1.31183,-inf
9.4,0.147727,-0.545486,1.27231,-inf
9.5,0.127719,-0.530319,1.23229,-inf
9.6,0.107831,-0.514784,1.19181,-inf
9.7,0.0881168,-0.498886,1.15092,-inf
9.8,0.0686362,-0.482632,1.10967,-inf
9.9,0.0494519,-0.46603,1.06814,-inf
10,0.030631,-0.44909,1.02638,-inf
10.1,0.0122442,-0.431824,0.984474,-inf
10.2,-0.00563393,-0.41425,0.942494,-inf
