time,x,y,z,L
0,0,1,0,0
0.1,-0.00487897,0.951068,0.0963572,-inf
0.2,-0.0190209,0.903585,0.185193,-inf
0.3,-0.0416514,0.856614,0.266038,-inf
0.4,-0.071943,0.809343,0.338314,-inf
0.5,-0.109007,0.761082,0.401389,-inf
0.6,-0.151893,0.711265,0.454634,-inf
0.7,-0.199587,0.65945,0.497469,-inf
0.8,-0.251023,0.605316,0.529408,-inf
0.9,-0.305094,0.548667,0.550103,-inf
1,-0.360663,0.489424,0.559374,-inf
1.1,-0.416588,0.427623,0.557244,-inf
1.2,-0.47174,0.36341,0.543952,-inf
1.3,-0.525022,0.297033,0.519966,-inf
1.4,-0.575399,0.22883,0.485981,-inf
1.5,-0.621915,0.159222,0.442913,-inf
1.6,-0.663716,0.0886974,0.391872,-inf
1.7,-0.700066,0.0177974,0.334139,-inf
1.8,-0.730367,-0.0528972,0.271121,-inf
1.9,-0.754164,-0.122783,0.204316,-inf
2,-0.771155,-0.191248,0.135259,-inf
2.1,-0.781192,-0.257691,0.065478,-inf
2.2,-0.784276,-0.321529,-0.00355417,-inf
2.3,-0.780552,-0.382219,-0.0704618,-inf
2.4,-0.770296,-0.439261,-0.134005,-inf
2.5,-0.7539,-0.492215,-0.193107,-inf
2.6,-0.731853,-0.540705,-0.24688,-inf
2.7,-0.704724,-0.584425,-0.294634,-inf
2.8,-0.673143,-0.623143,-0.335886,-inf
2.9,-0.637774,-0.656699,-0.370349,-inf
3,-0.599303,-0.685011,-0.397927,-inf
3.1,-0.558415,-0.708066,-0.418697,-inf
3.2,-0.515783,-0.725917,-0.432884,-inf
3.3,-0.472047,-0.738679,-0.44084,-inf
3.4,-0.427808,-0.746523,-0.443015,-inf
3.5,-0.383619,-0.749668,-0.439935,-inf
3.6,-0.339977,-0.748373,-0.432171,-inf
3.7,-0.297321,-0.742928,-0.42032,-inf
3.8,-0.256029,-0.733653,-0.404984,-inf
3.9,-0.216421,-0.720883,-0.386748,-inf
4,-0.178757,-0.704966,-0.366172,-inf
4.1,-0.143247,-0.686256,-0.343775,-inf
4.2,-0.110047,-0.665108,-0.320032,-inf
4.3,-0.0792713,-0.641871,-0.295365,-inf
4.4,-0.0509927,-0.616887,-0.270141,-inf
4.5,-0.025251,-0.590489,-0.244678,-inf
4.6,-0.00205635,-0.562992,-0.219238,-inf
4.7,0.0186047,-0.534699,-0.194039,-inf
4.8,0.0367653,-0.505893,-0.169254,-inf
4.9,0.0524738,-0.476842,-0.145018,-inf
5,0.0657906,-0.447794,-0.121434,-inf
5.1,0.0767848,-0.418978,-0.0985775,-inf
5.2,0.0855322,-0.390606,-0.0765038,-inf
5.3,0.0921129,-0.362873,-0.0552513,-inf
5.4,0.0966107,-0.335953,-0.0348478,-inf
5.5,0.0991115,-0.310006,-0.0153141,-inf
5.6,0.0997031,-0.285175,0.00333179,-inf
5.7,0.0984753,-0.261587,0.0210717,-inf
5.8,0.0955197,-0.239356,0.0378849,-inf
5.9,0.0909301,-0.218578,0.0537462,-inf
6,0.0848032,-0.199338,0.0686247,-inf
6.1,0.0772391,-0.181705,0.0824835,-inf
6.2,0.0683419,-0.165736,0.0952796,-inf
6.3,0.0582202,-0.151475,0.106964,-inf
6.4,0.0469879,-0.138953,0.117484,-inf
6.5,0.0347641,-0.128186,0.126783,-inf
6.6,0.0216738,-0.119181,0.134804,-inf
6.7,0.00784781,-0.111929,0.141489,-inf
6.8,-0.00657771,-0.106409,0.146785,-inf
6.9,-0.0214613,-0.10259,0.150643,-inf
7,-0.036657,-0.100425,0.153022,-inf
7.1,-0.0520153,-0.0998578,0.153889,-inf
7.2,-0.0673839,-0.100818,0.153226,-inf
7.3,-0.0826093,-0.103224,0.151026,-inf
7.4,-0.0975382,-0.106985,0.147299,-inf
7.5,-0.112019,-0.111997,0.142068,-inf
7.6,-0.125903,-0.11815,0.135376,-inf
7.7,-0.139047,-0.125321,0.127283,-inf
7.8,-0.151315,-0.133383,0.117864,-inf
7.9,-0.162579,-0.1422,0.107212,-inf
8,-0.17272,-0.151631,0.0954343,-inf
8.1,-0.181632,-0.161532,0.082653,-inf
8.2,-0.189222,-0.171755,0.0690011,-inf
8.3,-0.195408,-0.182151,0.0546217,-inf
8.4,-0.200127,-0.192572,0.0396652,-inf
8.5,-0.203327,-0.202871,0.0242867,-inf
8.6,-0.204975,-0.212903,0.00864366,-inf
8.7,-0.205053,-0.22253,-0.00710674,-inf
8.8,-0.203556,-0.231617,-0.0228101,-inf
8.9,-0.200497,-0.240038,-0.0383172,-inf
9,-0.195904,-0.247675,-0.0534855,-inf
9.1,-0.189816,-0.254417,-0.0681816,-inf
9.2,-0.182287,-0.260165,-0.0822819,-inf
9.3,-0.173383,-0.26483,-0.0956741,-inf
9.4,-0.163179,-0.268334,-0.108258,-inf
9.5,-0.151761,-0.270612,-0.119944,-inf
9.6,-0.139223,-0.271609,-0.130657,-inf
9.7,-0.125664,-0.271284,-0.140332,-inf
9.8,-0.111193,-0.269606,-0.148913,-inf
9.9,-0.0959197,-0.266558,-0.156359,-inf
10,-0.0799603,-0.262134,-0.162632,-inf
10.1,-0.0634332,-0.256341,-0.167707,-inf
10.2,-0.0464594,-0.249194,-0.171563,-inf
10.3,-0.0291618,-0.240724,-0.174183,-inf
10.4,-0.0116644,-0.230969,-0.175556,-inf
10.5,0.00590762,-0.219978,-0.175675,-inf
10.6,0.0234286,-0.207811,-0.174533,-inf
10.7,0.040772,-0.194536,-0.172125,-inf
10.8,0.0578112,-0.18023,-0.168448,-inf
10.9,0.0744191,-0.164981,-0.163498,-inf
11,0.0904684,-0.148881,-0.157276,-inf
11.1,0.105832,-0.132034,-0.149779,-inf
11.2,0.120382,-0.114549,-0.141011,-inf
11.3,0.133992,-0.096543,-0.130978,-inf
11.4,0.146536,-0.0781388,-0.119688,-inf
11.5,0.157888,-0.0594662,-0.107159,-inf
11.6,0.167927,-0.0406606,-0.0934135,-inf
11.7,0.176531,-0.0218625,-0.0784869,-inf
11.8,0.183586,-0.00321717,-0.0624244,-inf
11.9,0.18898,0.0151261,-0.0452857,-inf
12,0.19261,0.033015,-0.0271466,-inf
12.1,0.194379,0.0502948,-0.00810019,-inf
12.2,0.194203,0.0668093,0.0117407,-inf
12.3,0.192009,0.0824026,0.0322427,-inf
12.4,0.187738,0.0969196,0.0532509,-inf
12.5,0.181348,0.110208,0.0745884,-inf
12.6,0.172816,0.12212,0.0960569,-inf
12.7,0.16214,0.132513,0.117437,-inf
12.8,0.149339,0.141253,0.138491,-inf
12.9,0.134461,0.148216,0.158964,-inf
13,0.117575,0.153288,0.178588,-inf
13.1,0.0987808,0.156372,0.197086,-inf
13.2,0.0782047,0.157383,0.214177,-inf
13.3,0.0560016,0.156256,0.229582,-inf
13.4,0.0323536,0.152945,0.243028,-inf
13.5,0.00746983,0.147427,0.254258,-inf
13.6,-0.0184161,0.1397,0.263033,-inf
13.7,-0.0450478,0.129786,0.269143,-inf
13.8,-0.0721498,0.117732,0.272411,-inf
13.9,-0.0994307,0.103611,0.272701,-inf
14,-0.126588,0.0875216,0.269921,-inf
14.1,-0.153311,0.0695867,0.264025,-inf
14.2,-0.179289,0.0499539,0.255024,-inf
14.3,-0.204214,0.028794,0.242977,-inf
14.4,-0.227787,0.00629905,0.228,-inf
14.5,-0.249722,-0.0173199,0.21026,-inf
14.6,-0.269754,-0.041835,0.18997,-inf
14.7,-0.28764,-0.0670047,0.16739,-inf
14.8,-0.303165,-0.092577,0.142819,-inf
14.9,-0.316148,-0.118293,0.116583,-inf
15,-0.326438,-0.14389,0.0890369,-inf
15.1,-0.333924,-0.169104,0.0605468,-inf
15.2,-0.338529,-0.193678,0.0314869,-inf
15.3,-0.340215,-0.21736,0.00222941,-inf
15.4,-0.33898,-0.239907,-0.0268639,-inf
15.5,-0.334859,-0.261092,-0.0554488,-inf
15.6,-0.327918,-0.280702,-0.0832049,-inf
15.7,-0.318255,-0.298544,-0.109842,-inf
15.8,-0.305996,-0.314444,-0.135102,-inf
15.9,-0.291288,-0.328252,-0.158764,-inf
16,-0.274302,-0.339838,-0.180645,-inf
16.1,-0.255223,-0.349097,-0.2006,-inf
16.2,-0.23425,-0.35595,-0.218519,-inf
16.3,-0.21159,-0.360337,-0.234328,-inf
16.4,-0.187456,-0.362226,-0.247981,-inf
16.5,-0.162066,-0.361606,-0.259463,-inf
16.6,-0.135636,-0.358486,-0.268778,-inf
16.7,-0.108382,-0.352898,-0.275949,-inf
16.8,-0.0805165,-0.344893,-0.281013,-inf
16.9,-0.0522481,-0.334538,-0.284015,-inf
17,-0.0237807,-0.32192,-0.285001,-inf
17.1,0.00468652,-0.307138,-0.28402,-inf
17.2,0.0329592,-0.290309,-0.281116,-inf
17.3,0.0608468,-0.27156,-0.276326,-inf
17.4,0.0881625,-0.251032,-0.26968,-inf
17.5,0.114722,-0.228877,-0.261197,-inf
17.6,0.140341,-0.205256,-0.250887,-inf
17.7,0.164838,-0.180342,-0.238751,-inf
17.8,0.18803,-0.154316,-0.224782,-inf
17.9,0.209733,-0.127369,-0.208965,-inf
18,0.229761,-0.0997006,-0.191287,-inf
18.1,0.247928,-0.0715177,-0.171733,-inf
18.2,0.264045,-0.0430366,-0.150294,-inf
18.3,0.277924,-0.0144809,-0.126973,-inf
18.4,0.289377,0.0139181,-0.101787,-inf
18.5,0.298221,0.0419223,-0.0747762,-inf
18.6,0.304274,0.0692876,-0.0460063,-inf
18.7,0.307366,0.0957644,-0.0155765,-inf
18.8,0.307338,0.121099,0.0163766,-inf
18.9,0.304046,0.145037,0.0496742,-inf
19,0.297366,0.16732,0.0840919,-inf
19.1,0.2872,0.187694,0.119357,-inf
19.2,0.273477,0.205908,0.155146,-inf
19.3,0.256165,0.221719,0.191088,-inf
19.4,0.235269,0.234893,0.226765,-inf
19.5,0.210837,0.245213,0.261715,-inf
19.6,0.182966,0.252476,0.295443,-inf
19.7,0.151806,0.256503,0.327424,-inf
19.8,0.117558,0.25714,0.357117,-inf
19.9,0.0804771,0.254264,0.383977,-inf
20,0.0408745,0.247785,0.40747,-inf
20.1,-0.000887617,0.23765,0.427086,-inf
20.2,-0.0443978,0.223845,0.442358,-inf
20.3,-0.0892006,0.206403,0.452874,-inf
20.4,-0.134803,0.185398,0.4583,-inf
20.5,-0.180683,0.160951,0.458386,-inf
20.6,-0.226297,0.13323,0.452982,-inf
20.7,-0.271095,0.102447,0.442049,-inf
20.8,-0.314525,0.0688583,0.425662,-inf
20.9,-0.356051,0.0327612,0.404014,-inf
21,-0.395162,-0.00551125,0.377413,-inf
21.1,-0.431383,-0.0455936,0.34628,-inf
21.2,-0.464284,-0.0870941,0.311132,-inf
