time,x,y,z,L
0,-1,-3,3,0
0.1,-0.754376,-2.60179,2.94778,-inf
0.2,-0.529246,-2.21316,2.81391,-inf
0.3,-0.323925,-1.84073,2.62819,-inf
0.4,-0.137459,-1.48845,2.41456,-inf
0.5,0.0312547,-1.15813,2.19153,-inf
0.6,0.183371,-0.849988,1.9729,-inf
0.7,0.320022,-0.56307,1.76848,0.0354926
0.8,0.442267,-0.295594,1.58492,0.227003
0.9,0.551061,-0.0452496,1.42638,0.326048
1,0.647225,0.190594,1.29516,0.393317
1.1,0.731442,0.414723,1.19214,0.443547
1.2,0.804248,0.62996,1.11724,0.482964
1.3,0.866032,0.839082,1.06966,0.514836
1.4,0.917043,1.04476,1.04815,0.541104
1.5,0.957393,1.24953,1.05106,0.563013
1.6,0.987067,1.45573,1.07652,0.581394
1.7,1.00593,1.66551,1.12239,0.596824
1.8,1.01376,1.8808,1.18628,0.609709
1.9,1.01021,2.10328,1.26552,0.620332
2,0.994869,2.33432,1.35704,0.628889
2.1,0.96727,2.57498,1.45731,0.635507
2.2,0.926892,2.82594,1.56224,0.640261
2.3,0.87319,3.08742,1.667,0.643177
2.4,0.805622,3.35915,1.766,0.644247
2.5,0.723677,3.64021,1.85272,0.643426
2.6,0.626905,3.92903,1.91967,0.640636
2.7,0.514964,4.22321,1.95844,0.635767
2.8,0.387655,4.51947,1.95971,0.628676
2.9,0.244976,4.81357,1.91348,0.619186
3,0.0871718,5.10024,1.80938,0.607083
3.1,-0.0852114,5.37317,1.63719,0.592111
3.2,-0.271274,5.62509,1.38743,0.573965
3.3,-0.469715,5.84781,1.05226,0.552286
3.4,-0.678788,6.03251,0.626391,0.526643
3.5,-0.896278,6.17001,0.108178,0.496531
3.6,-1.11949,6.25116,-0.499378,0.461338
3.7,-1.34527,6.26743,-1.18772,0.420319
3.8,-1.57005,6.21141,-1.94216,0.420319
3.9,-1.78991,6.07749,-2.74173,0.420319
4,-2.0007,5.86245,-3.55965,0.420319
4.1,-2.19819,5.56599,-4.36452,0.420319
4.2,-2.3782,5.19112,-5.12212,0.420319
4.3,-2.53682,4.7443,-5.79788,0.420319
4.4,-2.67053,4.23535,-6.35958,0.420319
4.5,-2.77644,3.67709,-6.78021,0.420319
4.6,-2.85236,3.08467,-7.0404,0.420319
4.7,-2.89694,2.4747,-7.13022,0.420319
4.8,-2.90972,1.8643,-7.05001,0.420319
4.9,-2.89111,1.27003,-6.8102,0.420319
5,-2.84234,0.706947,-6.43005,0.420319
5.1,-2.76539,0.187832,-5.93565,0.420319
5.2,-2.66281,-0.277385,-5.35736,0.420319
5.3,-2.5376,-0.681909,-4.72709,0.420319
5.4,-2.39301,-1.02211,-4.07579,0.420319
5.5,-2.23243,-1.2973,-3.43138,0.420319
5.6,-2.05919,-1.5094,-2.81723,0.420319
5.7,-1.87648,-1.66236,-2.25138,0.420319
5.8,-1.68723,-1.7617,-1.74632,0.420319
5.9,-1.49408,-1.8139,-1.30921,0.420319
