time,x,y,z,L
0,-1,0,-1,0
0.1,-0.905588,0.00449432,-0.995182,-1.04095
0.2,-0.824103,0.0159482,-0.98155,0.795162
0.3,-0.756906,0.031418,-0.96048,-1.61896
0.4,-0.703891,0.0482525,-0.933406,-0.117141
0.5,-0.663802,0.064227,-0.90169,0.737002
0.6,-0.63456,0.0776073,-0.866528,-0.504943
0.7,-0.613581,0.087159,-0.828878,0.435941
0.8,-0.598054,0.0921174,-0.789426,-0.949426
0.9,-0.585174,0.0921335,-0.748577,-1.63722
1,-0.572326,0.0872073,-0.706462,0.803112
1.1,-0.557214,0.0776192,-0.662966,0.840526
1.2,-0.537946,0.0638642,-0.617765,0.799771
1.3,-0.513089,0.046596,-0.570369,0.478909
1.4,-0.481685,0.0265811,-0.520165,0.727204
1.5,-0.443251,0.00466678,-0.466471,0.699971
1.6,-0.397772,-0.018238,-0.408579,-0.181925
1.7,-0.345675,-0.0411696,-0.345804,0.0476269
1.8,-0.287825,-0.0631055,-0.277522,-1.02676
1.9,-0.225502,-0.0829539,-0.203219,-3.56214
2,-0.160407,-0.0995394,-0.12253,-1.67655
2.1,-0.0946581,-0.111593,-0.0352785,-1.56345
2.2,-0.0308008,-0.117753,0.0584761,-0.547538
2.3,0.0281952,-0.116581,0.1584,0.366823
2.4,0.0789486,-0.106608,0.263841,0.263827
2.5,0.117709,-0.0864145,0.37379,-1.25042
2.6,0.140442,-0.0547484,0.486848,-1.1082
2.7,0.142974,-0.0106887,0.601205,-1.32386
2.8,0.121211,0.0461562,0.714633,-0.814311
2.9,0.0714341,0.115424,0.824512,-0.444855
3,-0.00932056,0.195777,0.927886,-1.12553
3.1,-0.122823,0.284712,1.02155,0.394744
3.2,-0.269179,0.378455,1.10222,-0.0261817
3.3,-0.446383,0.471989,1.16669,0.0158522
3.4,-0.649967,0.559249,1.21206,-0.92618
3.5,-0.872829,0.633525,1.23605,-0.848237
3.6,-1.10531,0.688053,1.23718,-0.0403368
