time,x,y,z,L
0,0,-1,0,0
0.1,-0.0993508,-0.980065,-0.000641208,-1.61437
0.2,-0.194955,-0.921021,-0.00479403,-0.1954
0.3,-0.283474,-0.825048,-0.0146595,0.393273
0.4,-0.361977,-0.695579,-0.0303968,0.290151
0.5,-0.427827,-0.537154,-0.0497873,-0.940133
0.6,-0.478557,-0.355333,-0.0683042,-1.78594
0.7,-0.511752,-0.156647,-0.0795898,-0.0443897
0.8,-0.525005,0.0514094,-0.0763059,-1.11452
0.9,-0.515973,0.260385,-0.0512941,0.10215
1,-0.482552,0.460934,0.00106301,-1.54847
1.1,-0.423185,0.642963,0.0834419,-0.484846
1.2,-0.337282,0.795937,0.194371,-3.43079
1.3,-0.225697,0.909356,0.327504,0.0673195
1.4,-0.0911849,0.973428,0.471671,-0.45244
1.5,0.0612721,0.979901,0.611948,-2.35464
1.6,0.224386,0.92298,0.731801,-1.66169
1.7,0.388838,0.800208,0.816075,0.0499823
1.8,0.543951,0.613154,0.8543,0.138656
1.9,0.678735,0.367762,0.843508,0.172151
2,0.783154,0.0742247,0.789743,-1.02265
2.1,0.849429,-0.253661,0.707631,-1.03284
2.2,0.873089,-0.599619,0.617934,0.306588
2.3,0.85358,-0.946358,0.54357,0.322434
2.4,0.794269,-1.27716,0.505089,-1.01317
2.5,0.701871,-1.57735,0.516758,0.252963
2.6,0.585427,-1.83545,0.584209,-0.478196
2.7,0.455041,-2.04384,0.70407,-0.718604
2.8,0.320643,-2.19895,0.865429,0.584899
2.9,0.190969,-2.30099,1.05252,0.792727
3,0.0728811,-2.35328,1.2478,0.705072
3.1,-0.0289355,-2.36147,1.43479,-1.50168
3.2,-0.111951,-2.33265,1.60001,-1.25284
3.3,-0.175528,-2.27451,1.7341,0.44464
3.4,-0.220523,-2.19471,1.83195,-0.155139
3.5,-0.248849,-2.10032,1.89224,-0.502612
3.6,-0.263057,-1.99751,1.91666,0.607877
3.7,-0.265983,-1.89138,1.9089,-0.848133
3.8,-0.260486,-1.78585,1.87379,0.189418
3.9,-0.249248,-1.68375,1.81657,-0.635678
4,-0.234663,-1.58689,1.74237,-0.514468
4.1,-0.218769,-1.49619,1.65581,-0.318476
4.2,-0.203228,-1.41183,1.5609,-0.141308
4.3,-0.189323,-1.33339,1.46089,0.149475
4.4,-0.177981,-1.26003,1.35838,0.0249563
4.5,-0.169802,-1.19058,1.2553,-0.23595
4.6,-0.165094,-1.12372,1.1531,-3.20721
4.7,-0.163904,-1.05804,1.05277,-2.0948
4.8,-0.166055,-0.992153,0.955017,-3.54866
4.9,-0.171179,-0.924798,0.86035,-0.317258
5,-0.178743,-0.854884,0.769163,0.0650757
5.1,-0.188081,-0.781566,0.681838,-0.00406934
5.2,-0.198413,-0.704287,0.598811,-0.509289
5.3,-0.208874,-0.622818,0.520624,0.296597
5.4,-0.218533,-0.537294,0.447952,-0.0437283
5.5,-0.226414,-0.448229,0.381601,0.355513
5.6,-0.231529,-0.356532,0.322481,-0.904239
5.7,-0.232907,-0.263504,0.271532,0.289604
5.8,-0.229633,-0.170827,0.22963,-0.104229
5.9,-0.2209,-0.0805266,0.19746,-0.724886
6,-0.206066,0.00507855,0.175379,-0.033459
6.1,-0.184716,0.0834561,0.163279,0.00129094
6.2,-0.156737,0.151966,0.160476,-0.401589
6.3,-0.122378,0.207993,0.165648,-0.0484156
6.4,-0.0823048,0.249104,0.176851,-1.38739
6.5,-0.0376345,0.273222,0.191615,-0.697312
6.6,0.0100694,0.278806,0.207139,-1.0825
6.7,0.0588376,0.265023,0.220563,-0.176492
6.8,0.106383,0.231898,0.229288,-0.92048
6.9,0.150236,0.180409,0.231291,0.211987
7,0.187911,0.112533,0.225382,-2.23661
7.1,0.217099,0.031213,0.21135,-0.463805
7.2,0.235855,-0.0597527,0.189953,-0.697957
7.3,0.242772,-0.15589,0.162753,-0.80461
7.4,0.237095,-0.252288,0.131825,-1.10446
7.5,0.218789,-0.343878,0.0993833,0.258751
7.6,0.188537,-0.425723,0.0674143,-0.629517
7.7,0.14767,-0.49329,0.0373861,-3.51492
7.8,0.0980549,-0.542691,0.0100954,-0.29928
7.9,0.0419555,-0.570869,-0.0143196,-0.794486
8,-0.0181197,-0.575725,-0.0362072,-1.00686
8.1,-0.0795508,-0.556192,-0.0561111,0.317136
8.2,-0.139713,-0.512254,-0.0744242,0.247097
8.3,-0.196051,-0.444932,-0.0910579,0.162728
8.4,-0.246116,-0.35625,-0.105198,0.192858
8.5,-0.287589,-0.249185,-0.115201,0.0430418
8.6,-0.318292,-0.127615,-0.118672,-1.35792
8.7,-0.336206,0.00374201,-0.11273,-0.656275
8.8,-0.339533,0.139403,-0.0944465,0.222776
8.9,-0.326783,0.273223,-0.0614254,0.209771
9,-0.296922,0.398545,-0.0124307,0.180226
9.1,-0.249557,0.508423,0.0520262,-0.050106
9.2,-0.18515,0.595914,0.129273,-2.01351
9.3,-0.105222,0.654468,0.214365,-0.53106
9.4,-0.0125073,0.678381,0.300384,0.216665
9.5,0.0889893,0.663297,0.379193,-3.31191
9.6,0.194089,0.606705,0.442591,-1.86516
9.7,0.296708,0.508355,0.483711,0.153333
9.8,0.390298,0.370543,0.49838,-0.359566
9.9,0.468436,0.19818,0.48612,-1.15992
10,0.525466,-0.00138556,0.450488,-2.44263
10.1,0.557116,-0.218801,0.398615,0.0835763
10.2,0.560963,-0.443362,0.339951,0.121024
10.3,0.536679,-0.663811,0.284496,-3.21548
10.4,0.486003,-0.869178,0.240899,0.14435
10.5,0.412448,-1.04956,0.21487,-0.134577
10.6,0.320827,-1.19672,0.208266,-1.33908
10.7,0.216652,-1.30454,0.218995,-0.852923
10.8,0.105562,-1.36913,0.241716,-0.351811
10.9,-0.00717381,-1.38878,0.269103,0.0438576
11,-0.116988,-1.36378,0.293358,-0.438018
11.1,-0.220167,-1.29608,0.307689,-0.207266
11.2,-0.313837,-1.18892,0.307488,-1.0215
11.3,-0.395822,-1.04657,0.291094,-0.695229
11.4,-0.464416,-0.874047,0.260076,-0.350283
11.5,-0.518134,-0.677017,0.219077,0.326691
11.6,-0.55549,-0.461721,0.175257,-0.785273
11.7,-0.574847,-0.235024,0.13742,0.0364911
11.8,-0.574372,-0.00448654,0.114874,-2.45086
11.9,-0.552123,0.22157,0.116102,0.223872
12,-0.506284,0.434065,0.147355,-0.0945635
12.1,-0.43552,0.62327,0.211295,-2.95716
12.2,-0.339454,0.779101,0.305926,8.09894e-05
12.3,-0.219171,0.891596,0.424073,-1.26372
12.4,-0.0776858,0.9516,0.553688,-0.382659
12.5,0.079748,0.951608,0.679183,0.337185
12.6,0.245606,0.88667,0.783798,0.288357
12.7,0.410425,0.755256,0.852719,-0.0179839
12.8,0.563546,0.559889,0.876369,-2.33191
12.9,0.694193,0.307421,0.853043,-1.33572
13,0.792767,0.00882201,0.790101,0.104269
13.1,0.85211,-0.321547,0.703176,-0.360108
13.2,0.86849,-0.66712,0.613419,-0.948494
13.3,0.8421,-1.01062,0.543361,0.287462
13.4,0.77697,-1.33562,0.512446,-0.623397
13.5,0.680295,-1.62798,0.533359,0.283123
13.6,0.561367,-1.87689,0.610019,-0.0546203
13.7,0.430308,-2.07546,0.737554,-0.325733
13.8,0.296866,-2.22082,0.904019,-1.26783
13.9,0.169456,-2.31376,1.09318,0.512477
14,0.0545477,-2.35806,1.2876,-1.48735
14.1,-0.0435734,-2.35965,1.47126,-1.75898
14.2,-0.122734,-2.32574,1.63142,0.669918
14.3,-0.182585,-2.26404,1.7595,-0.439847
14.4,-0.22419,-2.18211,1.85109,-1.24056
14.5,-0.24959,-2.08685,1.90546,0.622716
14.6,-0.261399,-1.98425,1.92468,0.069919
14.7,-0.262466,-1.87917,1.91265,-0.0328067
14.8,-0.255623,-1.77533,1.87429,-0.340693
14.9,-0.243508,-1.67537,1.81482,-0.298502
15,-0.228455,-1.58092,1.73923,0.000247248
15.1,-0.212441,-1.49273,1.65204,-0.076352
15.2,-0.197063,-1.41088,1.55709,-0.571973
15.3,-0.183547,-1.33483,1.45749,-0.953652
15.4,-0.172768,-1.26367,1.35568,-0.00405648
15.5,-0.165279,-1.19618,1.25351,0.0594014
15.6,-0.161346,-1.13097,1.15228,-0.546407
15.7,-0.160983,-1.06662,1.05293,-2.08427
15.8,-0.163984,-1.00174,0.956082,-2.43148
15.9,-0.169955,-0.935041,0.862189,-1.18415
16,-0.178347,-0.865451,0.771611,-0.379509
16.1,-0.188476,-0.792131,0.684705,0.3424
16.2,-0.199553,-0.714543,0.601898,-1.49518
