time,x,y,z,L
0,-1,0,0,0
0.1,-0.999841,0.0046796,0.0905437,0.800213
0.2,-0.998791,0.0175562,0.164488,0.804581
0.3,-0.996107,0.0371233,0.224799,0.811128
0.4,-0.991185,0.0621425,0.273893,0.819344
0.5,-0.983531,0.0915945,0.313753,0.828801
0.6,-0.972747,0.12464,0.346015,0.83915
0.7,-0.958507,0.160589,0.372028,0.85011
0.8,-0.940551,0.198875,0.392912,0.861459
0.9,-0.918669,0.239032,0.409592,0.873025
1,-0.892695,0.280679,0.422829,0.884676
1.1,-0.862494,0.323504,0.433253,0.896312
1.2,-0.827963,0.367253,0.44138,0.90786
1.3,-0.78902,0.411718,0.44763,0.919265
1.4,-0.745602,0.456728,0.452346,0.93049
1.5,-0.697661,0.502145,0.455805,0.941507
1.6,-0.645163,0.547854,0.458229,0.9523
1.7,-0.588083,0.593762,0.459794,0.962857
1.8,-0.526407,0.639789,0.46064,0.973172
1.9,-0.460124,0.68587,0.460874,0.983243
2,-0.389233,0.731946,0.460578,0.993069
2.1,-0.313736,0.77797,0.459813,1.00265
2.2,-0.233642,0.823895,0.45862,1.012
2.3,-0.148962,0.86968,0.457026,1.0211
2.4,-0.0597121,0.915287,0.455045,1.02998
2.5,0.0340881,0.960677,0.452679,1.03862
2.6,0.132415,1.00581,0.449921,1.04704
2.7,0.23524,1.05065,0.446752,1.05524
2.8,0.342533,1.09515,0.443147,1.06322
2.9,0.454257,1.13926,0.43907,1.07097
3,0.570371,1.18294,0.434478,1.07851
3.1,0.690829,1.22614,0.429318,1.08584
3.2,0.81558,1.26879,0.423528,1.09294
3.3,0.944565,1.31082,0.417034,1.09983
3.4,1.07772,1.35217,0.409752,1.10649
3.5,1.21497,1.39274,0.401586,1.11293
3.6,1.35624,1.43245,0.392423,1.11914
3.7,1.50143,1.47119,0.382136,1.1251
3.8,1.65044,1.50883,0.37058,1.13082
3.9,1.80316,1.54526,0.357591,1.13627
4,1.95945,1.5803,0.342979,1.14146
4.1,2.11916,1.61379,0.326531,1.14635
4.2,2.28215,1.64554,0.308005,1.15094
4.3,2.44821,1.67531,0.287128,1.1552
4.4,2.61713,1.70287,0.26359,1.1591
4.5,2.7887,1.72793,0.237043,1.16262
4.6,2.96263,1.75017,0.207097,1.16571
4.7,3.13862,1.76922,0.173315,1.16835
4.8,3.31635,1.78469,0.135212,1.17048
4.9,3.49543,1.7961,0.0922527,1.17204
5,3.67542,1.80296,0.0438491,1.17297
5.1,3.85585,1.80467,-0.0106373,1.17321
5.2,4.03616,1.8006,-0.0718916,1.17265
5.3,4.21575,1.79004,-0.140638,1.17121
5.4,4.39393,1.7722,-0.217627,1.16876
5.5,4.56992,1.74622,-0.303614,1.16517
5.6,4.74287,1.71115,-0.399333,1.16027
5.7,4.91181,1.666,-0.505456,1.15387
5.8,5.0757,1.6097,-0.622538,1.14576
5.9,5.23334,1.54112,-0.750951,1.13566
6,5.38347,1.45913,-0.890793,1.12325
6.1,5.52468,1.36259,-1.04179,1.10816
6.2,5.65547,1.25042,-1.20316,1.0899
6.3,5.77422,1.12165,-1.3735,1.06789
