time,x,y,z,L
0,-4,0,3,0
0.1,-3.98534,0.289935,2.79956,-0.0774881
0.2,-3.9427,0.55909,2.57539,-1.1572
0.3,-3.87436,0.802849,2.28724,1.02368
0.4,-3.78322,1.01395,1.92241,0.609109
0.5,-3.6729,1.18517,1.49337,-3.20234
0.6,-3.54768,1.31153,1.03159,0.070702
0.7,-3.41214,1.39174,0.577421,1.48784
0.8,-3.27079,1.42856,0.169221,0.86644
0.9,-3.12768,1.42807,-0.165083,0.112805
1,-2.98614,1.39847,-0.411762,0.48167
1.1,-2.84866,1.34866,-0.570549,1.23932
1.2,-2.71681,1.28698,-0.651057,-0.244548
1.3,-2.59142,1.22055,-0.668341,1.20601
1.4,-2.47267,1.15486,-0.639045,-1.53253
1.5,-2.36029,1.09377,-0.578767,1.14916
1.6,-2.25368,1.0397,-0.500652,-4.54504
1.7,-2.15207,0.993894,-0.414922,-0.713614
1.8,-2.05461,0.956721,-0.328992,-2.66972
1.9,-1.96045,0.927933,-0.247868,-1.85168
2,-1.86877,0.906883,-0.174639,0.600679
2.1,-1.77884,0.892686,-0.110949,-3.48329
2.2,-1.69003,0.884354,-0.0573945,-1.36358
2.3,-1.60181,0.880873,-0.0138544,0.593376
2.4,-1.51373,0.881269,0.02027,0.326944
2.5,-1.42546,0.884643,0.0458696,-1.27873
2.6,-1.33673,0.890194,0.063993,-0.158464
2.7,-1.24737,0.897229,0.0757497,-0.742448
2.8,-1.15725,0.905168,0.082241,0.0111471
2.9,-1.06632,0.913537,0.0845112,0.3304
3,-0.974545,0.921962,0.0835154,0.29236
3.1,-0.881936,0.930159,0.0801005,0.37181
3.2,-0.788527,0.937926,0.0749949,-0.555206
3.3,-0.69437,0.945122,0.0688069,-0.182101
3.4,-0.599525,0.951667,0.0620287,0.106256
3.5,-0.504059,0.957521,0.0550451,0.314423
3.6,-0.408044,0.962679,0.0481445,0.441534
3.7,-0.311546,0.96716,0.0415319,0.529091
3.8,-0.214633,0.971,0.0353425,0.59775
3.9,-0.117366,0.974245,0.0296544,0.654884
4,-0.0198019,0.976949,0.0245012,0.704093
4.1,0.0780075,0.979163,0.0198826,0.747443
4.2,0.176016,0.980942,0.0157739,0.786249
4.3,0.274183,0.982334,0.0121334,0.821405
4.4,0.372472,0.983383,0.00890862,0.853554
4.5,0.470849,0.984127,0.00604112,0.883175
4.6,0.569288,0.984601,0.0034696,0.910637
4.7,0.667761,0.984829,0.00113231,0.93623
4.8,0.766246,0.984833,-0.00103167,0.960187
4.9,0.864721,0.984627,-0.00308181,0.982697
5,0.963165,0.984218,-0.0050762,1.00392
5.1,1.06156,0.983611,-0.00707194,1.02398
5.2,1.15988,0.982802,-0.00912609,1.04298
5.3,1.25811,0.981782,-0.0112968,1.06102
5.4,1.35623,0.980537,-0.0136449,1.07818
5.5,1.45421,0.979045,-0.0162354,1.09451
5.6,1.55203,0.977279,-0.0191398,1.11006
5.7,1.64966,0.975204,-0.0224381,1.12488
5.8,1.74706,0.972776,-0.0262216,1.139
5.9,1.8442,0.96994,-0.0305962,1.15244
6,1.94103,0.966633,-0.0356854,1.16522
6.1,2.03751,0.962774,-0.0416353,1.17733
6.2,2.13356,0.958271,-0.0486184,1.18878
6.3,2.22914,0.953009,-0.0568402,1.19955
6.4,2.32414,0.946854,-0.0665449,1.20961
