time,x,y,z,L
0,-1,-4,9,0
0.1,-1.36002,-3.24642,6.23292,1.18973
0.2,-1.65703,-2.72622,4.28514,1.15395
0.3,-1.91071,-2.37013,2.9181,1.11298
0.4,-2.13486,-2.12859,1.97301,1.06932
0.5,-2.33902,-1.96487,1.34898,1.02367
0.6,-2.52946,-1.85017,0.98461,0.975632
0.7,-2.70988,-1.76051,0.843602,0.92385
0.8,-2.8817,-1.67477,0.903173,0.866004
0.9,-3.04433,-1.57384,1.14386,0.798535
1,-3.19539,-1.44078,1.54044,0.0432827
1.1,-3.33095,-1.2618,2.05475,-0.630083
1.2,-3.44591,-1.02771,2.63236,-1.4474
1.3,-3.53454,-0.735485,3.20525,-1.80927
1.4,-3.59119,-0.389214,3.70186,-0.848501
1.5,-3.61094,0.000328767,4.06272,0.440626
1.6,-3.5902,0.417745,4.25742,-1.18207
1.7,-3.52701,0.846572,4.29637,0.11428
1.8,-3.42095,1.27357,4.23317,0.128628
1.9,-3.27257,1.69276,4.15752,-0.415581
2,-3.08253,2.10845,4.18348,-0.110547
2.1,-2.85046,2.53713,4.44009,0.889277
2.2,-2.57368,3.00891,5.07078,0.988948
2.3,-2.24575,3.56933,6.24439,1.07132
2.4,-1.85473,4.28303,8.17777,1.13676
2.5,-1.38107,5.23986,11.1632,1.17965
2.6,-0.794591,6.56322,15.5759,1.18099
2.7,-0.0508445,8.41503,21.7759,1.13429
2.8,0.912118,10.9757,29.6365,1.3356
2.9,2.17125,14.3315,36.9871,1.48499
3,3.7936,18.1003,35.753,1.90401
3.1,5.75097,20.578,7.19525,3.0435
3.2,7.7405,17.9794,-66.2457,0.760833
3.3,9.05825,7.00954,-146.198,1.72825
3.4,8.99221,-8.21145,-139.285,3.63272
3.5,7.60252,-18.1406,-54.7454,1.87256
3.6,5.64774,-19.8075,13.7536,1.01921
3.7,3.7916,-16.9203,37.8803,0.230492
3.8,2.29419,-13.0396,37.471,1.42028
3.9,1.16604,-9.65016,29.9661,1.27891
4,0.337738,-7.04185,22.4324,1.12508
4.1,-0.264728,-5.10398,16.6396,1.18585
4.2,-0.699329,-3.65532,12.5957,1.19969
4.3,-1.00684,-2.53938,9.91735,1.17663
4.4,-1.21434,-1.63867,8.23813,1.13837
4.5,-1.33886,-0.867349,7.29461,1.094
4.6,-1.38996,-0.160696,6.92558,1.04875
4.7,-1.37138,0.534362,7.05697,1.00724
4.8,-1.28182,1.2674,7.692,1.01537
4.9,-1.11486,2.09211,8.91009,1.06636
5,-0.858181,3.07412,10.8721,1.10304
5.1,-0.491961,4.29934,13.8205,1.11041
5.2,0.0135268,5.88068,18.0392,1.15123
5.3,0.700603,7.95465,23.6595,1.26831
5.4,1.62498,10.6396,30.0122,1.38764
5.5,2.84765,13.8808,33.88,1.49235
5.6,4.39985,17.0394,26.1639,1.24102
5.7,6.19043,18.1864,-9.16244,2.19208
5.8,7.85996,14.0634,-76.8026,1.5886
5.9,8.77164,3.25462,-130.385,-0.328985
6,8.44829,-9.33241,-107.676,2.1725
6.1,7.08985,-16.6368,-37.0213,2.32248
6.2,5.34239,-17.4467,14.7578,0.930286
6.3,3.71333,-14.8377,32.8824,1.6173
6.4,2.39798,-11.4787,32.5409,1.38548
6.5,1.4036,-8.51122,26.485,1.27206
6.6,0.674013,-6.18616,20.1714,1.1614
6.7,0.147258,-4.43278,15.1413,1.12541
6.8,-0.226898,-3.11063,11.5195,1.16809
6.9,-0.484887,-2.09,9.06406,1.16845
7,-0.651486,-1.26779,7.5119,1.15359
7.1,-0.74238,-0.564112,6.66761,1.13409
7.2,-0.766108,0.0853271,6.41363,1.11545
7.3,-0.725249,0.73667,6.70348,1.10155
7.4,-0.61689,1.4447,7.5559,1.09619
7.5,-0.432437,2.26927,9.05292,1.10398
7.6,-0.156801,3.28144,11.3358,1.13011
7.7,0.232994,4.56848,14.5783,1.17847
7.8,0.769469,6.23272,18.8774,1.24843
7.9,1.49538,8.36971,23.9089,1.33312
8,2.45974,10.9873,28.023,1.41932
8.1,3.69978,13.7892,26.3968,1.79644
8.2,5.19095,15.7517,9.23817,2.23588
8.3,6.7526,14.7726,-33.1182,1.81078
8.4,7.97079,8.66374,-87.8439,2.79698
8.5,8.3405,-1.61184,-107.881,2.91094
8.6,7.68278,-10.9053,-70.5102,-2.40167
8.7,6.33371,-15.1567,-16.0412,2.45856
8.8,4.80478,-14.8669,17.3039,1.98122
8.9,3.4292,-12.4771,27.5684,2.11021
9,2.31969,-9.741,26.0315,1.33618
9.1,1.46763,-7.38812,20.812,1.24651
9.2,0.823636,-5.58213,15.4092,1.16326
9.3,0.334479,-4.27679,10.8627,1.13101
9.4,-0.0452508,-3.37773,7.26412,1.15348
9.5,-0.351706,-2.79862,4.425,1.17288
9.6,-0.613471,-2.47511,2.1154,1.1765
9.7,-0.85381,-2.36465,0.134226,1.17449
9.8,-1.09267,-2.4426,-1.67525,1.17164
9.9,-1.34822,-2.69762,-3.42039,1.17059
10,-1.63797,-3.12611,-5.1455,1.17292
10.1,-1.97912,-3.72443,-6.79667,1.17922
10.2,-2.388,-4.47593,-8.15335,1.18847
10.3,-2.87778,-5.32931,-8.72311,1.19673
10.4,-3.45342,-6.16577,-7.63633,-1.49099
10.5,-4.10304,-6.76118,-3.69034,1.39575
10.6,-4.78627,-6.77308,4.13123,2.17873
10.7,-5.42521,-5.81727,15.3789,1.52662
10.8,-5.91015,-3.69041,26.7446,0.990924
10.9,-6.13215,-0.647781,32.7922,1.63164
11,-6.03385,2.56674,30.0076,1.10071
11.1,-5.64146,5.11657,20.238,2.28414
11.2,-5.04798,6.56219,8.85498,1.89965
11.3,-4.36351,6.98287,0.218393,1.37425
11.4,-3.67334,6.74564,-4.29309,0.00984831
11.5,-3.02317,6.24094,-5.31803,1.21644
11.6,-2.42426,5.75908,-4.0205,1.1851
11.7,-1.8644,5.48371,-1.3014,1.18922
11.8,-1.31676,5.5304,2.37793,1.18736
11.9,-0.744634,5.98767,6.91564,1.16483
12,-0.102556,6.94541,12.4087,1.1239
12.1,0.664446,8.50256,18.8753,1.2716
12.2,1.6205,10.7315,25.601,1.38926
12.3,2.83049,13.5365,29.5691,1.48433
12.4,4.32743,16.2916,22.6813,1.7893
12.5,6.03046,17.2471,-8.7891,1.34554
12.6,7.61977,13.5279,-68.7951,2.60633
12.7,8.52808,3.78587,-118.761,2.55427
12.8,8.30719,-7.94411,-103.603,1.84651
12.9,7.09127,-15.3217,-41.6188,2.89334
13,5.44658,-16.7372,8.24018,1.63357
13.1,3.85781,-14.7165,27.7933,1.07837
13.2,2.53157,-11.7969,28.6863,1.39621
13.3,1.4869,-9.19474,22.8775,1.2934
13.4,0.6703,-7.25192,16.0287,1.17955
13.5,0.0146701,-5.96224,9.93727,1.14582
13.6,-0.540717,-5.22987,4.87192,1.2149
13.7,-1.04666,-4.959,0.673323,1.23803
13.8,-1.54529,-5.07173,-2.81448,1.24665
13.9,-2.07146,-5.49725,-5.55156,1.25118
14,-2.65221,-6.14487,-7.15726,1.25319
14.1,-3.30291,-6.86319,-6.78076,0.573507
14.2,-4.01869,-7.39183,-3.12838,-1.92085
