time,x,y,z,L
0,-1,1,0,0
0.1,-0.90016,0.995267,-0.092004,-2.77753
0.2,-0.801227,0.982129,-0.168113,-0.97245
0.3,-0.703962,0.962164,-0.228642,-1.52804
0.4,-0.60897,0.936903,-0.274102,-1.60372
0.5,-0.516708,0.907823,-0.305176,-4.13964
0.6,-0.427487,0.876321,-0.32268,-5.36336
0.7,-0.341481,0.843708,-0.327539,-1.50266
0.8,-0.258741,0.811201,-0.320758,-4.41708
0.9,-0.1792,0.77991,-0.303396,-2.33657
1,-0.102685,0.750838,-0.276538,-1.22553
1.1,-0.0289286,0.724882,-0.24128,-1.43981
1.2,0.0424206,0.702776,-0.201218,-1.1198
1.3,0.111752,0.684412,-0.167254,-1.00177
1.4,0.179404,0.669092,-0.140286,-1.37178
1.5,0.245649,0.656131,-0.120017,-0.716829
1.6,0.310687,0.644876,-0.106129,-1.59237
1.7,0.37466,0.634704,-0.0982741,-1.72115
1.8,0.437645,0.625032,-0.0960792,-0.911776
1.9,0.499665,0.615313,-0.0991412,-1.56853
2,0.560689,0.605043,-0.10703,-0.819595
2.1,0.62064,0.593762,-0.119287,-1.14705
2.2,0.679394,0.581056,-0.13543,-0.987076
2.3,0.736791,0.566563,-0.154953,-2.72062
2.4,0.792636,0.54997,-0.177328,-1.37805
2.5,0.846707,0.53102,-0.202011,-1.91758
2.6,0.898755,0.50951,-0.228444,-3.57728
2.7,0.948518,0.485292,-0.256061,-1.04106
2.8,0.99572,0.458277,-0.284288,-0.832166
2.9,1.04008,0.428433,-0.312556,-2.05015
3,1.08131,0.395784,-0.340297,-1.47008
3.1,1.11915,0.36041,-0.366957,-1.28212
3.2,1.15331,0.322446,-0.391997,-2.02836
3.3,1.18355,0.282082,-0.4149,-2.43734
3.4,1.20965,0.239554,-0.435178,-2.61478
3.5,1.2314,0.195149,-0.452374,-1.41395
3.6,1.24863,0.149196,-0.466071,-1.43228
3.7,1.2612,0.102064,-0.475894,-3.17606
3.8,1.26902,0.054157,-0.481517,-1.23014
3.9,1.27202,0.00590967,-0.482665,-2.55142
4,1.2702,-0.0422194,-0.47912,-1.5472
4.1,1.2636,-0.0897526,-0.470725,-0.72834
4.2,1.25229,-0.136199,-0.457381,-2.72066
4.3,1.23641,-0.181063,-0.439057,-1.66906
4.4,1.21615,-0.223846,-0.415786,-1.37023
4.5,1.19173,-0.264058,-0.387667,-1.93185
4.6,1.16344,-0.301223,-0.354866,-2.46187
4.7,1.1316,-0.334883,-0.317613,-1.9158
4.8,1.09659,-0.364607,-0.276204,-2.98633
4.9,1.05882,-0.389997,-0.230994,-0.805988
5,1.01875,-0.410693,-0.182398,-1.35838
5.1,0.976852,-0.426379,-0.130882,-1.75398
5.2,0.933648,-0.436789,-0.0769665,-1.2529
5.3,0.889677,-0.441711,-0.0212123,-2.06074
5.4,0.845494,-0.440991,0.0357799,-1.2838
5.5,0.80167,-0.434535,0.0933781,-2.54197
5.6,0.758779,-0.422317,0.150925,-1.81452
5.7,0.717397,-0.404374,0.207748,-2.17226
5.8,0.678092,-0.380814,0.263162,-1.37914
5.9,0.641416,-0.351811,0.316485,-2.6375
6,0.607903,-0.317609,0.36704,-3.19899
6.1,0.578057,-0.278518,0.414165,-1.49006
6.2,0.55235,-0.234912,0.457225,-2.18789
6.3,0.531211,-0.187228,0.495616,-1.15242
6.4,0.515024,-0.135963,0.528775,-0.759967
6.5,0.50412,-0.081665,0.556188,-1.48728
6.6,0.498772,-0.0249323,0.577399,-1.5037
6.7,0.499193,0.0335947,0.592012,-1.94158
6.8,0.505528,0.0932393,0.599704,-1.75415
6.9,0.517855,0.153296,0.600224,-0.720234
7,0.536177,0.213039,0.593404,-1.40946
7.1,0.560427,0.271729,0.579158,-0.791193
7.2,0.590463,0.328623,0.557489,-2.16818
7.3,0.626068,0.382983,0.528488,-2.1466
7.4,0.666951,0.434083,0.492336,-0.775602
7.5,0.712752,0.481221,0.449306,-1.86644
7.6,0.763041,0.523727,0.39976,-0.708399
7.7,0.817322,0.56097,0.344146,-1.41084
7.8,0.87504,0.592371,0.282995,-1.89665
7.9,0.935584,0.617405,0.216921,-0.806149
8,0.998293,0.635614,0.146607,-1.4759
8.1,1.06247,0.64661,0.0728077,-1.82915
8.2,1.12736,0.650086,-0.00366504,-1.00732
8.3,1.19222,0.645817,-0.0819469,-3.05675
8.4,1.25627,0.633667,-0.161132,-3.30369
8.5,1.31869,0.613592,-0.24028,-1.60672
8.6,1.37872,0.585644,-0.318432,-1.5205
8.7,1.43557,0.549971,-0.394617,-2.73695
8.8,1.48847,0.506818,-0.467863,-1.48424
8.9,1.53669,0.456528,-0.537214,-1.10607
9,1.57955,0.399537,-0.601736,-0.708693
9.1,1.61639,0.336372,-0.660531,-2.2465
9.2,1.64664,0.26765,-0.712751,-2.39603
9.3,1.66976,0.194067,-0.757606,-1.55467
9.4,1.68531,0.116398,-0.794377,-0.803835
9.5,1.69293,0.0354828,-0.822425,-1.47829
9.6,1.69233,-0.0477778,-0.841202,-1.45106
9.7,1.68333,-0.132433,-0.850259,-2.7328
9.8,1.66583,-0.217494,-0.849254,-1.49429
9.9,1.63985,-0.301941,-0.83796,-1.77156
10,1.6055,-0.384739,-0.816265,-1.78143
10.1,1.56299,-0.464848,-0.784185,-2.84157
10.2,1.51265,-0.541235,-0.74186,-2.30686
10.3,1.4549,-0.612887,-0.689556,-3.30405
10.4,1.39027,-0.678826,-0.627669,-1.86519
10.5,1.31936,-0.738119,-0.556718,-1.50566
10.6,1.24289,-0.789889,-0.477345,-1.20178
10.7,1.16166,-0.833332,-0.390309,-0.899759
10.8,1.07653,-0.867724,-0.296481,-2.16452
10.9,0.988438,-0.892434,-0.196833,-0.783729
11,0.898383,-0.906932,-0.092432,-0.734619
11.1,0.807406,-0.9108,0.0155729,-0.741447
11.2,0.716587,-0.903738,0.125961,-1.57978
11.3,0.627029,-0.885571,0.237453,-0.70944
11.4,0.539844,-0.856255,0.348728,-0.895653
11.5,0.456146,-0.815878,0.458434,-1.77559
11.6,0.37703,-0.764666,0.565207,-1.36076
11.7,0.303563,-0.70298,0.667685,-1.87018
11.8,0.236767,-0.631317,0.764526,-1.54305
11.9,0.177611,-0.550306,0.854424,-1.38496
12,0.126992,-0.460705,0.936127,-4.38109
12.1,0.0857271,-0.363393,1.00845,-6.16856
12.2,0.0545376,-0.259364,1.0703,-3.76001
12.3,0.0340416,-0.149717,1.12067,-1.61388
12.4,0.0247419,-0.0356434,1.15868,-2.71624
12.5,0.027018,0.0815813,1.18358,-1.02324
12.6,0.0411184,0.200614,1.19475,-1.35779
12.7,0.0671545,0.320058,1.19173,-1.39893
12.8,0.105096,0.438477,1.17422,-1.18875
12.9,0.154767,0.554415,1.14209,-2.25727
13,0.215847,0.66641,1.09538,-1.62186
13.1,0.287869,0.773012,1.0343,-1.80912
13.2,0.370223,0.872804,0.95925,-1.25768
13.3,0.462157,0.964415,0.870806,-3.02116
13.4,0.56279,1.04654,0.769718,-1.50491
13.5,0.671109,1.11797,0.656908,-1.85864
13.6,0.785989,1.17757,0.533462,-1.15716
13.7,0.906196,1.22435,0.400619,-1.08553
13.8,1.0304,1.25743,0.259762,-2.52872
13.9,1.1572,1.27608,0.112406,-3.61692
14,1.28512,1.27975,-0.0398227,-2.25561
14.1,1.41264,1.26801,-0.195198,-0.916482
14.2,1.5382,1.24066,-0.351916,-1.32185
14.3,1.66025,1.19765,-0.508111,-1.1791
14.4,1.77721,1.13912,-0.661883,-4.03419
14.5,1.88756,1.06542,-0.811312,-0.933898
14.6,1.98981,0.977065,-0.954487,-1.41394
14.7,2.08251,0.874789,-1.08953,-2.38832
14.8,2.16433,0.759492,-1.21461,-0.710841
14.9,2.23401,0.632258,-1.32797,-1.37146
15,2.29043,0.494343,-1.42797,-3.18513
15.1,2.33257,0.34716,-1.51308,-3.22543
15.2,2.3596,0.19227,-1.58191,-0.765434
15.3,2.37083,0.0313612,-1.63325,-1.36564
15.4,2.36573,-0.133762,-1.66605,-2.30702
15.5,2.344,-0.301202,-1.67947,-1.61535
15.6,2.30548,-0.468989,-1.6729,-1.4122
15.7,2.25025,-0.635102,-1.64593,-1.37018
15.8,2.17858,-0.79749,-1.5984,-1.36012
15.9,2.09095,-0.9541,-1.53041,-1.79444
16,1.98802,-1.1029,-1.44228,-2.62556
16.1,1.87069,-1.2419,-1.3346,-2.75356
16.2,1.74003,-1.3692,-1.20821,-1.38259
16.3,1.59731,-1.48296,-1.06418,-3.79049
16.4,1.44395,-1.58149,-0.903853,-1.57907
16.5,1.28157,-1.66324,-0.728767,-1.90249
16.6,1.11191,-1.72681,-0.540691,-5.36381
16.7,0.936853,-1.77101,-0.341591,-1.44694
16.8,0.758388,-1.79483,-0.133612,-3.74051
16.9,0.578592,-1.79751,0.0809392,-2.61187
17,0.399609,-1.7785,0.299625,-2.23826
17.1,0.223624,-1.73753,0.519899,-1.76837
17.2,0.0528364,-1.67456,0.739133,-2.72241
17.3,-0.110566,-1.59,0.947167,-2.25783
17.4,-0.264526,-1.48634,1.12009,-2.4567
17.5,-0.407316,-1.36716,1.25768,-1.60299
17.6,-0.537556,-1.23591,1.36182,-1.05849
17.7,-0.654205,-1.09584,1.43472,-1.57549
17.8,-0.75653,-0.949931,1.47884,-2.12407
17.9,-0.844088,-0.80094,1.49685,-1.76079
18,-0.916698,-0.651338,1.49153,-0.787149
18.1,-0.974409,-0.503315,1.46575,-1.53266
18.2,-1.01748,-0.358774,1.42238,-1.89683
18.3,-1.04633,-0.21933,1.36427,-1.37368
18.4,-1.06156,-0.0863198,1.29418,-0.974889
18.5,-1.06385,0.0391951,1.21478,-0.804693
18.6,-1.054,0.156411,1.12861,-0.726254
18.7,-1.03286,0.264771,1.03803,-5.99741
18.8,-1.00135,0.363943,0.945219,-3.99466
18.9,-0.960383,0.453807,0.852174,-2.88051
19,-0.910895,0.53443,0.760681,-2.22336
19.1,-0.853798,0.606048,0.672319,-2.10328
19.2,-0.789973,0.669044,0.588456,-1.38675
19.3,-0.720259,0.723928,0.510254,-2.21011
19.4,-0.645437,0.771316,0.438675,-3.17272
19.5,-0.566223,0.811909,0.374487,-1.50052
19.6,-0.483256,0.846479,0.318277,-1.48449
19.7,-0.3971,0.875845,0.270459,-0.853207
19.8,-0.308233,0.90086,0.231295,-0.728663
19.9,-0.217044,0.922396,0.200903,-1.67952
20,-0.12384,0.941332,0.179277,-1.35812
20.1,-0.0288355,0.95854,0.1663,-2.21556
20.2,0.067837,0.974764,0.15709,-0.732573
20.3,0.166072,0.989617,0.138261,-3.02889
20.4,0.265681,1.00209,0.109591,-0.965313
20.5,0.366378,1.01123,0.0718127,-1.44398
20.6,0.467787,1.01617,0.0257341,-2.48816
20.7,0.569447,1.01613,-0.0277615,-1.60989
20.8,0.670824,1.01041,-0.0877219,-1.36223
20.9,0.771319,0.998405,-0.153133,-2.939
21,0.870279,0.979634,-0.222926,-1.83395
21.1,0.967007,0.953711,-0.295986,-1.47548
21.2,1.06077,0.920366,-0.371163,-4.90311
21.3,1.15083,0.879447,-0.447279,-1.30525
21.4,1.23641,0.830918,-0.523146,-1.15664
21.5,1.31676,0.774865,-0.597571,-4.3354
21.6,1.39114,0.711492,-0.669372,-1.21977
21.7,1.45883,0.641117,-0.737391,-0.957048
21.8,1.51914,0.564177,-0.800507,-2.75644
21.9,1.57146,0.481215,-0.857646,-3.55618
22,1.61521,0.392881,-0.907799,-1.34514
22.1,1.64988,0.299919,-0.95003,-1.26829
22.2,1.67506,0.203167,-0.983488,-3.62171
22.3,1.69042,0.103539,-1.00742,-1.74476
22.4,1.69571,0.0020213,-1.02119,-1.46566
22.5,1.69079,-0.100343,-1.02427,-1.37571
22.6,1.67565,-0.202463,-1.01626,-2.20705
22.7,1.65035,-0.303216,-0.996892,-1.3921
22.8,1.61509,-0.401459,-0.966041,-1.58263
22.9,1.57018,-0.496042,-0.923723,-2.02259
23,1.51604,-0.585826,-0.8701,-2.42415
23.1,1.45321,-0.669695,-0.805481,-0.736031
23.2,1.38233,-0.746571,-0.730321,-1.48778
23.3,1.30416,-0.815428,-0.645218,-1.61548
23.4,1.21955,-0.875308,-0.55091,-0.71806
23.5,1.12943,-0.925332,-0.448269,-1.41362
23.6,1.03484,-0.964717,-0.33829,-2.59243
23.7,0.936864,-0.992782,-0.222087,-3.10737
23.8,0.836676,-1.00897,-0.100878,-1.92447
23.9,0.735482,-1.01283,0.0240254,-0.76071
24,0.63453,-1.00409,0.151234,-4.769
24.1,0.535091,-0.98256,0.279295,-1.65593
