time,x,y,z,L
0,-1,1,0,0
0.1,-0.900008,0.999675,-0.00966651,0.30248
0.2,-0.800128,0.997467,-0.0373285,0.30248
0.3,-0.700634,0.991677,-0.0809654,0.302479
0.4,-0.601962,0.980809,-0.138529,0.302479
0.5,-0.504685,0.963576,-0.207937,0.30248
0.6,-0.409495,0.938898,-0.287071,0.302469
0.7,-0.317183,0.905909,-0.373782,0.30248
0.8,-0.228612,0.863961,-0.465895,0.30248
0.9,-0.144704,0.812623,-0.56122,0.302479
1,-0.066408,0.751683,-0.657566,0.302479
1.1,0.00531315,0.68121,-0.737155,0.30248
1.2,0.0699158,0.612451,-0.640636,0.302479
1.3,0.1281,0.552591,-0.558862,0.302479
1.4,0.180684,0.500246,-0.490067,0.302479
1.5,0.228359,0.454198,-0.432674,0.30248
1.6,0.271698,0.413379,-0.385268,0.302479
1.7,0.311177,0.376854,-0.346571,0.302479
1.8,0.347185,0.343813,-0.315428,0.302481
1.9,0.380033,0.313552,-0.290787,0.30248
2,0.409968,0.285471,-0.271688,0.30248
2.1,0.437182,0.259059,-0.25725,0.302488
2.2,0.461821,0.233892,-0.246664,0.30248
2.3,0.483991,0.209623,-0.239186,0.30248
2.4,0.503766,0.185974,-0.234128,0.30248
2.5,0.521199,0.162737,-0.230859,0.30248
2.6,0.536322,0.139762,-0.228798,0.302477
2.7,0.549157,0.116955,-0.227412,0.302479
2.8,0.559718,0.0942737,-0.226216,0.30248
2.9,0.568016,0.0717205,-0.224772,0.302479
3,0.574067,0.0493406,-0.222689,0.30248
3.1,0.577893,0.0272155,-0.219622,0.302479
3.2,0.579523,0.00545895,-0.215274,0.30248
3.3,0.579001,-0.0157881,-0.209393,0.302479
3.4,0.576388,-0.0363618,-0.201779,0.302479
3.5,0.571758,-0.0560808,-0.192277,0.30248
3.6,0.565206,-0.0747508,-0.180783,0.302479
3.7,0.556849,-0.0921692,-0.167242,0.30248
3.8,0.546821,-0.108131,-0.151646,0.302481
3.9,0.535278,-0.122431,-0.134037,0.30248
4,0.522397,-0.134874,-0.114501,0.302482
4.1,0.508372,-0.145272,-0.0931723,0.30248
4.2,0.493416,-0.153454,-0.0702267,0.302479
4.3,0.47776,-0.15927,-0.0458815,0.30248
4.4,0.461645,-0.162592,-0.0203911,0.30248
4.5,0.445328,-0.16332,0.00595556,0.302479
4.6,0.42907,-0.161383,0.0328399,0.30248
4.7,0.413141,-0.156746,0.0599177,0.302479
4.8,0.397811,-0.149405,0.0868246,0.302479
4.9,0.383349,-0.139399,0.113181,0.302479
5,0.370018,-0.126801,0.138598,0.302479
5.1,0.358072,-0.111724,0.162684,0.302479
5.2,0.347751,-0.0943212,0.185049,0.30248
5.3,0.339279,-0.0747841,0.205313,0.30248
5.4,0.332857,-0.0533407,0.223113,0.302478
5.5,0.328665,-0.030255,0.238106,0.30248
5.6,0.326851,-0.00582359,0.249978,0.302479
5.7,0.327534,0.0196271,0.258448,0.302479
5.8,0.330799,0.0457445,0.263276,0.302475
5.9,0.336693,0.0721543,0.264267,0.302477
6,0.345227,0.098465,0.261274,0.302479
6.1,0.356369,0.124273,0.254207,0.302479
6.2,0.370051,0.149169,0.243029,0.30248
6.3,0.386159,0.172743,0.227765,0.302479
6.4,0.404542,0.194589,0.208503,0.302479
6.5,0.425006,0.214315,0.18539,0.30248
6.6,0.447322,0.231546,0.15864,0.302479
6.7,0.471221,0.245931,0.128526,0.30248
6.8,0.496402,0.25715,0.0953818,0.30248
6.9,0.522535,0.264919,0.0595984,0.30248
7,0.549263,0.268996,0.0216207,0.30248
7.1,0.576205,0.269187,-0.0180581,0.302478
7.2,0.602966,0.265346,-0.0589017,0.302479
7.3,0.629137,0.257386,-0.100337,0.302477
7.4,0.654305,0.245279,-0.141761,0.302479
7.5,0.678055,0.229055,-0.182552,0.302474
7.6,0.699982,0.208811,-0.222071,0.302479
7.7,0.719689,0.184705,-0.259679,0.30248
7.8,0.736801,0.15696,-0.294742,0.30248
7.9,0.750969,0.125862,-0.326641,0.30248
8,0.761873,0.0917571,-0.354781,0.30248
8.1,0.769234,0.0550496,-0.378606,0.30248
8.2,0.772812,0.016197,-0.397601,0.30248
8.3,0.772418,-0.0242942,-0.411307,0.302479
8.4,0.767917,-0.0658747,-0.419327,0.302479
8.5,0.759227,-0.107959,-0.421337,0.302479
8.6,0.746328,-0.149934,-0.41709,0.30248
8.7,0.729265,-0.191163,-0.406425,0.302479
8.8,0.708142,-0.231002,-0.38927,0.302482
8.9,0.683132,-0.268802,-0.365651,0.302479
9,0.654471,-0.303921,-0.33569,0.302478
9.1,0.622458,-0.335736,-0.299608,0.30248
9.2,0.587454,-0.363649,-0.257728,0.302479
9.3,0.549877,-0.387102,-0.210471,0.30248
9.4,0.5102,-0.405581,-0.158353,0.30248
9.5,0.468942,-0.418631,-0.101982,0.30248
9.6,0.426668,-0.425859,-0.0420519,0.30248
9.7,0.383975,-0.426948,0.0206638,0.302478
9.8,0.341491,-0.421661,0.0853236,0.30248
9.9,0.29986,-0.409848,0.151026,0.302479
10,0.25974,-0.391453,0.216821,0.30248
10.1,0.221788,-0.366514,0.281723,0.302481
10.2,0.186651,-0.335172,0.344726,0.302479
10.3,0.154959,-0.297666,0.404814,0.30248
10.4,0.127312,-0.25434,0.460979,0.302479
10.5,0.104271,-0.205634,0.512238,0.302479
10.6,0.0863468,-0.152087,0.557643,0.302478
10.7,0.0739937,-0.0943303,0.596301,0.30248
10.8,0.0675973,-0.0330794,0.62739,0.30248
10.9,0.0674679,0.0308706,0.650169,0.302479
11,0.0738327,0.0966559,0.663999,0.302479
11.1,0.0868296,0.163354,0.668348,0.302479
11.2,0.106502,0.229996,0.662812,0.302481
11.3,0.132793,0.295578,0.647119,0.30248
11.4,0.165548,0.359077,0.621137,0.302479
11.5,0.204505,0.419463,0.584889,0.302479
11.6,0.249303,0.475718,0.53855,0.302479
11.7,0.299478,0.526847,0.482452,0.30248
11.8,0.354469,0.571899,0.417089,0.30249
11.9,0.413625,0.609978,0.343109,0.30248
12,0.476205,0.64026,0.261314,0.30248
12.1,0.541393,0.662011,0.172652,0.30248
12.2,0.608302,0.674598,0.0782077,0.302479
12.3,0.675989,0.677501,-0.0208068,0.302479
12.4,0.743466,0.670328,-0.123068,0.302481
12.5,0.80971,0.652826,-0.227157,0.302479
12.6,0.873683,0.624886,-0.331576,0.30248
12.7,0.934341,0.586552,-0.434766,0.30248
12.8,0.990653,0.538026,-0.535134,0.302479
12.9,1.04162,0.479673,-0.631069,0.302479
13,1.08628,0.412014,-0.720972,0.30248
13.1,1.12373,0.335732,-0.803274,0.302479
13.2,1.15316,0.251663,-0.876466,0.302478
13.3,1.17384,0.16079,-0.93912,0.302479
13.4,1.18513,0.0642342,-0.989915,0.302479
13.5,1.18654,-0.036758,-1.02766,0.302479
13.6,1.17768,-0.140829,-1.05133,0.30248
13.7,1.15832,-0.246525,-1.06005,0.302479
13.8,1.12837,-0.352318,-1.05315,0.302479
13.9,1.0879,-0.45662,-1.03019,0.302477
14,1.03715,-0.557811,-0.990914,0.302481
14.1,0.9765,-0.654259,-0.935342,0.302479
14.2,0.90651,-0.744344,-0.863718,0.302479
14.3,0.827896,-0.826484,-0.776542,0.302478
14.4,0.741529,-0.899159,-0.674564,0.30248
14.5,0.648428,-0.960936,-0.558783,0.302478
