time,x,y,z,L
0,3,1,-7,0
0.1,2.98012,0.584218,-7.27811,0.0974502
0.2,2.92131,0.144112,-7.40611,-3.30619
0.3,2.82549,-0.308752,-7.37749,-0.0117022
0.4,2.69558,-0.762123,-7.18992,-1.19072
0.5,2.53537,-1.2034,-6.84542,0.376565
0.6,2.3495,-1.61997,-6.35043,-1.15643
0.7,2.14338,-1.9996,-5.71576,0.0613803
0.8,1.923,-2.33076,-4.95637,-0.0717272
0.9,1.69485,-2.603,-4.0911,-0.521206
1,1.46573,-2.80725,-3.14221,-0.356506
1.1,1.24257,-2.93614,-2.13483,0.361117
1.2,1.03226,-2.98423,-1.09635,-1.11556
1.3,0.827503,-2.94862,-0.0556562,-1.06942
1.4,0.609797,-2.83121,0.958138,-0.605604
1.5,0.385562,-2.63708,1.91723,-0.305191
1.6,0.161833,-2.37332,2.79596,-0.949815
1.7,-0.0544564,-2.04872,3.57145,-1.69842
1.8,-0.256644,-1.67354,4.22416,-1.14116
1.9,-0.438508,-1.25916,4.73835,0.192173
2,-0.594409,-0.817717,5.10241,-0.35381
2.1,-0.719419,-0.36178,5.30906,-0.376086
2.2,-0.809419,0.0960331,5.35544,-0.390223
2.3,-0.861169,0.543405,5.24306,0.252073
2.4,-0.872357,0.968659,4.97764,0.200496
2.5,-0.841606,1.36108,4.56884,-1.88402
2.6,-0.768461,1.71118,4.02983,0.352875
2.7,-0.653342,2.01095,3.37689,-0.383654
2.8,-0.49747,2.25407,2.62878,0.0199974
2.9,-0.302768,2.43602,1.80618,-1.07927
3,-0.0717351,2.55421,0.931014,0.199682
3.1,0.192692,2.60799,0.0257579,-0.969562
3.2,0.487302,2.59865,-0.887209,-1.32007
3.3,0.808778,2.52937,-1.7863,0.25402
3.4,1.14727,2.40498,-2.65134,-0.58209
3.5,1.44917,2.22893,-3.46376,0.033746
3.6,1.70315,2.00281,-4.20574,-3.1469
3.7,1.90913,1.72973,-4.86024,-1.39911
3.8,2.06745,1.41444,-5.41162,-0.587001
3.9,2.1789,1.06323,-5.84615,-2.87585
4,2.24488,0.683743,-6.15257,-0.46571
4.1,2.26747,0.284794,-6.3225,0.0441966
4.2,2.24938,-0.123895,-6.35079,-0.379992
4.3,2.19407,-0.531951,-6.23584,0.256919
4.4,2.10566,-0.928644,-5.97975,0.380668
4.5,1.9889,-1.3032,-5.58838,-0.444842
4.6,1.8491,-1.64512,-5.07132,0.00970037
4.7,1.69205,-1.94447,-4.44177,0.312286
4.8,1.52389,-2.19223,-3.71622,-0.185092
4.9,1.35097,-2.38054,-2.91415,-0.314802
5,1.17973,-2.50299,-2.05753,0.380878
5.1,1.01651,-2.55481,-1.1703,0.0180576
5.2,0.855,-2.53346,-0.277722,-0.152529
5.3,0.682673,-2.44039,0.594746,-0.164392
5.4,0.505555,-2.27963,1.42265,-0.421523
5.5,0.329976,-2.05695,2.18326,-0.190799
5.6,0.162245,-1.77965,2.85613,-0.554296
5.7,0.008497,-1.45632,3.42364,-1.94734
5.8,-0.125444,-1.09656,3.8713,-0.0699853
5.9,-0.234192,-0.710671,4.18818,-1.13813
6,-0.312901,-0.309366,4.36698,-0.67777
6.1,-0.357349,0.0965628,4.40419,0.358897
6.2,-0.363996,0.496548,4.30008,-0.672917
6.3,-0.330017,0.880548,4.05848,0.16493
6.4,-0.253306,1.23932,3.68664,-1.85528
6.5,-0.132457,1.56469,3.19486,-0.41117
6.6,0.0332909,1.84973,2.59607,-3.06596
6.7,0.244123,2.089,1.90539,-1.28876
6.8,0.499752,2.27862,1.13957,-0.671473
6.9,0.79954,2.41642,0.316412,-2.37678
7,1.13705,2.50188,-0.545816,-1.63384
7.1,1.45922,2.5333,-1.42861,0.352588
7.2,1.75095,2.50695,-2.31238,-0.636268
7.3,2.00952,2.42057,-3.17646,-0.71298
7.4,2.23233,2.27373,-3.99972,-3.26009
7.5,2.4171,2.06788,-4.76118,0.351139
7.6,2.56196,1.80632,-5.44073,-1.78327
7.7,2.66565,1.49411,-6.01969,-0.0253364
7.8,2.72758,1.13802,-6.48148,-0.285637
7.9,2.74794,0.74632,-6.81215,-0.713137
8,2.72774,0.328566,-7.00086,-0.79297
8.1,2.66888,-0.104615,-7.04034,-0.406132
8.2,2.57411,-0.541831,-6.92716,-0.203946
8.3,2.44703,-0.971232,-6.66197,0.0480365
8.4,2.29205,-1.38084,-6.24961,0.142536
8.5,2.11427,-1.75889,-5.69907,0.0735974
8.6,1.91941,-2.09419,-5.02337,-0.298704
8.7,1.71368,-2.37643,-4.23932,-2.79706
8.8,1.50361,-2.59653,-3.36712,0.179692
8.9,1.2959,-2.74689,-2.4299,-1.3269
9,1.09727,-2.8217,-1.45312,-0.0577944
9.1,0.909998,-2.81719,-0.463974,0.382488
9.2,0.713067,-2.73342,0.50965,-0.594673
9.3,0.508174,-2.57434,1.44063,-0.412996
9.4,0.302107,-2.34597,2.3036,-0.367103
9.5,0.101642,-2.05605,3.07562,0.114449
9.6,-0.0866222,-1.71381,3.73672,0.194558
9.7,-0.256431,-1.32966,4.27039,-0.472284
9.8,-0.402011,-0.914885,4.66391,-0.236179
9.9,-0.518201,-0.481269,4.90861,-1.78634
10,-0.600548,-0.0407892,5,-0.154071
10.1,-0.645383,0.394747,4.93774,-2.69325
10.2,-0.649872,0.814027,4.72558,0.200503
10.3,-0.612033,1.20655,4.37105,-0.0973853
10.4,-0.530726,1.5629,3.88522,-0.46198
10.5,-0.405614,1.875,3.28219,0.0332157
10.6,-0.237096,2.13631,2.57865,-0.0478676
10.7,-0.0262143,2.34199,1.79327,0.109051
10.8,0.225463,2.48902,0.946103,-1.02715
10.9,0.515982,2.57623,0.0579393,-2.25631
11,0.843156,2.60436,-0.85036,0.200133
11.1,1.19368,2.57574,-1.7585,0.353302
11.2,1.51187,2.49084,-2.64681,-0.27252
11.3,1.78894,2.34871,-3.4954,-1.07889
11.4,2.02336,2.15012,-4.28432,-0.828798
