time,x,y,z,L
0,-2,-3,0,0
0.1,-2.10046,-3.08864,0.623363,0.147559
0.2,-2.19315,-3.03531,1.27434,-1.47941
0.3,-2.26412,-2.81752,1.91433,-0.257307
0.4,-2.29928,-2.42795,2.49467,-0.389945
0.5,-2.2862,-1.88109,2.96499,-0.291243
0.6,-2.21615,-1.21435,3.28496,-0.158919
0.7,-2.08566,-0.481904,3.43551,-2.42195
0.8,-1.89712,0.257352,3.42431,-3.06577
0.9,-1.65794,0.952836,3.28333,-0.880558
1,-1.37889,1.57104,3.05992,-0.814278
1.1,-1.07196,2.09745,2.80587,-0.781709
1.2,-0.748606,2.53257,2.56859,-3.56719
1.3,-0.4187,2.88495,2.38632,0.28755
1.4,-0.0902602,3.16414,2.2868,-1.32223
1.5,0.230182,3.37513,2.28779,0.124756
1.6,0.536831,3.51508,2.39766,0.135525
1.7,0.82374,3.57229,2.61509,0.0324131
1.8,1.08404,3.52769,2.92778,-1.39899
1.9,1.30949,3.35899,3.31088,-1.03531
2,1.49064,3.04735,3.72676,-0.226607
2.1,1.61761,2.58535,4.12797,-0.00374873
2.2,1.68161,1.98387,4.46452,-1.20321
2.3,1.67674,1.27449,4.69438,-0.726006
2.4,1.60152,0.505453,4.79415,-1.3375
2.5,1.45961,-0.268091,4.76511,-0.369478
2.6,1.25947,-0.995702,4.63231,-0.227477
2.7,1.01292,-1.64022,4.43716,0.328086
2.8,0.733429,-2.18048,4.22708,0.0751875
2.9,0.434529,-2.60854,4.04617,-0.10979
3,0.128804,-2.92374,3.92897,0.169286
3.1,-0.172396,-3.12674,3.89729,0.140113
3.2,-0.458752,-3.21536,3.95919,0.269464
3.3,-0.720524,-3.18351,4.1089,-1.29134
3.4,-0.948196,-3.02304,4.32731,0.199713
3.5,-1.13246,-2.72827,4.58381,-0.75996
3.6,-1.26468,-2.30152,4.84008,0.00279611
3.7,-1.33788,-1.75779,5.05651,-0.15679
3.8,-1.34784,-1.1263,5.2003,-0.828984
3.9,-1.29412,-0.447573,5.2529,-0.362134
4,-1.18046,0.233245,5.21424,0.122143
4.1,-1.01446,0.874224,5.10197,0.201337
4.2,-0.806557,1.44265,4.94622,0.137611
4.3,-0.568758,1.91724,4.78209,0.451133
4.4,-0.31345,2.28674,4.64247,0.79836
4.5,-0.0525726,2.54627,4.55272,0.212867
4.6,0.202766,2.69364,4.52767,-2.37044
4.7,0.442326,2.72689,4.5705,-0.128993
4.8,0.656646,2.64394,4.67294,-0.371994
