time,x,y,z,L
0,-2,0,0,0
0.1,-1.93853,0.202253,-0.197657,0.286319
0.2,-1.88772,0.404224,-0.392931,0.275803
0.3,-1.85465,0.599752,-0.590045,0.347922
0.4,-1.84398,0.783318,-0.793737,0.641133
0.5,-1.85717,0.949016,-1.00861,0.818388
0.6,-1.89175,1.08947,-1.23836,0.949674
0.7,-1.94032,1.19485,-1.48473,1.05307
0.8,-1.98969,1.25239,-1.74573,1.13224
0.9,-2.02071,1.24706,-2.01346,1.18373
1,-2.01,1.16427,-2.27209,-0.543917
1.1,-1.93489,0.995119,-2.49802,-0.37071
1.2,-1.78118,0.742731,-2.66423,0.129769
1.3,-1.55061,0.425845,-2.74897,-0.470494
1.4,-1.26266,0.0757204,-2.74459,-1.4508
1.5,-0.948425,-0.273209,-2.6605,0.322408
1.6,-0.640006,-0.593287,-2.51822,0.567333
1.7,-0.362015,-0.86859,-2.34253,-0.270955
1.8,-0.128415,-1.09404,-2.15418,-0.100339
1.9,0.0562092,-1.27152,-1.96678,-1.35038
2,0.19364,-1.40611,-1.78721,-0.484026
2.1,0.289171,-1.50353,-1.61752,-2.00371
2.2,0.349581,-1.56916,-1.45707,-1.60066
2.3,0.381887,-1.60769,-1.30417,-0.540252
2.4,0.39264,-1.62332,-1.15708,0.0831546
2.5,0.38754,-1.61994,-1.01446,-1.34329
2.6,0.371245,-1.60132,-0.875528,0.493151
2.7,0.347305,-1.57112,-0.739915,0.406043
2.8,0.318196,-1.5329,-0.607525,0.294331
2.9,0.28542,-1.49006,-0.478328,0.136047
3,0.249657,-1.44572,-0.352217,-0.215512
3.1,0.210921,-1.40273,-0.228909,-1.89006
3.2,0.168723,-1.36362,-0.107895,-0.389986
3.3,0.12219,-1.33066,0.0115658,-0.00217472
3.4,0.0701587,-1.30589,0.130419,0.242682
3.5,0.0112114,-1.29123,0.24977,0.452233
3.6,-0.0563252,-1.28856,0.370819,-0.540734
3.7,-0.134432,-1.29983,0.494772,0.538645
3.8,-0.225497,-1.32712,0.622721,-0.509834
3.9,-0.332458,-1.37266,0.755465,0.309136
4,-0.458989,-1.43879,0.893232,0.424945
4.1,-0.609707,-1.52766,1.03522,0.61696
4.2,-0.790314,-1.64074,1.17884,0.776284
4.3,-1.00752,-1.77774,1.31856,0.922409
4.4,-1.26831,-1.93472,1.44402,1.05848
4.5,-1.57796,-2.10112,1.53773,1.1812
4.6,-1.93571,-2.25602,1.57274,1.28236
4.7,-2.32773,-2.36515,1.51273,-0.428563
4.8,-2.71962,-2.38345,1.31875,0.475587
4.9,-3.05573,-2.26934,0.966077,0.596254
5,-3.27492,-2.01032,0.465793,0.521936
5.1,-3.33983,-1.64296,-0.127145,-0.214993
5.2,-3.25589,-1.24443,-0.733145,-0.117556
5.3,-3.06099,-0.897723,-1.28026,-0.447323
5.4,-2.79861,-0.658713,-1.72305,-0.130931
5.5,-2.5004,-0.544561,-2.04199,-1.4582
5.6,-2.18562,-0.54029,-2.23555,-0.0413068
5.7,-1.86796,-0.612581,-2.31417,-1.66467
5.8,-1.55979,-0.723479,-2.29637,0.143124
5.9,-1.27205,-0.840433,-2.20513,0.393096
6,-1.01232,-0.941291,-2.06392,-1.60534
6.1,-0.783766,-1.01477,-1.89356,-0.915449
6.2,-0.585738,-1.05825,-1.71064,-1.1249
6.3,-0.415251,-1.07462,-1.52724,-1.10533
6.4,-0.268425,-1.0696,-1.35158,-0.972005
6.5,-0.141449,-1.04967,-1.18884,-0.619592
6.6,-0.0310447,-1.02091,-1.04194,-2.4821
6.7,0.0654441,-0.988342,-0.912179,0.323718
6.8,0.150138,-0.955784,-0.799751,0.376553
6.9,0.224758,-0.925865,-0.704093,0.419261
7,0.290743,-0.900208,-0.624173,0.455205
7.1,0.349339,-0.879656,-0.558703,0.485744
7.2,0.401643,-0.864483,-0.50629,0.511394
7.3,0.448629,-0.854582,-0.465541,0.532452
7.4,0.491164,-0.849614,-0.435136,0.549268
7.5,0.530014,-0.849117,-0.413871,0.562298
7.6,0.56585,-0.852588,-0.400678,0.572094
7.7,0.599252,-0.859535,-0.394632,0.579269
7.8,0.630726,-0.869509,-0.394946,0.584459
7.9,0.6607,-0.882122,-0.400963,0.58831
8,0.689542,-0.897063,-0.412143,0.591456
8.1,0.71756,-0.914097,-0.428044,0.594513
8.2,0.745008,-0.93307,-0.448313,0.598062
8.3,0.772092,-0.953904,-0.472661,0.602639
8.4,0.798963,-0.9766,-0.500853,0.608716
8.5,0.825723,-1.00123,-0.532683,0.616682
8.6,0.852409,-1.02794,-0.567959,0.626828
8.7,0.878994,-1.05693,-0.606476,0.639334
8.8,0.905363,-1.08845,-0.647994,0.65426
8.9,0.931304,-1.12282,-0.692205,0.671535
9,0.956485,-1.16035,-0.738697,0.69096
9.1,0.980431,-1.20135,-0.786915,0.712193
9.2,1.0025,-1.24609,-0.836114,0.734742
9.3,1.02185,-1.29473,-0.885313,0.757953
