time,x,y,z,L
0,-1,-2,2,0
0.1,-1.08266,-1.88761,1.89426,-1.41046
0.2,-1.168,-1.77296,1.78565,-1.62221
0.3,-1.25479,-1.65713,1.67477,-1.67893
0.4,-1.34171,-1.54131,1.5623,-1.88385
0.5,-1.42743,-1.42673,1.449,-1.81939
0.6,-1.51069,-1.31467,1.33562,-2.10833
0.7,-1.59035,-1.20634,1.22287,-1.45486
0.8,-1.66547,-1.10289,1.11139,-1.00404
0.9,-1.73535,-1.00534,1.00169,-0.772972
1,-1.79952,-0.914575,0.894171,-0.611637
1.1,-1.85779,-0.831327,0.789089,-0.49067
1.2,-1.91018,-0.756173,0.686603,-0.397268
1.3,-1.95692,-0.689541,0.58677,-0.324159
1.4,-1.99844,-0.631724,0.489578,-0.266609
1.5,-2.03526,-0.582894,0.394963,-0.221292
1.6,-2.06805,-0.543116,0.302834,-0.18575
1.7,-2.09751,-0.512363,0.213094,-0.158119
1.8,-2.1244,-0.490523,0.125651,-0.136962
1.9,-2.1495,-0.477417,0.0404343,-0.121164
2,-2.17356,-0.472799,-0.0426013,-0.109865
2.1,-2.19735,-0.476369,-0.123465,-0.102421
2.2,-2.22156,-0.487777,-0.202127,-0.0983673
2.3,-2.24686,-0.506625,-0.278516,-0.0973397
2.4,-2.27386,-0.532479,-0.35252,-0.0991784
2.5,-2.30308,-0.564866,-0.42398,-0.103762
2.6,-2.33499,-0.603289,-0.492696,-0.111179
2.7,-2.36996,-0.647224,-0.558426,-0.121427
2.8,-2.40827,-0.696133,-0.620888,-0.134673
2.9,-2.45009,-0.74947,-0.679766,-0.151109
3,-2.49553,-0.806684,-0.734712,-0.170961
3.1,-2.54456,-0.867231,-0.785355,-0.194487
3.2,-2.5971,-0.930579,-0.831313,-0.221994
3.3,-2.65294,-0.996215,-0.872199,-0.253871
3.4,-2.71182,-1.06364,-0.907634,-0.290663
3.5,-2.7734,-1.1324,-0.937266,-0.333208
3.6,-2.8373,-1.20204,-0.960776,-0.382909
3.7,-2.90306,-1.27215,-0.977895,-0.442233
3.8,-2.97022,-1.34233,-0.988415,-0.515886
3.9,-3.03829,-1.41221,-0.9922,-0.613917
4,-3.10678,-1.48141,-0.989187,-0.763673
4.1,-3.1752,-1.54958,-0.979396,-1.11533
4.2,-3.24308,-1.61633,-0.962924,-0.72842
4.3,-3.30999,-1.68129,-0.939943,-0.762127
4.4,-3.37554,-1.74408,-0.910694,-1.25981
