time,x,y,z,L
0,2,-1,1,0
0.1,1.91358,-1.36102,1.14267,-0.538287
0.2,1.75932,-1.58287,1.35858,0.348565
0.3,1.5754,-1.64604,1.61253,-0.986841
0.4,1.39009,-1.5789,1.8556,-0.202788
0.5,1.22216,-1.42695,2.04437,0.288992
0.6,1.08382,-1.23174,2.15645,-0.732955
0.7,0.981859,-1.02166,2.19174,-1.8007
0.8,0.918737,-0.811731,2.1632,-2.66422
0.9,0.894145,-0.60781,2.08692,-2.98737
1,0.9065,-0.411383,1.97652,-1.48839
1.1,0.953925,-0.223522,1.84159,-0.385438
1.2,1.03477,-0.0479199,1.6885,-1.34332
1.3,1.14777,0.10651,1.52235,-0.751064
1.4,1.29194,0.223008,1.34926,-3.84656
1.5,1.46543,0.274269,1.17858,-2.46845
1.6,1.662,0.220964,1.02434,0.850154
1.7,1.86221,0.0175433,0.905614,0.828304
1.8,2.02224,-0.359987,0.845356,0.237154
1.9,2.08251,-0.860852,0.866799,0.848238
2,2.01496,-1.34679,0.985755,-1.87374
2.1,1.85074,-1.68343,1.19961,-4.31293
2.2,1.64149,-1.82409,1.47861,-1.88009
2.3,1.42362,-1.79666,1.76889,-1.31841
2.4,1.2185,-1.6581,2.01251,0.144967
2.5,1.03968,-1.46391,2.17238,-0.588866
2.6,0.89497,-1.25375,2.24146,-0.561608
2.7,0.787006,-1.04912,2.23382,0.0905785
2.8,0.714759,-0.857882,2.17072,-0.392898
2.9,0.675426,-0.680164,2.07156,0.578965
3,0.665787,-0.51286,1.95059,0.565238
3.1,0.682902,-0.352379,1.81695,0.510943
3.2,0.724374,-0.196178,1.67587,0.420042
3.3,0.788417,-0.0436996,1.53001,0.290173
3.4,0.873908,0.102869,1.38079,0.111913
3.5,0.980483,0.237755,1.22956,-1.46072
3.6,1.1087,0.350458,1.07854,-0.375916
3.7,1.26003,0.424054,0.931683,0.104942
3.8,1.43601,0.43267,0.795055,0.136899
3.9,1.63465,0.338898,0.677087,-0.863457
4,1.84134,0.0963892,0.588688,0.486887
4.1,2.01533,-0.32677,0.543418,1.43181
4.2,2.09413,-0.892977,0.557043,0.800678
4.3,2.0426,-1.4685,0.644917,1.0576
4.4,1.88972,-1.90909,0.816192,-0.547486
4.5,1.68788,-2.15371,1.06534,0.397215
4.6,1.46965,-2.21608,1.36396,-0.783218
4.7,1.24958,-2.14284,1.662,0.0273447
4.8,1.03753,-1.9894,1.9057,-0.521592
4.9,0.842416,-1.80577,2.06115,-0.157498
5,0.670316,-1.62754,2.12314,-1.45516
5.1,0.523103,-1.47414,2.10677,0.667556
5.2,0.399392,-1.35258,2.03417,0.358237
