time,x,y,z,L
0,-1,5,-2,0
0.1,-1.34249,7.44043,-1.4339,0.865476
0.2,-1.13474,9.6518,-0.397481,0.978295
0.3,-0.0526806,10.0593,0.246658,2.10514
0.4,0.921139,7.99299,-0.181911,2.46385
0.5,1.11354,4.607,-0.911594,1.14402
0.6,0.975991,1.26581,-1.33566,1.39969
0.7,0.896333,-1.69105,-1.45764,1.64686
0.8,0.930119,-4.56756,-1.31452,1.49984
0.9,0.894444,-7.50959,-0.862536,2.65664
1,0.440397,-9.52854,-0.309696,1.29927
1.1,-0.294198,-8.86106,-0.266187,1.56705
1.2,-0.655544,-6.06681,-0.695229,2.17947
1.3,-0.641357,-3.1736,-1.09091,2.78426
1.4,-0.541934,-0.961284,-1.3338,1.37265
1.5,-0.488745,0.685136,-1.48111,1.66901
1.6,-0.513384,2.05987,-1.5653,1.72822
1.7,-0.614952,3.41984,-1.56913,1.72243
1.8,-0.759053,4.91424,-1.43374,1.25515
1.9,-0.835311,6.47388,-1.09926,1.3084
2,-0.659122,7.68897,-0.63486,-0.78282
2.1,-0.183855,7.9543,-0.333991,1.59573
2.2,0.30434,7.00932,-0.421701,1.41097
2.3,0.526169,5.25195,-0.747789,-3.1177
2.4,0.514763,3.34564,-1.06809,2.60501
2.5,0.422649,1.7097,-1.30617,1.11759
2.6,0.344867,0.428557,-1.48662,1.53187
2.7,0.31935,-0.610325,-1.63994,1.70251
2.8,0.365134,-1.611,-1.77342,1.79184
2.9,0.504286,-2.8489,-1.8608,1.83588
3,0.757951,-4.70181,-1.81197,1.80954
3.1,1.05366,-7.57696,-1.41852,2.47595
3.2,0.926097,-11.0176,-0.533641,-4.22612
3.3,-0.098108,-11.861,-0.0100368,2.9836
3.4,-0.847377,-8.50097,-0.587429,1.49691
3.5,-0.820551,-4.50779,-1.24306,2.71164
3.6,-0.623899,-1.68534,-1.60789,1.59304
3.7,-0.521993,0.220738,-1.81988,1.85896
3.8,-0.560236,1.7599,-1.95588,1.92016
3.9,-0.747765,3.39143,-1.98806,1.92638
4,-1.05394,5.42372,-1.78299,1.86281
4.1,-1.25709,7.76486,-1.14997,1.26642
4.2,-0.859284,9.51574,-0.238923,1.22401
4.3,0.161049,9.37442,0.119439,1.78801
4.4,0.887055,7.14799,-0.363278,0.64155
4.5,0.982538,4.01775,-0.974296,2.18535
4.6,0.855945,1.05274,-1.32523,1.32481
4.7,0.787976,-1.54114,-1.44522,1.62277
4.8,0.82415,-4.04477,-1.36394,2.0584
4.9,0.850089,-6.67613,-1.03148,-1.01855
5,0.588698,-8.8965,-0.518782,2.95991
5.1,-0.0360919,-9.16855,-0.287045,1.70365
5.2,-0.507606,-7.11534,-0.572374,1.8894
5.3,-0.585659,-4.38524,-0.976853,1.36604
5.4,-0.494264,-2.14525,-1.26654,1.07325
5.5,-0.404475,-0.530452,-1.4624,1.59093
5.6,-0.372991,0.681691,-1.613,1.73568
5.7,-0.417627,1.75502,-1.73282,1.79831
5.8,-0.550271,2.93422,-1.79795,1.82415
5.9,-0.769182,4.42071,-1.73502,1.80125
6,-0.996261,6.25885,-1.41884,1.88306
6.1,-0.976084,8.07334,-0.796043,0.729668
6.2,-0.437957,8.96554,-0.199104,1.58203
6.3,0.328096,8.19296,-0.167502,2.09294
6.4,0.732254,6.04816,-0.608695,2.14668
6.5,0.740589,3.50777,-1.05469,1.82236
6.6,0.628408,1.24349,-1.33822,1.25754
6.7,0.560491,-0.647045,-1.498,1.602
6.8,0.586888,-2.39033,-1.56582,1.69668
6.9,0.704915,-4.31971,-1.50615,1.66163
7,0.832573,-6.68124,-1.21844,2.77355
7.1,0.709155,-9.10835,-0.676182,1.86303
7.2,0.11691,-9.98194,-0.291522,2.84964
7.3,-0.463984,-8.21501,-0.508927,2.86292
7.4,-0.596635,-5.35291,-0.962259,2.67908
7.5,-0.48904,-2.954,-1.30422,-1.57384
7.6,-0.361555,-1.30542,-1.53622,1.5998
7.7,-0.28625,-0.190965,-1.72285,1.78174
7.8,-0.279825,0.66357,-1.8971,1.86996
7.9,-0.355749,1.51382,-2.0612,1.93288
8,-0.542644,2.62198,-2.18314,1.97449
8.1,-0.876716,4.27165,-2.16148,1.97428
8.2,-1.30327,6.62829,-1.76464,1.83523
8.3,-1.39107,9.21569,-0.774255,1.47593
8.4,-0.492277,10.4783,0.225578,1.73168
8.5,0.759817,9.08787,0.0964055,2.28487
8.6,1.20025,5.74185,-0.713364,2.14538
8.7,1.0905,2.08975,-1.2721,1.47234
8.8,0.976574,-1.17934,-1.45796,1.61935
8.9,0.991171,-4.29702,-1.33288,1.74005
9,0.953532,-7.46709,-0.861601,-9.62465
9.1,0.468208,-9.67942,-0.260806,2.01159
9.2,-0.331606,-8.97405,-0.215568,2.02106
9.3,-0.714367,-5.97181,-0.680478,1.28012
9.4,-0.696367,-2.90233,-1.08814,2.20616
9.5,-0.600155,-0.556456,-1.31961,1.428
9.6,-0.558731,1.22045,-1.43785,1.66413
9.7,-0.593851,2.7328,-1.47022,1.6863
9.8,-0.682703,4.1997,-1.39306,1.63107
9.9,-0.751804,5.66389,-1.16411,1.95206
10,-0.668812,6.90457,-0.803322,1.17139
10.1,-0.345872,7.47995,-0.48579,1.66483
10.2,0.0840036,7.05972,-0.432987,0.949686
10.3,0.370715,5.78077,-0.641572,1.19698
10.4,0.439296,4.14635,-0.928187,1.47346
10.5,0.38191,2.61867,-1.17449,1.0853
10.6,0.295394,1.40545,-1.37004,1.26915
10.7,0.228158,0.507533,-1.54037,1.59229
10.8,0.198553,-0.175758,-1.70606,1.73754
10.9,0.217099,-0.788044,-1.87523,1.83699
11,0.301424,-1.51235,-2.0421,1.91335
11.1,0.489042,-2.61964,-2.17417,1.96372
11.2,0.839944,-4.57769,-2.16026,1.95569
11.3,1.32272,-8.10591,-1.67465,2.36446
11.4,1.19549,-12.9023,-0.336296,2.49453
11.5,-0.455058,-13.4999,0.27266,1.3637
11.6,-1.25209,-8.14024,-0.814515,1.51709
11.7,-1.02693,-3.21349,-1.59146,1.49083
11.8,-0.827683,-0.0107599,-1.91127,1.92093
11.9,-0.866558,2.41083,-2.00656,1.97924
12,-1.10914,4.81775,-1.84626,1.92171
12.1,-1.33118,7.41256,-1.24159,1.35192
12.2,-0.988172,9.45243,-0.272812,0.677504
12.3,0.078833,9.56437,0.202645,1.05962
12.4,0.917105,7.38243,-0.260821,1.38826
12.5,1.06092,4.0924,-0.913156,0.908281
12.6,0.940537,0.883457,-1.27532,1.29432
12.7,0.872048,-1.98097,-1.35961,1.59667
12.8,0.88137,-4.73825,-1.19546,2.5685
12.9,0.788721,-7.38709,-0.776254,1.50053
13,0.338234,-8.95412,-0.339144,2.93339
13.1,-0.279091,-8.159,-0.348202,2.86884
13.2,-0.574928,-5.66952,-0.716084,0.803206
13.3,-0.567858,-3.10376,-1.06111,-0.777784
13.4,-0.481455,-1.10921,-1.28882,1.25539
13.5,-0.426107,0.377222,-1.44143,1.62033
13.6,-0.43449,1.5933,-1.54887,1.70564
