time,x,y,z,L
0,-2,-1,0,0
0.1,-1.9812,-1.68541,0.264085,-0.333337
0.2,-1.89363,-2.30401,0.623652,0.815773
0.3,-1.74284,-2.80288,1.00648,1.13513
0.4,-1.53949,-3.14414,1.3342,1.28867
0.5,-1.29756,-3.31508,1.55385,1.36369
0.6,-1.03175,-3.33003,1.65041,1.3747
0.7,-0.755121,-3.22241,1.63821,1.33316
0.8,-0.477593,-3.03233,1.54461,1.24764
0.9,-0.205701,-2.79587,1.39752,1.12336
1,0.0568777,-2.53922,1.21954,0.962464
1.1,0.30836,-2.27725,1.02678,0.767613
1.2,0.547854,-2.01468,0.830119,0.555345
1.3,0.774479,-1.74838,0.637255,0.357265
1.4,0.986691,-1.47001,0.454843,-3.16669
1.5,1.18185,-1.16878,0.290424,-0.560444
1.6,1.35603,-0.834405,0.153869,-0.975667
1.7,1.50419,-0.460102,0.0579607,-0.883012
1.8,1.62056,-0.0454292,0.0175321,-3.21458
1.9,1.69944,0.401738,0.0465137,-0.681237
2,1.736,0.864673,0.152761,-0.823387
2.1,1.72728,1.3191,0.331929,-1.04695
2.2,1.6729,1.73631,0.563656,0.554754
2.3,1.57543,2.08789,0.813889,1.031
2.4,1.4403,2.35117,1.04413,1.10953
2.5,1.27505,2.51405,1.22312,1.18851
2.6,1.08832,2.57715,1.33432,1.22104
2.7,0.888554,2.55234,1.3763,1.21324
2.8,0.683113,2.45856,1.35819,1.17071
2.9,0.477681,2.31685,1.29384,1.09806
3,0.276186,2.14638,1.19748,0.998528
3.1,0.0810202,1.96211,1.08133,0.874056
3.2,-0.106573,1.77412,0.954849,0.726603
3.3,-0.286069,1.58779,0.82488,0.563706
3.4,-0.457263,1.40463,0.696286,0.409402
3.5,-0.619931,1.22317,0.572678,0.289769
3.6,-0.773576,1.03992,0.457136,0.196191
3.7,-0.917244,0.850233,0.352836,-2.35477
3.8,-1.04942,0.649235,0.263532,-0.930319
3.9,-1.16804,0.432744,0.193817,-1.3882
4,-1.27055,0.198192,0.149058,-1.28723
