time,x,y,z,L
0,1,1,1,0
0.1,0.791916,1.08958,1.08271,0.265517
0.2,0.572176,1.18,1.12479,-0.993605
0.3,0.34885,1.27214,1.12029,0.547427
0.4,0.130506,1.36395,1.06814,0.509054
0.5,-0.0752616,1.45057,0.972201,-0.0113322
0.6,-0.262784,1.52545,0.840458,0.165359
0.7,-0.428539,1.58207,0.683625,0.446859
0.8,-0.57081,1.61557,0.513499,0.106452
0.9,-0.689122,1.62368,0.341455,0.636845
1,-0.783761,1.60705,0.177264,0.80855
1.1,-0.855502,1.56883,0.0283444,0.896979
1.2,-0.905525,1.51394,-0.100538,0.948554
1.3,-0.935417,1.44812,-0.207183,0.977273
1.4,-0.947166,1.37713,-0.29156,0.99012
1.5,-0.943105,1.30601,-0.355245,0.991537
1.6,-0.925796,1.23881,-0.400811,0.984754
1.7,-0.897892,1.17841,-0.431283,0.972264
1.8,-0.862,1.12661,-0.449714,0.956041
1.9,-0.820574,1.08429,-0.458913,0.937641
2,-0.77584,1.05163,-0.461297,0.918285
2.1,-0.729756,1.02833,-0.45884,0.89891
2.2,-0.684002,1.01376,-0.453099,0.880237
2.3,-0.639982,1.00709,-0.44526,0.862806
2.4,-0.598846,1.0074,-0.436213,0.847029
2.5,-0.561508,1.01372,-0.426617,0.833214
2.6,-0.528668,1.02505,-0.416963,0.821592
2.7,-0.500827,1.04042,-0.407629,0.812334
2.8,-0.478308,1.05888,-0.398911,0.805551
2.9,-0.461259,1.07948,-0.391056,0.801296
3,-0.449667,1.10133,-0.384273,0.799556
3.1,-0.443365,1.12357,-0.378744,0.800243
3.2,-0.442038,1.14539,-0.374614,0.803188
3.3,-0.445238,1.16605,-0.371992,0.808135
3.4,-0.452395,1.18491,-0.370935,0.814752
3.5,-0.462844,1.20142,-0.371441,0.822644
3.6,-0.475848,1.21517,-0.373443,0.831373
3.7,-0.49063,1.22586,-0.376802,0.840494
3.8,-0.506406,1.23336,-0.38132,0.849575
3.9,-0.522423,1.23768,-0.386743,0.858228
4,-0.537988,1.23895,-0.392781,0.866125
4.1,-0.552497,1.23744,-0.39913,0.873015
4.2,-0.565455,1.2335,-0.40549,0.878725
4.3,-0.576491,1.22757,-0.411586,0.883159
4.4,-0.58536,1.22012,-0.417184,0.886293
4.5,-0.591944,1.21164,-0.422099,0.888167
4.6,-0.596237,1.20262,-0.426204,0.888867
4.7,-0.598334,1.1935,-0.429429,0.888521
4.8,-0.59841,1.18466,-0.431754,0.887279
4.9,-0.596707,1.17645,-0.433203,0.88531
5,-0.593507,1.16911,-0.433838,0.882785
5.1,-0.589119,1.16284,-0.433746,0.879875
5.2,-0.583858,1.15777,-0.433031,0.876741
5.3,-0.578037,1.15394,-0.431807,0.873534
5.4,-0.571951,1.15136,-0.430192,0.870385
5.5,-0.565869,1.14997,-0.428301,0.867409
5.6,-0.560026,1.1497,-0.426242,0.864699
5.7,-0.554623,1.15042,-0.424115,0.862329
5.8,-0.549817,1.15199,-0.422011,0.860353
5.9,-0.545726,1.15425,-0.420007,0.858801
6,-0.542428,1.15703,-0.418168,0.857689
6.1,-0.539961,1.16016,-0.416544,0.857012
6.2,-0.538329,1.1635,-0.415175,0.856749
6.3,-0.5375,1.16688,-0.414084,0.856867
6.4,-0.537419,1.17016,-0.413285,0.85732
6.5,-0.538004,1.17324,-0.412778,0.858054
6.6,-0.53916,1.17601,-0.412551,0.859011
6.7,-0.540776,1.1784,-0.412585,0.860127
6.8,-0.542737,1.18036,-0.41285,0.861341
6.9,-0.544928,1.18185,-0.413313,0.862596
7,-0.547235,1.18287,-0.413934,0.863831
7.1,-0.549553,1.18343,-0.41467,0.865003
7.2,-0.551789,1.18357,-0.415481,0.866072
7.3,-0.553862,1.18331,-0.416325,0.867007
7.4,-0.555709,1.18272,-0.417165,0.867784
7.5,-0.55728,1.18186,-0.417968,0.868391
7.6,-0.558545,1.1808,-0.418704,0.868823
7.7,-0.559488,1.17959,-0.419353,0.869084
7.8,-0.560108,1.17831,-0.419898,0.869184
7.9,-0.560418,1.17701,-0.42033,0.869135
8,-0.56044,1.17575,-0.420643,0.868959
8.1,-0.560208,1.17457,-0.420841,0.868676
8.2,-0.559758,1.17352,-0.420927,0.868311
8.3,-0.559135,1.17261,-0.420913,0.867888
8.4,-0.558382,1.17187,-0.420809,0.867429
8.5,-0.557545,1.17131,-0.420632,0.866957
8.6,-0.556667,1.17093,-0.420396,0.866492
8.7,-0.555786,1.17072,-0.420117,0.866052
8.8,-0.554937,1.17068,-0.419812,0.865651
8.9,-0.554152,1.17078,-0.419496,0.865301
9,-0.553453,1.171,-0.419182,0.86501
9.1,-0.552858,1.17133,-0.418883,0.864782
9.2,-0.552379,1.17174,-0.418608,0.864619
9.3,-0.552022,1.17219,-0.418366,0.864521
9.4,-0.551787,1.17268,-0.418162,0.864483
9.5,-0.55167,1.17317,-0.418001,0.864502
9.6,-0.551661,1.17365,-0.417883,0.864569
9.7,-0.551749,1.1741,-0.417809,0.864676
9.8,-0.551919,1.1745,-0.417776,0.864815
9.9,-0.552155,1.17484,-0.417782,0.864976
10,-0.552441,1.17512,-0.417821,0.865152
10.1,-0.552759,1.17534,-0.417889,0.865332
10.2,-0.553093,1.17548,-0.417979,0.865509
10.3,-0.553429,1.17556,-0.418085,0.865678
10.4,-0.553751,1.17558,-0.418202,0.865831
10.5,-0.554051,1.17554,-0.418323,0.865964
10.6,-0.554317,1.17545,-0.418443,0.866076
10.7,-0.554543,1.17533,-0.418557,0.866163
10.8,-0.554725,1.17518,-0.418663,0.866225
10.9,-0.554861,1.175,-0.418755,0.866262
11,-0.55495,1.17482,-0.418833,0.866276
11.1,-0.554994,1.17463,-0.418895,0.866269
11.2,-0.554997,1.17445,-0.41894,0.866243
11.3,-0.554964,1.17428,-0.418968,0.866202
11.4,-0.554899,1.17412,-0.41898,0.866149
11.5,-0.554808,1.17399,-0.418978,0.866088
11.6,-0.554699,1.17389,-0.418963,0.866021
11.7,-0.554578,1.1738,-0.418937,0.865953
11.8,-0.554451,1.17375,-0.418903,0.865885
11.9,-0.554324,1.17372,-0.418863,0.865822
12,-0.554201,1.17371,-0.418818,0.865764
12.1,-0.554087,1.17373,-0.418772,0.865713
12.2,-0.553986,1.17376,-0.418727,0.865671
12.3,-0.5539,1.17381,-0.418683,0.865638
12.4,-0.553831,1.17387,-0.418643,0.865614
12.5,-0.553779,1.17393,-0.418608,0.8656
12.6,-0.553746,1.174,-0.418579,0.865595
12.7,-0.553729,1.17408,-0.418555,0.865597
12.8,-0.553728,1.17414,-0.418538,0.865607
12.9,-0.553741,1.17421,-0.418528,0.865623
13,-0.553765,1.17427,-0.418523,0.865643
13.1,-0.5538,1.17432,-0.418524,0.865666
13.2,-0.553841,1.17436,-0.41853,0.865692
13.3,-0.553887,1.17439,-0.418539,0.865718
13.4,-0.553936,1.17441,-0.418552,0.865743
13.5,-0.553984,1.17442,-0.418568,0.865768
13.6,-0.554031,1.17442,-0.418585,0.86579
13.7,-0.554074,1.17442,-0.418602,0.865809
13.8,-0.554113,1.17441,-0.41862,0.865825
13.9,-0.554145,1.17439,-0.418636,0.865838
14,-0.554172,1.17436,-0.418651,0.865847
14.1,-0.554191,1.17434,-0.418665,0.865852
14.2,-0.554204,1.17431,-0.418676,0.865855
14.3,-0.55421,1.17429,-0.418685,0.865853
14.4,-0.554211,1.17426,-0.418691,0.865849
14.5,-0.554206,1.17423,-0.418695,0.865843
14.6,-0.554196,1.17421,-0.418697,0.865836
14.7,-0.554183,1.17419,-0.418697,0.865827
14.8,-0.554167,1.17418,-0.418695,0.865817
14.9,-0.55415,1.17417,-0.418691,0.865807
15,-0.554131,1.17416,-0.418686,0.865797
15.1,-0.554113,1.17415,-0.41868,0.865788
15.2,-0.554095,1.17415,-0.418674,0.86578
15.3,-0.554079,1.17416,-0.418667,0.865772
15.4,-0.554064,1.17416,-0.41866,0.865766
15.5,-0.554052,1.17417,-0.418654,0.865761
15.6,-0.554042,1.17418,-0.418648,0.865758
15.7,-0.554034,1.17419,-0.418643,0.865756
15.8,-0.554029,1.1742,-0.418639,0.865755
15.9,-0.554027,1.17421,-0.418635,0.865756
16,-0.554027,1.17422,-0.418633,0.865757
16.1,-0.554029,1.17423,-0.418632,0.865759
16.2,-0.554032,1.17423,-0.418631,0.865763
16.3,-0.554037,1.17424,-0.418631,0.865766
16.4,-0.554043,1.17425,-0.418632,0.865769
16.5,-0.55405,1.17425,-0.418633,0.865773
16.6,-0.554057,1.17425,-0.418635,0.865777
16.7,-0.554064,1.17426,-0.418637,0.865781
16.8,-0.554071,1.17426,-0.41864,0.865784
16.9,-0.554077,1.17426,-0.418642,0.865786
